District Court;Short name
Agder tingrett;TAGD
Buskerud tingrett;TBUS
Follo og Nordre Østfold tingrett;TFNO
Haugaland og Sunnhordland tingrett;THOS
Helgeland tingrett;THEL
Hordaland tingrett;THOD
Midtre Hålogaland tingrett;TMHA
Møre og Romsdal tingrett;TMOR
Nord-Troms og Senja tingrett;TNTS
Oslo tingrett;TOSL
Ringerike, Asker og Bærum tingrett;TRAB
Romerike og Glåmdal tingrett;TROG
Salten og Lofoten tingrett;TSOL
Indre og Østre Finnmark tingrett;TIOF
Sogn og Fjordane tingrett;TSOF
Søndre Østfold tingrett;TSOS
Sør-Rogaland tingrett;TSRO
Telemark tingrett;TTEL
Trøndelag tingrett;TTRO
Vestfold tingrett;TVES
Vestre Finnmark tingrett;TVFI
Vestre Innlandet tingrett;TVIN
Østre Innlandet tingrett;TOIN
