,count,rowname_norwegian,type,circ_norwegian,circ_english,group_1,group_2
mitigating_tilståelse,2787,mitigating_tilståelse,mitigating,tilståelse,confession,confession,
aggravating_andre omstendigheter,1889,aggravating_andre omstendigheter,aggravating,andre omstendigheter,other circumstances,other,
aggravating_tidligere straffet for lignende,1250,aggravating_tidligere straffet for lignende,aggravating,tidligere straffet for lignende,previously punished for similar offences,repeated_offense,
aggravating_kjøring under ruspåvirkning,936,aggravating_kjøring under ruspåvirkning,aggravating,kjøring under ruspåvirkning,driving under the influence of drugs,driving,drugs
mitigating_lang saksbehandlingstid,899,mitigating_lang saksbehandlingstid,mitigating,lang saksbehandlingstid,long processing time,processing_time,
aggravating_gjentatte lovbrudd,790,aggravating_gjentatte lovbrudd,aggravating,gjentatte lovbrudd,repeated offences,repeated_offense,
mitigating_lang liggetid,763,mitigating_lang liggetid,mitigating,lang liggetid,long stay,processing_time,
mitigating_saken har blitt gammel,720,mitigating_saken har blitt gammel,mitigating,saken har blitt gammel,the matter has become old,processing_time,
aggravating_kjøring uten førerkort,601,aggravating_kjøring uten førerkort,aggravating,kjøring uten førerkort,driving without a driver's license,driving,license
aggravating_alvorlig fare for liv og helse,453,aggravating_alvorlig fare for liv og helse,aggravating,alvorlig fare for liv og helse,serious danger to life and health,life_health,
aggravating_forårsaket betydelig smerte,371,aggravating_forårsaket betydelig smerte,aggravating,forårsaket betydelig smerte,caused considerable pain,life_health,
mitigating_andre omstendigheter,325,mitigating_andre omstendigheter,mitigating,andre omstendigheter,other circumstances,other,
aggravating_sårbart offer,313,aggravating_sårbart offer,aggravating,sårbart offer,vulnerable victim,victim,vulnerable
aggravating_trusler,313,aggravating_trusler,aggravating,trusler,threats,threats,
aggravating_innbrudd på privatbolig,245,aggravating_innbrudd på privatbolig,aggravating,innbrudd på privatbolig,burglary of a private residence,place,private
aggravating_uprovosert,231,aggravating_uprovosert,aggravating,uprovosert,unprovoked,severe,unprovoked
aggravating_ny forbrytelse kort tid etter løslatelse,223,aggravating_ny forbrytelse kort tid etter løslatelse,aggravating,ny forbrytelse kort tid etter løslatelse,new crime shortly after release,repeated_offense,
aggravating_generelle forebyggende hensyn,220,aggravating_generelle forebyggende hensyn,aggravating,generelle forebyggende hensyn,general preventive considerations,preventative,
aggravating_begått av flere personer,218,aggravating_begått av flere personer,aggravating,begått av flere personer,committed by several people,DELETE,
aggravating_risiko for liv eller helse,208,aggravating_risiko for liv eller helse,aggravating,risiko for liv eller helse,risk to life or health,life_health,
aggravating_begått på offentlig sted,206,aggravating_begått på offentlig sted,aggravating,begått på offentlig sted,committed in a public place,place,public
aggravating_vold mot offentlig tjenestemann,196,aggravating_vold mot offentlig tjenestemann,aggravating,vold mot offentlig tjenestemann,violence against a public official,violation,official
aggravating_flere straffbare forhold,191,aggravating_flere straffbare forhold,aggravating,flere straffbare forhold,several criminal offences,cumulative_offense,
aggravating_barn til stede,189,aggravating_barn til stede,aggravating,barn til stede,children present,children,
aggravating_barn involvert,185,aggravating_barn involvert,aggravating,barn involvert,children involved,children,
aggravating_vold i nære relasjoner,184,aggravating_vold i nære relasjoner,aggravating,vold i nære relasjoner,violence in near relations,victim,relationship
aggravating_betydelig mengde narkotika,168,aggravating_betydelig mengde narkotika,aggravating,betydelig mengde narkotika,significant amount of drugs,drugs,
aggravating_bruk av narkotika,166,aggravating_bruk av narkotika,aggravating,bruk av narkotika,use of drugs,drugs,
aggravating_mangel på respekt,163,aggravating_mangel på respekt,aggravating,mangel på respekt,lack of respect,severe,lack_respect
mitigating_anger,162,mitigating_anger,mitigating,anger,regret,confession,regret
aggravating_andre lovbrudd,154,aggravating_andre lovbrudd,aggravating,andre lovbrudd,other offences,cumulative_offense,
