"","var_value","judgement_convicted_binary","punishment_prison_days","punishment_fine","punishment_share_max_prison_sentence","group1_mitigating_confession","group1_aggravating_other","group1_aggravating_repeated_offense","group1_aggravating_driving","group1_mitigating_processing_time","group1_aggravating_life_health","group1_mitigating_other","group1_aggravating_victim","group1_aggravating_threats","group1_aggravating_place","group1_aggravating_severe","group1_aggravating_preventative","group1_aggravating_violation","group1_aggravating_cumulative_offense","group1_aggravating_children","group1_aggravating_drugs","group1_mitigating_burden","group1_mitigating_cause","group1_aggravating_object","group1_mitigating_potential_rehabilitation","group1_mitigating_minor","n","grouping_var","restriction"
"1","40 - 55",1,79.5072463768116,13302.5362318841,0.07920483127589,0.5,0.297101449275362,0.405797101449275,0.456521739130435,0.188405797101449,0.188405797101449,0.0289855072463768,0.036231884057971,0.0072463768115942,0.0434782608695652,0.101449275362319,0.0434782608695652,0.101449275362319,0.0797101449275363,0.0217391304347826,0.22463768115942,0.0217391304347826,0.0072463768115942,0.0289855072463768,0.00724637681159421,0,138,"defendant_age_groups","convicted_acquisition_possession_and_use_of_drugs"
"2","< 40",1,77.4465408805032,10297.476340694,0.0571929054036061,0.421383647798742,0.29874213836478,0.276729559748428,0.455974842767296,0.245283018867925,0.135220125786163,0.0283018867924528,0.0314465408805031,0.0220125786163522,0.0377358490566038,0.0786163522012579,0.0314465408805031,0.0817610062893081,0.10062893081761,0.0188679245283019,0.226415094339623,0.0283018867924528,0.0157232704402516,0.0345911949685534,0.0157232704402516,0.0125786163522013,318,"defendant_age_groups","convicted_acquisition_possession_and_use_of_drugs"
"3","> 55",1,60.5555555555556,7180.55555555555,0.0820052023191646,0.305555555555556,0.361111111111111,0.277777777777778,0.416666666666667,0.25,0.138888888888889,0.0277777777777778,0.0277777777777778,0,0.0277777777777778,0.111111111111111,0.0555555555555555,0.0277777777777778,0.0833333333333333,0,0.0833333333333333,0,0,0,0,0,36,"defendant_age_groups","convicted_acquisition_possession_and_use_of_drugs"
"4",NA,1,204.5,12083.3333333333,0.0682722050375607,0.333333333333333,0.166666666666667,0.166666666666667,0.333333333333333,0,0.166666666666667,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0,0.166666666666667,0,0,6,"defendant_age_groups","convicted_acquisition_possession_and_use_of_drugs"
"5","0",1,79.7009345794393,10699.2990654206,0.0645215678743393,0.439252336448598,0.292056074766355,0.310747663551402,0.44392523364486,0.228971962616822,0.154205607476636,0.0280373831775701,0.0327102803738318,0.0186915887850467,0.0373831775700935,0.0911214953271028,0.0350467289719626,0.0841121495327103,0.0934579439252337,0.0186915887850467,0.214953271028037,0.0233644859813084,0.0116822429906542,0.0350467289719625,0.0140186915887851,0.00934579439252337,428,"defendant_is_woman","convicted_acquisition_possession_and_use_of_drugs"
"6","1",1,74.04,12204.0816326531,0.0579119223627509,0.4,0.34,0.32,0.44,0.14,0.12,0.04,0.02,0,0.06,0.06,0.08,0.06,0.1,0,0.22,0.02,0.02,0,0,0,50,"defendant_is_woman","convicted_acquisition_possession_and_use_of_drugs"
"7",NA,1,59.65,12687.5,0.0648138391289076,0.4,0.4,0.3,0.65,0.4,0.15,0,0.05,0,0,0.05,0,0.15,0.1,0.05,0.2,0.05,0,0.05,0,0,20,"defendant_is_woman","convicted_acquisition_possession_and_use_of_drugs"
"8","0",1,79.2181818181819,12156.5349544073,0.0709035916240063,0.43030303030303,0.287878787878788,0.339393939393939,0.478787878787879,0.227272727272727,0.166666666666667,0.0363636363636364,0.0272727272727273,0.00606060606060606,0.0333333333333333,0.0878787878787879,0.0424242424242424,0.0787878787878788,0.0848484848484848,0.0151515151515152,0.215151515151515,0.0303030303030303,0.0090909090909091,0.0363636363636364,0.0151515151515152,0.00909090909090909,330,"defendant_some_foreign_background","convicted_acquisition_possession_and_use_of_drugs"
"9","1",1,75.03125,8330.46875,0.0526584490714061,0.453125,0.3203125,0.2421875,0.3671875,0.203125,0.125,0.015625,0.046875,0.046875,0.0625,0.1015625,0.0390625,0.0859375,0.109375,0.015625,0.2109375,0,0.015625,0.015625,0,0.0078125,128,"defendant_some_foreign_background","convicted_acquisition_possession_and_use_of_drugs"
"10",NA,1,81.525,9131.25,0.0583491394450298,0.4,0.35,0.3,0.5,0.3,0.1,0,0.025,0,0,0.025,0,0.125,0.125,0.05,0.225,0.05,0.025,0.05,0.025,0,40,"defendant_some_foreign_background","convicted_acquisition_possession_and_use_of_drugs"
"11","0",1,77.6827133479212,11225.4385964912,0.0615356993111547,0.437636761487965,0.293216630196936,0.319474835886214,0.444201312910285,0.221006564551422,0.148796498905908,0.0306345733041576,0.0284463894967177,0.0175054704595186,0.0393873085339169,0.0897155361050328,0.0415754923413567,0.0853391684901531,0.0962800875273522,0.0175054704595186,0.218818380743982,0.024070021881838,0.0131291028446389,0.0328227571115974,0.0131291028446389,0.00656455142231947,457,"defendant_is_married","convicted_acquisition_possession_and_use_of_drugs"
"12","1",1,110.142857142857,2785.71428571429,0.138356164383561,0.380952380952381,0.380952380952381,0.142857142857143,0.428571428571429,0.19047619047619,0.19047619047619,0,0.0952380952380952,0,0.0476190476190476,0.0476190476190476,0,0,0.0476190476190476,0,0.142857142857143,0,0,0,0,0.0476190476190476,21,"defendant_is_married","convicted_acquisition_possession_and_use_of_drugs"
