"","var_value","judgement_convicted_binary","punishment_prison_days","punishment_fine","punishment_share_max_prison_sentence","group1_mitigating_confession","group1_aggravating_other","group1_aggravating_repeated_offense","group1_aggravating_driving","group1_mitigating_processing_time","group1_aggravating_life_health","group1_mitigating_other","group1_aggravating_victim","group1_aggravating_threats","group1_aggravating_place","group1_aggravating_severe","group1_aggravating_preventative","group1_aggravating_violation","group1_aggravating_cumulative_offense","group1_aggravating_children","group1_aggravating_drugs","group1_mitigating_burden","group1_mitigating_cause","group1_aggravating_object","group1_mitigating_potential_rehabilitation","group1_mitigating_minor","n","grouping_var","restriction"
"1","40 - 55",1,157.265625,4111.11111111111,0.0487202473610864,0.296875,0.1875,0.234375,0.015625,0.171875,0.25,0.09375,0.28125,0.0625,0.296875,0.171875,0.109375,0.046875,0.015625,0.109375,0.015625,0.0625,0.265625,0.03125,0,0.03125,64,"defendant_age_groups","convicted_bodily_injury"
"2","< 40",1,175.479452054795,1740.74074074074,0.0534766692380291,0.438356164383562,0.146118721461187,0.278538812785388,0.0639269406392693,0.219178082191781,0.28310502283105,0.0776255707762557,0.146118721461187,0.0410958904109589,0.228310502283105,0.191780821917808,0.091324200913242,0.105022831050228,0.0136986301369863,0.0182648401826484,0.045662100456621,0.0502283105022831,0.205479452054794,0.041095890410959,0.00456621004566213,0.0319634703196347,219,"defendant_age_groups","convicted_bodily_injury"
"3","> 55",1,232.5,1666.66666666667,0.0569494921256174,0.214285714285714,0.142857142857143,0.0714285714285714,0.0714285714285714,0.142857142857143,0.5,0.0714285714285714,0.214285714285714,0,0.0714285714285715,0.0714285714285714,0,0.0714285714285715,0.0714285714285715,0.0714285714285715,0.0714285714285714,0.142857142857143,0.285714285714286,0.214285714285714,0.0714285714285714,0,14,"defendant_age_groups","convicted_bodily_injury"
"4",NA,1,228,0,0.0416863486065187,0.4,0.2,0.2,0,0,0.4,0,0.2,0,0.2,0.4,0,0.2,0,0,0.2,0,0,0,0,0,5,"defendant_age_groups","convicted_bodily_injury"
"5","0",1,177.611940298507,2244.89795918367,0.0526517394234999,0.395522388059702,0.149253731343284,0.246268656716418,0.0597014925373134,0.208955223880597,0.26865671641791,0.0708955223880597,0.171641791044776,0.0447761194029851,0.235074626865672,0.186567164179104,0.0932835820895522,0.0858208955223881,0.0111940298507463,0.0335820895522388,0.041044776119403,0.0559701492537313,0.208955223880597,0.0447761194029851,0.00746268656716417,0.0261194029850746,268,"defendant_is_woman","convicted_bodily_injury"
"6","1",1,168.214285714286,0,0.0494002084021654,0.357142857142857,0.214285714285714,0.357142857142857,0,0.142857142857143,0.571428571428571,0.142857142857143,0.0714285714285714,0,0.214285714285714,0.214285714285714,0,0.214285714285714,0.142857142857143,0,0.142857142857143,0.0714285714285714,0.428571428571429,0.0714285714285714,0,0,14,"defendant_is_woman","convicted_bodily_injury"
"7",NA,1,146.75,1000,0.0516470971950424,0.45,0.2,0.35,0,0.15,0.35,0.15,0.35,0.05,0.25,0.15,0.1,0.1,0,0.15,0,0.05,0.2,0.05,0,0.1,20,"defendant_is_woman","convicted_bodily_injury"
"8","0",1,194.60843373494,1951.61290322581,0.055136506731313,0.439759036144578,0.144578313253012,0.240963855421687,0.0662650602409639,0.216867469879518,0.301204819277108,0.0602409638554217,0.168674698795181,0.0301204819277108,0.228915662650602,0.210843373493976,0.0843373493975903,0.072289156626506,0.0180722891566265,0.0180722891566265,0.0421686746987952,0.0602409638554217,0.210843373493976,0.0481927710843373,0.0120481927710843,0.0120481927710843,166,"defendant_some_foreign_background","convicted_bodily_injury"
"9","1",1,153.263157894737,2911.76470588235,0.0493861403128685,0.305263157894737,0.157894736842105,0.294736842105263,0.0526315789473685,0.189473684210526,0.28421052631579,0.0947368421052632,0.189473684210526,0.0736842105263158,0.28421052631579,0.157894736842105,0.0947368421052632,0.126315789473684,0.0210526315789474,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.210526315789474,0.0526315789473684,0,0.031578947368421,95,"defendant_some_foreign_background","convicted_bodily_injury"
"10",NA,1,146.951219512195,416.666666666667,0.0485577458514311,0.439024390243902,0.195121951219512,0.24390243902439,0,0.170731707317073,0.24390243902439,0.121951219512195,0.195121951219512,0.024390243902439,0.146341463414634,0.146341463414634,0.0975609756097561,0.0975609756097561,0,0.073170731707317,0,0.024390243902439,0.268292682926829,0.024390243902439,0,0.0975609756097561,41,"defendant_some_foreign_background","convicted_bodily_injury"
"11","0",1,179.628252788104,1717.17171717172,0.0526754123155163,0.401486988847584,0.152416356877323,0.260223048327137,0.0557620817843867,0.20817843866171,0.28996282527881,0.0780669144981413,0.163568773234201,0.0446096654275093,0.241635687732342,0.197026022304833,0.0929368029739777,0.0966542750929368,0.0185873605947956,0.0297397769516728,0.0483271375464684,0.0594795539033457,0.219330855018587,0.0483271375464684,0.0074349442379182,0.0260223048327137,269,"defendant_is_married","convicted_bodily_injury"
"12","1",1,125.769230769231,12500,0.0486602438657233,0.230769230769231,0.153846153846154,0.0769230769230769,0.0769230769230769,0.153846153846154,0.153846153846154,0,0.230769230769231,0,0.0769230769230769,0,0,0,0,0.0769230769230769,0,0,0.230769230769231,0,0,0,13,"defendant_is_married","convicted_bodily_injury"
"13",NA,1,146.75,1000,0.0516470971950424,0.45,0.2,0.35,0,0.15,0.35,0.15,0.35,0.05,0.25,0.15,0.1,0.1,0,0.15,0,0.05,0.2,0.05,0,0.1,20,"defendant_is_married","convicted_bodily_injury"
"14","1",1,196.744186046512,365.853658536585,0.0533909525639208,0.406976744186047,0.174418604651163,0.325581395348837,0.0581395348837209,0.197674418604651,0.302325581395349,0.0697674418604651,0.22093023255814,0.0930232558139535,0.27906976744186,0.197674418604651,0.104651162790698,0.197674418604651,0.0116279069767442,0.0348837209302326,0.0813953488372093,0.0581395348837209,0.209302325581395,0.0465116279069767,0,0.0581395348837209,86,"defendant_net_income_quantile","convicted_bodily_injury"
"15","2",1,207.375,2222.22222222222,0.057636536428459,0.4,0.1875,0.3125,0.0625,0.125,0.375,0.0875,0.1625,0.0125,0.2125,0.175,0.075,0.075,0.025,0.0125,0.0375,0.05,0.225,0.0875,0.0125,0.025,80,"defendant_net_income_quantile","convicted_bodily_injury"
"16","3",1,179.433962264151,0,0.053996077154516,0.415094339622642,0.0943396226415094,0.245283018867925,0.0377358490566038,0.30188679245283,0.30188679245283,0.0566037735849057,0.169811320754717,0.0377358490566038,0.264150943396226,0.264150943396226,0.0754716981132076,0.0566037735849057,0.0188679245283019,0.0566037735849057,0.0188679245283019,0.0377358490566038,0.245283018867925,0.0377358490566038,0,0,53,"defendant_net_income_quantile","convicted_bodily_injury"
"17","4",1,118.915662650602,6842.1052631579,0.0454322181092275,0.373493975903614,0.144578313253012,0.144578313253012,0.0481927710843374,0.216867469879518,0.180722891566265,0.0963855421686747,0.156626506024096,0.0240963855421687,0.192771084337349,0.132530120481928,0.0963855421686747,0.0240963855421687,0.0120481927710843,0.0602409638554217,0.0240963855421687,0.072289156626506,0.204819277108434,0.0120481927710843,0.0120481927710843,0.0240963855421687,83,"defendant_net_income_quantile","convicted_bodily_injury"
"18","0",1,186.428571428571,833.333333333333,0.0539957397100254,0.380952380952381,0.174603174603175,0.238095238095238,0.0317460317460317,0.126984126984127,0.285714285714286,0.0952380952380952,0.0952380952380952,0.0476190476190476,0.206349206349206,0.158730158730159,0.0952380952380952,0.126984126984127,0.0317460317460317,0.0476190476190476,0.0317460317460317,0.0317460317460317,0.317460317460317,0.0317460317460318,0,0.0158730158730159,63,"case_is_not_oslo","convicted_bodily_injury"
"19","1",1,172.154811715481,2333.33333333333,0.0520229264656801,0.401673640167364,0.150627615062761,0.263598326359833,0.0585774058577406,0.221757322175732,0.288702928870293,0.0753138075313807,0.200836820083682,0.0418410041841004,0.242677824267782,0.192468619246862,0.0878661087866109,0.0836820083682008,0.0125523012552301,0.0376569037656903,0.0460251046025105,0.0627615062761506,0.192468619246862,0.0502092050209205,0.00836820083682007,0.0334728033472803,239,"case_is_not_oslo","convicted_bodily_injury"
