"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","sig_level","controls","restriction"
"1","defendant_age",-8.13241659745576e-18,2.33160705082417e-17,-0.34879018720505,0.727656749189017,-5.41421452272e-17,3.78773120322884e-17,"judgement_convicted_binary","insig","None","convicted_damage"
"2","defendant_age",1.82114164581081,0.936573368198475,1.94447302010501,0.0534057160966772,-0.0270036708464478,3.66928696246807,"punishment_prison_days","*","None","convicted_damage"
"3","defendant_age",132.956864436739,56.2594271263348,2.3632815197029,0.0191864998162864,21.9398311835341,243.973897689943,"punishment_fine","**","None","convicted_damage"
"4","defendant_is_woman",-2.27769439296104e-16,5.62965175764341e-16,-0.404588861090493,0.686273821502756,-1.33884452583095e-15,8.83305647238738e-16,"judgement_convicted_binary","insig","None","convicted_damage"
"5","defendant_is_woman",-64.8671052631578,26.6671317753719,-2.43247402118683,0.0160030035377328,-117.497688859611,-12.2365216667042,"punishment_prison_days","**","None","convicted_damage"
"6","defendant_is_woman",-1865.92105263158,1618.28633338062,-1.15302280822804,0.250473488585364,-5059.79112720203,1327.94902193888,"punishment_fine","insig","None","convicted_damage"
"7","defendant_some_foreign_background",3.59283378164414e-16,6.49040510918702e-16,0.553560790305457,0.580615434495881,-9.22042786943383e-16,1.64060954327221e-15,"judgement_convicted_binary","insig","None","convicted_damage"
"8","defendant_some_foreign_background",-12.6288461538462,22.1589134363741,-0.569921724280748,0.56949212929197,-56.3746449117626,31.1169526040703,"punishment_prison_days","insig","None","convicted_damage"
"9","defendant_some_foreign_background",552.884615384615,1369.77307664962,0.403632269322257,0.686996435847395,-2151.30110776389,3257.07033853312,"punishment_fine","insig","None","convicted_damage"
"10","defendant_log_net_income",1.21476556227846e-16,6.1281052276385e-17,1.9822857427443,0.0489521959649446,5.63887738921877e-19,2.4238922471677e-16,"judgement_convicted_binary","**","None","convicted_damage"
"11","defendant_log_net_income",-2.06800106935511,1.8826245034716,-1.098467095027,0.27345161809575,-5.78257750075733,1.64657536204712,"punishment_prison_days","insig","None","convicted_damage"
"12","defendant_log_net_income",232.833168254721,112.724367196263,2.06550876306396,0.0402920704578944,10.4185142120087,455.247822297433,"punishment_fine","**","None","convicted_damage"
"13","case_is_not_oslo",-3.60908929054264e-16,7.88286935317992e-16,-0.457839541522624,0.647613853331035,-1.91626532950211e-15,1.19444747139358e-15,"judgement_convicted_binary","insig","None","convicted_damage"
"14","case_is_not_oslo",44.9621710526313,23.8209259897656,1.88750727288892,0.0606837574336288,-2.03851872517208,91.9628608304347,"punishment_prison_days","*","None","convicted_damage"
"15","case_is_not_oslo",1186.67763157896,1449.5084614612,0.818675891262278,0.414042000388158,-1673.32443369379,4046.6796968517,"punishment_fine","insig","None","convicted_damage"
"16","defendant_is_married",-2.06077111744087e-16,8.92759229289802e-16,-0.230831678892889,0.817715211513393,-1.96803785219523e-15,1.55588362870705e-15,"judgement_convicted_binary","insig","None","convicted_damage"
"17","defendant_is_married",-16.359126984127,42.966797944472,-0.38073879755407,0.703858852824265,-101.158934857613,68.440680889359,"punishment_prison_days","insig","None","convicted_damage"
