"","var_value","judgement_convicted_binary","punishment_prison_days","punishment_fine","punishment_share_max_prison_sentence","group1_mitigating_confession","group1_aggravating_other","group1_aggravating_repeated_offense","group1_aggravating_driving","group1_mitigating_processing_time","group1_aggravating_life_health","group1_mitigating_other","group1_aggravating_victim","group1_aggravating_threats","group1_aggravating_place","group1_aggravating_severe","group1_aggravating_preventative","group1_aggravating_violation","group1_aggravating_cumulative_offense","group1_aggravating_children","group1_aggravating_drugs","group1_mitigating_burden","group1_mitigating_cause","group1_aggravating_object","group1_mitigating_potential_rehabilitation","group1_mitigating_minor","n","grouping_var","restriction"
"1","40 - 55",1,42.0357142857143,3660.71428571429,0.011437890224583,0.142857142857143,0.535714285714286,0.25,0,0.178571428571429,0.107142857142857,0.0714285714285715,0.0714285714285715,0.0714285714285715,0.107142857142857,0.178571428571429,0,0.107142857142857,0.178571428571429,0.0357142857142857,0,0,0,0,0,0,28,"defendant_age_groups","convicted_disorderly_conduct"
"2","< 40",1,49.1372549019608,2491.17647058823,0.0111272533048079,0.372549019607843,0.480392156862745,0.254901960784314,0.0588235294117648,0.205882352941176,0.0784313725490196,0.0196078431372549,0.0196078431372549,0.137254901960784,0.0980392156862745,0.0784313725490196,0.00980392156862746,0.245098039215686,0.117647058823529,0.0294117647058824,0,0.0294117647058824,0.0490196078431373,0.0196078431372549,0.0294117647058824,0.088235294117647,102,"defendant_age_groups","convicted_disorderly_conduct"
"3","> 55",1,29,4200,0.00808261037914543,0.272727272727273,0.545454545454545,0.272727272727273,0,0.363636363636364,0,0,0,0.454545454545455,0,0.0909090909090909,0.0909090909090909,0.454545454545455,0,0,0,0,0.0909090909090909,0,0,0,11,"defendant_age_groups","convicted_disorderly_conduct"
"4",NA,1,40.4285714285714,2857.14285714286,0.0163405088062622,0.428571428571429,0.571428571428571,0.571428571428571,0.285714285714286,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0,0.142857142857143,0,0.285714285714286,0.142857142857143,0,0,0,0.142857142857143,0,0,0,7,"defendant_age_groups","convicted_disorderly_conduct"
"5","0",1,52.4453781512605,2880.67226890756,0.0124939016441479,0.294117647058824,0.478991596638655,0.294117647058824,0.0672268907563025,0.201680672268908,0.0924369747899159,0.0252100840336135,0.0252100840336134,0.151260504201681,0.0840336134453782,0.117647058823529,0.0168067226890756,0.243697478991597,0.109243697478992,0.0336134453781513,0,0.0168067226890756,0.0504201680672269,0.0168067226890756,0.0168067226890756,0.0672268907563024,119,"defendant_is_woman","convicted_disorderly_conduct"
"6","1",1,14.5238095238095,1190.47619047619,0.00528705475867903,0.523809523809524,0.666666666666667,0.238095238095238,0,0.142857142857143,0,0.0476190476190476,0.0476190476190476,0.0952380952380952,0.142857142857143,0.0476190476190476,0,0.19047619047619,0.19047619047619,0,0,0.0476190476190476,0,0,0,0,21,"defendant_is_woman","convicted_disorderly_conduct"
"7",NA,1,30.625,6875,0.00759132420091325,0.25,0.375,0,0,0.5,0.125,0,0,0.25,0,0,0,0.25,0.125,0,0,0,0.125,0,0.125,0.125,8,"defendant_is_woman","convicted_disorderly_conduct"
"8","0",1,51.5769230769231,2752.5641025641,0.0122808305457224,0.333333333333333,0.512820512820513,0.269230769230769,0.0384615384615385,0.192307692307692,0.102564102564103,0.0384615384615384,0.0256410256410256,0.141025641025641,0.0897435897435898,0.102564102564103,0.0128205128205128,0.282051282051282,0.115384615384615,0.0256410256410257,0,0,0.0128205128205128,0.0128205128205128,0,0.0128205128205128,78,"defendant_some_foreign_background","convicted_disorderly_conduct"
"9","1",1,41.4807692307692,2367.30769230769,0.00963883375050254,0.346153846153846,0.5,0.326923076923077,0.076923076923077,0.192307692307692,0.0576923076923077,0.0192307692307692,0.0384615384615385,0.153846153846154,0.0961538461538462,0.115384615384615,0.0192307692307692,0.192307692307692,0.134615384615385,0.0384615384615385,0,0.0576923076923077,0.0769230769230769,0.0192307692307692,0.0384615384615385,0.115384615384615,52,"defendant_some_foreign_background","convicted_disorderly_conduct"
"10",NA,1,33.9444444444444,4722.22222222222,0.011078272311149,0.222222222222222,0.444444444444444,0.111111111111111,0.0555555555555555,0.333333333333333,0.0555555555555555,0,0,0.166666666666667,0.0555555555555555,0.0555555555555555,0,0.166666666666667,0.111111111111111,0,0,0,0.111111111111111,0,0.0555555555555555,0.111111111111111,18,"defendant_some_foreign_background","convicted_disorderly_conduct"
