"","var_value","judgement_convicted_binary","punishment_prison_days","punishment_fine","punishment_share_max_prison_sentence","group1_mitigating_confession","group1_aggravating_other","group1_aggravating_repeated_offense","group1_aggravating_driving","group1_mitigating_processing_time","group1_aggravating_life_health","group1_mitigating_other","group1_aggravating_victim","group1_aggravating_threats","group1_aggravating_place","group1_aggravating_severe","group1_aggravating_preventative","group1_aggravating_violation","group1_aggravating_cumulative_offense","group1_aggravating_children","group1_aggravating_drugs","group1_mitigating_burden","group1_mitigating_cause","group1_aggravating_object","group1_mitigating_potential_rehabilitation","group1_mitigating_minor","n","grouping_var","restriction"
"1","40 - 55",1,51.4024390243902,914.634146341463,0.026912677199179,0.329268292682927,0.134146341463415,0.231707317073171,0.024390243902439,0.439024390243902,0.0121951219512195,0.0731707317073171,0.0121951219512195,0.0121951219512195,0.0121951219512195,0.048780487804878,0.0609756097560975,0.25609756097561,0.0365853658536585,0.0121951219512195,0,0.0609756097560975,0,0,0.0121951219512195,0.0121951219512195,82,"defendant_age_groups","convicted_fraud"
"2","< 40",1,62.8269230769231,1025.64102564103,0.023893821730244,0.403846153846154,0.230769230769231,0.211538461538462,0.0641025641025641,0.429487179487179,0.0320512820512821,0.0705128205128205,0.0256410256410257,0.00641025641025642,0.0192307692307692,0.0512820512820513,0.0448717948717949,0.153846153846154,0.0576923076923077,0.0128205128205128,0.0128205128205128,0.0192307692307692,0.00641025641025642,0.00641025641025643,0.0128205128205128,0.0128205128205128,156,"defendant_age_groups","convicted_fraud"
"3","> 55",1,153.833333333333,277.777777777778,0.0549086757990868,0.5,0.111111111111111,0.333333333333333,0.0555555555555555,0.444444444444444,0,0.0555555555555555,0.111111111111111,0.0555555555555555,0.0555555555555555,0.166666666666667,0,0.222222222222222,0.0555555555555555,0,0,0.111111111111111,0,0,0,0,18,"defendant_age_groups","convicted_fraud"
"4",NA,1,7.5,0,0.00513698630136987,0.25,0,0.5,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"defendant_age_groups","convicted_fraud"
"5","0",1,75.3777777777778,1122.22222222222,0.0309194922053504,0.405555555555556,0.172222222222222,0.255555555555556,0.0611111111111111,0.45,0.0277777777777778,0.0666666666666667,0.0222222222222223,0.0166666666666667,0.0166666666666667,0.0611111111111111,0.0666666666666666,0.211111111111111,0.05,0.0111111111111111,0.00555555555555556,0.0277777777777778,0.00555555555555556,0,0.0111111111111111,0.0111111111111111,180,"defendant_is_woman","convicted_fraud"
"6","1",1,42.6760563380282,492.957746478873,0.0181207794713486,0.323943661971831,0.23943661971831,0.169014084507042,0.0140845070422535,0.380281690140845,0,0.0704225352112676,0.028169014084507,0,0.0281690140845071,0.0422535211267606,0,0.140845070422535,0.0422535211267606,0,0,0.0563380281690141,0,0,0,0.0140845070422535,71,"defendant_is_woman","convicted_fraud"
"7",NA,1,24.1111111111111,333.333333333333,0.0101217656012177,0.444444444444444,0.111111111111111,0.222222222222222,0.111111111111111,0.666666666666667,0.111111111111111,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0,9,"defendant_is_woman","convicted_fraud"
"8","0",1,63.695945945946,763.513513513514,0.0301799844336105,0.452702702702703,0.202702702702703,0.290540540540541,0.0540540540540541,0.398648648648649,0.0202702702702703,0.0405405405405405,0.0337837837837838,0.0135135135135135,0.0337837837837838,0.0675675675675676,0.0608108108108108,0.209459459459459,0.0540540540540541,0.00675675675675676,0,0.0405405405405405,0.00675675675675676,0,0.0135135135135135,0.0135135135135135,148,"defendant_some_foreign_background","convicted_fraud"
"9","1",1,61.289156626506,1144.57831325301,0.0209062401536407,0.240963855421687,0.144578313253012,0.144578313253012,0.0481927710843373,0.421686746987952,0.0240963855421687,0.0843373493975904,0.0120481927710843,0,0,0.036144578313253,0.036144578313253,0.156626506024096,0.036144578313253,0,0.0120481927710843,0.036144578313253,0,0,0,0,83,"defendant_some_foreign_background","convicted_fraud"
"10",NA,1,79.3448275862069,1103.44827586207,0.025562903479767,0.448275862068966,0.241379310344828,0.172413793103448,0.0344827586206897,0.689655172413793,0.0344827586206897,0.172413793103448,0.0344827586206897,0.0344827586206897,0,0.0689655172413793,0,0.172413793103448,0.0689655172413793,0.0689655172413793,0.0344827586206897,0.0344827586206897,0,0.0344827586206897,0.0344827586206896,0.0344827586206897,29,"defendant_some_foreign_background","convicted_fraud"
