"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","sig_level","controls","restriction"
"1","defendant_age",0,0,NA,NA,0,0,"judgement_convicted_binary","insig","None","convicted_fraud"
"2","defendant_age",1.48805199862609,0.786130741746539,1.89288106876485,0.059510518522772,-0.0601126439231374,3.03621664117532,"punishment_prison_days","*","None","convicted_fraud"
"3","defendant_age",-26.8621646987786,20.9286642649332,-1.28351070850648,0.200482935639041,-68.0779781889978,14.3536487914407,"punishment_fine","insig","None","convicted_fraud"
"4","defendant_is_woman",-6.49120183102915e-16,4.06419996260168e-16,-1.59716595904741,0.111496974213158,-1.44957934948357e-15,1.51338983277739e-16,"judgement_convicted_binary","insig","None","convicted_fraud"
"5","defendant_is_woman",-32.7017214397498,18.1767638718158,-1.79909480424378,0.0732144768328255,-68.5015280196841,3.09808514018459,"punishment_prison_days","*","None","convicted_fraud"
"6","defendant_is_woman",-629.264475743351,484.091319710682,-1.2998879552714,0.194841409881364,-1582.70017721821,324.171225731509,"punishment_fine","insig","None","convicted_fraud"
"7","defendant_some_foreign_background",-6.37695190531641e-16,8.52355978210116e-16,-0.748155942861753,0.455133752430713,-2.31715804730409e-15,1.04176766624081e-15,"judgement_convicted_binary","insig","None","convicted_fraud"
"8","defendant_some_foreign_background",-2.40678931943992,15.9995412949954,-0.150428645113266,0.880558857870263,-33.9319220307376,29.1183433918578,"punishment_prison_days","insig","None","convicted_fraud"
"9","defendant_some_foreign_background",381.064799739503,445.692375713039,0.854995105379259,0.393447470225686,-497.117332717135,1259.24693219614,"punishment_fine","insig","None","convicted_fraud"
"10","defendant_log_net_income",3.28494231800532e-17,4.60091797390466e-17,0.71397541461003,0.475887789712231,-5.77519173415622e-17,1.23450763701669e-16,"judgement_convicted_binary","insig","None","convicted_fraud"
"11","defendant_log_net_income",-7.8742470952631,1.83862333956392,-4.28268635876812,2.60717796557174e-05,-11.4948667242944,-4.25362746623182,"punishment_prison_days","***","None","convicted_fraud"
"12","defendant_log_net_income",-48.7359851430422,50.3231328960969,-0.968460871537317,0.333721235141055,-147.832368201669,50.3603979155848,"punishment_fine","insig","None","convicted_fraud"
"13","case_is_not_oslo",-8.5004315633918e-16,4.58388553550823e-16,-1.85441619288806,0.0648206617302986,-1.75270253142522e-15,5.26162187468543e-17,"judgement_convicted_binary","*","None","convicted_fraud"
"14","case_is_not_oslo",-6.12319757146459,19.0614059353329,-0.321235358621392,0.748292113199055,-43.6589445628892,31.41254941996,"punishment_prison_days","insig","None","convicted_fraud"
"15","case_is_not_oslo",974.787081541441,501.457520432593,1.94390759301111,0.052993720648772,-12.6837628318369,1962.25792591472,"punishment_fine","*","None","convicted_fraud"
"16","defendant_is_married",-1.02416740000683e-15,4.75226732965036e-16,-2.15511318905996,0.0321119383189811,-1.96014397106974e-15,-8.81908289439125e-17,"judgement_convicted_binary","**","None","convicted_fraud"
"17","defendant_is_married",17.4173678532902,21.4522331576303,0.811913973025927,0.417616482375478,-24.8335962438796,59.6683319504599,"punishment_prison_days","insig","None","convicted_fraud"
"18","defendant_is_married",-500.647249190937,569.440539899781,-0.879191441619258,0.380145142326279,-1622.18138645258,620.886888070707,"punishment_fine","insig","None","convicted_fraud"
"19","defendant_age",-1.52751567129288e-17,2.62221452784506e-17,-0.58252887209354,0.560804352743973,-6.69526139461213e-17,3.64023005202638e-17,"judgement_convicted_binary","insig","Pers.","convicted_fraud"
"20","defendant_is_woman",-6.78498702704132e-16,5.85631016492219e-16,-1.15857713064476,0.247879001668688,-1.8326347006493e-15,4.75637295241033e-16,"judgement_convicted_binary","insig","Pers.","convicted_fraud"
"21","defendant_some_foreign_background",6.83526055862627e-16,5.72134509958566e-16,1.19469468099753,0.233486915793787,-4.44011617201638e-16,1.81106372892689e-15,"judgement_convicted_binary","insig","Pers.","convicted_fraud"
"22","defendant_log_net_income",-1.18368103104903e-17,6.45966824014475e-17,-0.183241768314483,0.854776323474182,-1.3914112720596e-16,1.15467506584979e-16,"judgement_convicted_binary","insig","Pers.","convicted_fraud"
"23","case_is_not_oslo",1.31230614539236e-15,6.64340400781566e-16,1.9753520090732,0.0494727327977472,3.05313481260091e-18,2.62155915597212e-15,"judgement_convicted_binary","**","Pers.","convicted_fraud"
"24","defendant_is_married",-1.37925779564926e-15,7.1374351992982e-16,-1.93242776590795,0.0545848831691569,-2.78587231307218e-15,2.73567217736631e-17,"judgement_convicted_binary","*","Pers.","convicted_fraud"
"25","defendant_age",-3.94871171826487e-17,3.38313887312143e-17,-1.16717399620714,0.244794077981759,-1.06276543811625e-16,2.73023094463276e-17,"judgement_convicted_binary","insig","Conv.","convicted_fraud"
"26","defendant_is_woman",-8.41218649526389e-16,7.24578679226782e-16,-1.16097626613038,0.247298529840279,-2.27167114787409e-15,5.89233848821311e-16,"judgement_convicted_binary","insig","Conv.","convicted_fraud"
"27","defendant_some_foreign_background",6.53566012351608e-16,7.33419844565656e-16,0.891121255027754,0.374138573457024,-7.94340583680548e-16,2.10147260838376e-15,"judgement_convicted_binary","insig","Conv.","convicted_fraud"
"28","defendant_log_net_income",-1.16433012367046e-16,9.36850611217727e-17,-1.24281300532755,0.215668547256921,-3.01384672665006e-16,6.85186479309151e-17,"judgement_convicted_binary","insig","Conv.","convicted_fraud"
"29","case_is_not_oslo",1.67732417153139e-15,8.00449283739516e-16,2.09547838395871,0.0376277118940534,9.70890493115569e-17,3.25755929375122e-15,"judgement_convicted_binary","**","Conv.","convicted_fraud"
"30","defendant_is_married",-1.42089861863538e-15,8.48258652031672e-16,-1.67507707140054,0.095779474606312,-3.0955182877355e-15,2.53721050464743e-16,"judgement_convicted_binary","*","Conv.","convicted_fraud"
"31","defendant_age",2.39575451341642,0.764116515827423,3.13532617577593,0.00194974220589463,0.889867098464957,3.90164192836788,"punishment_prison_days","***","Pers.","convicted_fraud"
"32","defendant_is_woman",-22.7003295186301,17.0653593415278,-1.33019932744046,0.184823678180965,-56.3319934491021,10.9313344118419,"punishment_prison_days","insig","Pers.","convicted_fraud"
"33","defendant_some_foreign_background",-0.263789514129399,16.6720694928588,-0.0158222417584325,0.987390478869221,-33.1203750092172,32.5927959809584,"punishment_prison_days","insig","Pers.","convicted_fraud"
"34","defendant_log_net_income",-6.14707442306681,1.88235521413148,-3.26562934398282,0.00126591487123994,-9.85673776460497,-2.43741108152865,"punishment_prison_days","***","Pers.","convicted_fraud"
"35","case_is_not_oslo",-16.2250442003604,19.3589604122046,-0.83811546978171,0.402871380109761,-54.3768368228701,21.9267484221493,"punishment_prison_days","insig","Pers.","convicted_fraud"
"36","defendant_is_married",-12.3421515632058,20.7985733376045,-0.593413373257233,0.553511370311164,-53.331070385525,28.6467672591134,"punishment_prison_days","insig","Pers.","convicted_fraud"
"37","defendant_age",1.04190115060627,0.560307048097078,1.85951819479121,0.0647023896394706,-0.0642487262402125,2.14805102745275,"punishment_prison_days","*","Conv.","convicted_fraud"
"38","defendant_is_woman",-22.1544438539061,12.0002919211252,-1.8461587434307,0.0666287755367736,-45.8452424539884,1.53635474617616,"punishment_prison_days","*","Conv.","convicted_fraud"
"39","defendant_some_foreign_background",-14.7755227782492,12.1467171031395,-1.21642108339135,0.225530818448961,-38.7553918042745,9.20434624777612,"punishment_prison_days","insig","Conv.","convicted_fraud"
"40","defendant_log_net_income",0.456853177808947,1.55158868780054,0.294442194249663,0.768783529594469,-2.60627023239238,3.51997658801028,"punishment_prison_days","insig","Conv.","convicted_fraud"
"41","case_is_not_oslo",-34.5136851143145,13.2568420080759,-2.60346205327702,0.0100547420094756,-60.6851462879847,-8.34222394064424,"punishment_prison_days","**","Conv.","convicted_fraud"
"42","defendant_is_married",-0.262832263819838,14.0486488780803,-0.0187087218209238,0.985095671088971,-27.9974668344983,27.4718023068586,"punishment_prison_days","insig","Conv.","convicted_fraud"
"43","defendant_age",-26.3918249163732,21.7826888270848,-1.21159628757848,0.226960827222095,-69.3201955104716,16.5365456777251,"punishment_fine","insig","Pers.","convicted_fraud"
"44","defendant_is_woman",-315.107711505007,486.482630016651,-0.647726541632579,0.517834149065706,-1273.84640509453,643.630982084519,"punishment_fine","insig","Pers.","convicted_fraud"
"45","defendant_some_foreign_background",572.540458165587,475.271106361609,1.20466077256119,0.229622765175434,-364.103054879024,1509.1839712102,"punishment_fine","insig","Pers.","convicted_fraud"
"46","defendant_log_net_income",-25.8897619956354,53.6603476592398,-0.482474734603727,0.629946271730286,-131.641228621727,79.8617046304566,"punishment_fine","insig","Pers.","convicted_fraud"
"47","case_is_not_oslo",906.049960480774,551.86637370124,1.64179229548651,0.102055276426557,-181.544155963232,1993.64407692478,"punishment_fine","insig","Pers.","convicted_fraud"
"48","defendant_is_married",-934.451269138912,592.905455746834,-1.57605442837739,0.116443631441665,-2102.9234138594,234.02087558158,"punishment_fine","insig","Pers.","convicted_fraud"
"49","defendant_age",-21.997220500137,21.2675344818508,-1.03430985471818,0.302477898128297,-63.9832721263369,19.9888311260629,"punishment_fine","insig","Conv.","convicted_fraud"
"50","defendant_is_woman",-193.615643667344,455.494220698413,-0.425067179492358,0.671331640371791,-1092.84558882152,705.614301486831,"punishment_fine","insig","Conv.","convicted_fraud"
"51","defendant_some_foreign_background",490.088033039766,461.052070841608,1.06297762017456,0.289317654750021,-420.114137561699,1400.29020364123,"punishment_fine","insig","Conv.","convicted_fraud"
"52","defendant_log_net_income",7.6004018821874,58.8935406604603,0.129053233970192,0.897469897908234,-108.66635394369,123.867157708065,"punishment_fine","insig","Conv.","convicted_fraud"
"53","case_is_not_oslo",421.335455042805,503.189002324231,0.837330412820343,0.403596440381857,-572.052821691875,1414.72373177749,"punishment_fine","insig","Conv.","convicted_fraud"
"54","defendant_is_married",-348.344666522159,533.24355896059,-0.653256210353783,0.514484147660662,-1401.06620389472,704.376870850399,"punishment_fine","insig","Conv.","convicted_fraud"
