"","var_value","judgement_convicted_binary","punishment_prison_days","punishment_fine","punishment_share_max_prison_sentence","group1_mitigating_confession","group1_aggravating_other","group1_aggravating_repeated_offense","group1_aggravating_driving","group1_mitigating_processing_time","group1_aggravating_life_health","group1_mitigating_other","group1_aggravating_victim","group1_aggravating_threats","group1_aggravating_place","group1_aggravating_severe","group1_aggravating_preventative","group1_aggravating_violation","group1_aggravating_cumulative_offense","group1_aggravating_children","group1_aggravating_drugs","group1_mitigating_burden","group1_mitigating_cause","group1_aggravating_object","group1_mitigating_potential_rehabilitation","group1_mitigating_minor","n","grouping_var","restriction"
"1","40 - 55",1,194.796296296296,2796.2962962963,0.0732500995819108,0.555555555555556,0.388888888888889,0.407407407407407,0.296296296296296,0.296296296296296,0.111111111111111,0.037037037037037,0.0370370370370371,0.0555555555555555,0.0370370370370371,0.0740740740740741,0.0370370370370371,0.185185185185185,0.0925925925925926,0.037037037037037,0.0555555555555556,0.0185185185185185,0.0185185185185185,0.203703703703704,0.0185185185185185,0.0925925925925926,54,"defendant_age_groups","convicted_illegal_arming_in_a_public_place"
"2","< 40",1,121.227642276423,2898.37398373984,0.0596323938154877,0.422764227642276,0.439024390243902,0.422764227642276,0.195121951219512,0.170731707317073,0.105691056910569,0.016260162601626,0.0406504065040651,0.0813008130081302,0.0975609756097561,0.0650406504065041,0.024390243902439,0.113821138211382,0.105691056910569,0.0406504065040651,0.0975609756097561,0,0.040650406504065,0.276422764227642,0.00813008130081302,0.0325203252032521,123,"defendant_age_groups","convicted_illegal_arming_in_a_public_place"
"3","> 55",1,40.125,5000,0.0374143835616438,0.375,0.5,0.375,0.25,0.25,0,0.125,0,0.25,0,0.125,0,0.25,0.125,0,0.125,0.25,0,0.25,0,0,8,"defendant_age_groups","convicted_illegal_arming_in_a_public_place"
"4",NA,1,30,0,0.0821917808219178,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"defendant_age_groups","convicted_illegal_arming_in_a_public_place"
"5","0",1,139.152941176471,2826.47058823529,0.0649220671887876,0.464705882352941,0.423529411764706,0.388235294117647,0.217647058823529,0.217647058823529,0.0941176470588235,0.0235294117647059,0.0352941176470588,0.088235294117647,0.0647058823529412,0.0705882352941176,0.0294117647058824,0.135294117647059,0.105882352941176,0.0352941176470588,0.0882352941176471,0.0117647058823529,0.0294117647058824,0.252941176470588,0.011764705882353,0.0470588235294117,170,"defendant_is_woman","convicted_illegal_arming_in_a_public_place"
"6","1",1,119.4,3200,0.028010437051533,0.3,0.3,0.6,0,0,0.1,0,0,0,0.3,0,0,0.1,0.1,0,0,0,0.1,0.2,0,0.1,10,"defendant_is_woman","convicted_illegal_arming_in_a_public_place"
"7",NA,1,137.285714285714,5000,0.0624475220365631,0.571428571428571,0.571428571428571,0.714285714285714,0.714285714285714,0.285714285714286,0.285714285714286,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0,0.285714285714286,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.285714285714286,0,0,7,"defendant_is_woman","convicted_illegal_arming_in_a_public_place"
"8","0",1,136.470085470086,2876.06837606838,0.0650762986379425,0.487179487179487,0.367521367521368,0.384615384615385,0.213675213675214,0.256410256410256,0.0854700854700854,0.0170940170940171,0.0341880341880342,0.094017094017094,0.0854700854700854,0.0769230769230769,0.0256410256410257,0.128205128205128,0.102564102564103,0.0427350427350427,0.05982905982906,0.0170940170940171,0.0256410256410256,0.282051282051282,0.00854700854700854,0.0598290598290598,117,"defendant_some_foreign_background","convicted_illegal_arming_in_a_public_place"
"9","1",1,106.016949152542,2813.5593220339,0.0554322923419743,0.389830508474576,0.542372881355932,0.423728813559322,0.186440677966102,0.101694915254237,0.101694915254237,0.0338983050847458,0.0338983050847458,0.0677966101694915,0.0677966101694915,0.0338983050847458,0.0338983050847458,0.135593220338983,0.101694915254237,0.0169491525423729,0.101694915254237,0,0.0508474576271187,0.169491525423729,0.0169491525423729,0.0169491525423729,59,"defendant_some_foreign_background","convicted_illegal_arming_in_a_public_place"
"10",NA,1,326.272727272727,4090.90909090909,0.0790505689135825,0.545454545454545,0.363636363636364,0.636363636363636,0.545454545454545,0.272727272727273,0.272727272727273,0.0909090909090909,0.0909090909090909,0,0,0.181818181818182,0,0.272727272727273,0.0909090909090909,0.0909090909090909,0.272727272727273,0.0909090909090909,0,0.363636363636364,0,0.0909090909090909,11,"defendant_some_foreign_background","convicted_illegal_arming_in_a_public_place"
