"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","sig_level","controls","restriction"
"1","defendant_age",-1.90705131197818e-19,3.11332773849563e-18,-0.0612544348735887,0.951230265309618,-6.33752792250856e-18,5.95611766011292e-18,"judgement_convicted_binary","insig","None","convicted_incorrect_explanation"
"2","defendant_age",0.438377305076082,0.339361017418303,1.29177272160205,0.19823148362791,-0.231642754346631,1.1083973644988,"punishment_prison_days","insig","None","convicted_incorrect_explanation"
"3","defendant_age",-15.3344080525302,9.99948813955988,-1.5335193000394,0.127051613361988,-35.0769750934766,4.40815898841623,"punishment_fine","insig","None","convicted_incorrect_explanation"
"4","defendant_is_woman",3.70761502258505e-17,2.50604387023401e-17,1.47946932079798,0.14094498479456,-1.24088090480084e-17,8.65611094997094e-17,"judgement_convicted_binary","insig","None","convicted_incorrect_explanation"
"5","defendant_is_woman",-12.7372362151123,6.85905023383035,-1.85699707406857,0.0651160951108863,-26.2812856832788,0.806813253054139,"punishment_prison_days","*","None","convicted_incorrect_explanation"
"6","defendant_is_woman",15.3165418652139,205.248340870669,0.0746244369150109,0.940605034278872,-389.971885430504,420.604969160932,"punishment_fine","insig","None","convicted_incorrect_explanation"
"7","defendant_some_foreign_background",-4.29518046241641e-16,4.88650390505413e-16,-0.878988443654755,0.380842095283631,-1.39520522436315e-15,5.36169131879862e-16,"judgement_convicted_binary","insig","None","convicted_incorrect_explanation"
"8","defendant_some_foreign_background",1.65274725274726,6.86820032000974,0.240637601662864,0.81017128678556,-11.9204189918215,15.225913497316,"punishment_prison_days","insig","None","convicted_incorrect_explanation"
"9","defendant_some_foreign_background",-84.249084249084,212.699066411832,-0.396095223502106,0.692609114698457,-504.592064063085,336.093895564917,"punishment_fine","insig","None","convicted_incorrect_explanation"
"10","defendant_log_net_income",2.2077798551519e-17,9.55764116109221e-17,0.230996311531286,0.817598745660898,-1.66607737873382e-16,2.1076333497642e-16,"judgement_convicted_binary","insig","None","convicted_incorrect_explanation"
"11","defendant_log_net_income",-1.64038584939251,1.08281823529734,-1.51492263052077,0.131671178069217,-3.77806957421646,0.497297875431444,"punishment_prison_days","insig","None","convicted_incorrect_explanation"
"12","defendant_log_net_income",14.2018783484108,32.0914635456201,0.442543803844343,0.658664975270177,-49.1526137454682,77.5563704422898,"punishment_fine","insig","None","convicted_incorrect_explanation"
"13","case_is_not_oslo",-3.79730399685953e-16,6.15426471299272e-16,-0.617019932347526,0.538056896852668,-1.59469622556257e-15,8.35235426190659e-16,"judgement_convicted_binary","insig","None","convicted_incorrect_explanation"
"14","case_is_not_oslo",-2.90572565300122,7.02309814591499,-0.413738437457455,0.679593358779662,-16.7706220086127,10.9591707026103,"punishment_prison_days","insig","None","convicted_incorrect_explanation"
"15","case_is_not_oslo",-50.1643314305486,206.925774496122,-0.242426694077634,0.808745252287741,-458.674131106654,358.345468245557,"punishment_fine","insig","None","convicted_incorrect_explanation"
"16","defendant_is_married",5.21070219390329e-17,2.78029378061422e-17,1.87415525302946,0.0626985639306585,-2.79334358817184e-18,1.07007387466238e-16,"judgement_convicted_binary","*","None","convicted_incorrect_explanation"
