"","var_value","judgement_convicted_binary","punishment_prison_days","punishment_fine","punishment_share_max_prison_sentence","group1_mitigating_confession","group1_aggravating_other","group1_aggravating_repeated_offense","group1_aggravating_driving","group1_mitigating_processing_time","group1_aggravating_life_health","group1_mitigating_other","group1_aggravating_victim","group1_aggravating_threats","group1_aggravating_place","group1_aggravating_severe","group1_aggravating_preventative","group1_aggravating_violation","group1_aggravating_cumulative_offense","group1_aggravating_children","group1_aggravating_drugs","group1_mitigating_burden","group1_mitigating_cause","group1_aggravating_object","group1_mitigating_potential_rehabilitation","group1_mitigating_minor","n","grouping_var","restriction"
"1","40 - 55",1,47.7142857142857,23624.6753246753,0.0586562296151338,0.350649350649351,0.233766233766234,0.194805194805195,0.337662337662338,0.155844155844156,0.168831168831169,0.038961038961039,0,0.012987012987013,0.025974025974026,0.0779220779220779,0.025974025974026,0.0519480519480519,0.025974025974026,0.012987012987013,0.0779220779220779,0,0,0,0.012987012987013,0.025974025974026,77,"defendant_age_groups","convicted_loss_of_the_right_to_drive_a_motor_vehicle."
"2","< 40",1,33.487012987013,12415.6862745098,0.0423270080869502,0.409090909090909,0.168831168831169,0.227272727272727,0.454545454545454,0.201298701298701,0.175324675324675,0.0194805194805195,0.0064935064935065,0.0194805194805195,0.012987012987013,0.038961038961039,0.038961038961039,0.0649350649350649,0.11038961038961,0.0194805194805195,0.116883116883117,0.0194805194805195,0.0194805194805195,0.0194805194805195,0.0064935064935065,0.012987012987013,154,"defendant_age_groups","convicted_loss_of_the_right_to_drive_a_motor_vehicle."
"3","> 55",1,22.9333333333333,18622.2222222222,0,0.355555555555556,0.244444444444444,0.222222222222222,0.488888888888889,0.155555555555556,0.222222222222222,0,0,0,0,0,0.0222222222222222,0,0.0222222222222222,0.0222222222222222,0.0444444444444444,0.0444444444444445,0,0,0,0.0222222222222222,45,"defendant_age_groups","convicted_loss_of_the_right_to_drive_a_motor_vehicle."
"4",NA,1,43,19083.3333333333,NA,0.5,0.333333333333333,0.5,0.666666666666667,0,0.166666666666667,0,0,0,0,0.166666666666667,0,0,0.166666666666667,0,0.166666666666667,0,0,0,0,0,6,"defendant_age_groups","convicted_loss_of_the_right_to_drive_a_motor_vehicle."
"5","0",1,37.2170212765957,16747.6495726496,0.0480676028991341,0.382978723404255,0.191489361702128,0.251063829787234,0.425531914893617,0.178723404255319,0.178723404255319,0.0212765957446808,0.00425531914893617,0.0170212765957447,0.0170212765957447,0.0468085106382979,0.0297872340425532,0.0425531914893617,0.0851063829787235,0.0170212765957447,0.0978723404255319,0.0170212765957447,0.0127659574468085,0.0127659574468085,0.00851063829787233,0.0212765957446809,235,"defendant_is_woman","convicted_loss_of_the_right_to_drive_a_motor_vehicle."
"6","1",1,31.7333333333333,13283.3333333333,0.0337899543378995,0.433333333333333,0.3,0.133333333333333,0.566666666666667,0.2,0.233333333333333,0,0,0,0,0.0333333333333333,0.0666666666666667,0.0666666666666667,0.0333333333333333,0.0333333333333333,0.0666666666666667,0.0333333333333333,0,0,0,0,30,"defendant_is_woman","convicted_loss_of_the_right_to_drive_a_motor_vehicle."
"7",NA,1,24.8823529411765,20808.8235294118,0.0493150684931507,0.352941176470588,0.176470588235294,0,0.294117647058824,0.117647058823529,0.117647058823529,0.0588235294117647,0,0,0,0.0588235294117647,0,0.117647058823529,0,0,0.117647058823529,0,0,0,0,0,17,"defendant_is_woman","convicted_loss_of_the_right_to_drive_a_motor_vehicle."
"8","0",1,37.1639344262295,16620.6043956044,0.052997489258569,0.420765027322405,0.19672131147541,0.245901639344262,0.448087431693989,0.185792349726776,0.191256830601093,0.0218579234972677,0,0.0163934426229508,0.0218579234972677,0.0382513661202186,0.0382513661202186,0.0491803278688524,0.0437158469945355,0.0218579234972677,0.092896174863388,0.0273224043715847,0.0109289617486339,0.0109289617486339,0.00546448087431693,0.0273224043715847,183,"defendant_some_foreign_background","convicted_loss_of_the_right_to_drive_a_motor_vehicle."
"9","1",1,36.5441176470588,13757.3529411765,0.0262506671410781,0.294117647058823,0.220588235294118,0.191176470588235,0.382352941176471,0.161764705882353,0.132352941176471,0.0147058823529412,0.0147058823529412,0.0147058823529412,0,0.0588235294117647,0.0147058823529412,0.0441176470588235,0.147058823529412,0,0.102941176470588,0,0.0147058823529412,0.0147058823529412,0.0147058823529412,0,68,"defendant_some_foreign_background","convicted_loss_of_the_right_to_drive_a_motor_vehicle."
"10",NA,1,26.9354838709677,22927.4193548387,0.0318493150684932,0.387096774193548,0.193548387096774,0.161290322580645,0.451612903225806,0.161290322580645,0.225806451612903,0.032258064516129,0,0,0,0.0645161290322581,0.032258064516129,0.0645161290322581,0.0967741935483871,0.032258064516129,0.0967741935483871,0,0,0,0,0,31,"defendant_some_foreign_background","convicted_loss_of_the_right_to_drive_a_motor_vehicle."
