"","var_value","judgement_convicted_binary","punishment_prison_days","punishment_fine","punishment_share_max_prison_sentence","group1_mitigating_confession","group1_aggravating_other","group1_aggravating_repeated_offense","group1_aggravating_driving","group1_mitigating_processing_time","group1_aggravating_life_health","group1_mitigating_other","group1_aggravating_victim","group1_aggravating_threats","group1_aggravating_place","group1_aggravating_severe","group1_aggravating_preventative","group1_aggravating_violation","group1_aggravating_cumulative_offense","group1_aggravating_children","group1_aggravating_drugs","group1_mitigating_burden","group1_mitigating_cause","group1_aggravating_object","group1_mitigating_potential_rehabilitation","group1_mitigating_minor","n","grouping_var","restriction"
"1","40 - 55",1,76.6111111111111,4638.88888888889,0.0195270989791538,0.333333333333333,0.361111111111111,0.388888888888889,0.138888888888889,0.166666666666667,0.194444444444444,0.0277777777777778,0.111111111111111,0.194444444444444,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.305555555555556,0.166666666666667,0,0.0277777777777778,0.0277777777777778,0,0,0,0,36,"defendant_age_groups","convicted_obstruction_of_a_public_official"
"2","< 40",1,56.75,2511.18421052632,0.0148587571104694,0.407894736842105,0.453947368421053,0.328947368421052,0.0986842105263157,0.177631578947368,0.0723684210526316,0.0328947368421052,0.0263157894736842,0.171052631578947,0.0921052631578948,0.0657894736842105,0.0526315789473685,0.230263157894737,0.0921052631578948,0.0263157894736842,0.0263157894736842,0.0197368421052632,0.0328947368421052,0.00657894736842106,0.00657894736842106,0.00657894736842106,152,"defendant_age_groups","convicted_obstruction_of_a_public_official"
"3","> 55",1,35.6428571428571,4828.57142857143,0.0112266824538034,0.285714285714286,0.214285714285714,0.285714285714286,0,0.142857142857143,0,0,0,0.5,0,0.0714285714285715,0.0714285714285715,0.285714285714286,0.0714285714285715,0,0,0,0.0714285714285715,0,0,0,14,"defendant_age_groups","convicted_obstruction_of_a_public_official"
"4",NA,1,15,14250,0.00684931506849316,0.5,0.75,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,4,"defendant_age_groups","convicted_obstruction_of_a_public_official"
"5","0",1,60.093023255814,3682.55813953488,0.0159445034739012,0.38953488372093,0.401162790697674,0.348837209302326,0.104651162790698,0.180232558139535,0.0872093023255814,0.0290697674418604,0.0406976744186046,0.209302325581395,0.0697674418604651,0.0813953488372093,0.0523255813953488,0.25,0.0988372093023256,0.0174418604651163,0.0290697674418605,0.0174418604651163,0.0290697674418604,0.00581395348837209,0.00581395348837209,0.00581395348837209,172,"defendant_is_woman","convicted_obstruction_of_a_public_official"
"6","1",1,34.04,1196,0.00860916252697074,0.44,0.56,0.24,0.04,0.12,0,0.04,0,0.12,0.16,0.04,0.12,0.2,0.12,0,0,0.04,0.04,0,0,0,25,"defendant_is_woman","convicted_obstruction_of_a_public_official"
"7",NA,1,84,1111.11111111111,0.0209326442203154,0.222222222222222,0.555555555555556,0.222222222222222,0.111111111111111,0.111111111111111,0.333333333333333,0,0.111111111111111,0.111111111111111,0.111111111111111,0,0,0.222222222222222,0.111111111111111,0.111111111111111,0,0,0.111111111111111,0,0,0,9,"defendant_is_woman","convicted_obstruction_of_a_public_official"
"8","0",1,60.5371900826446,2095.86776859504,0.0156047595716018,0.388429752066116,0.462809917355372,0.363636363636364,0.0826446280991736,0.181818181818182,0.0909090909090909,0.0330578512396695,0.0413223140495868,0.206611570247934,0.0826446280991736,0.0991735537190082,0.0495867768595041,0.28099173553719,0.0743801652892562,0.00826446280991737,0.0165289256198347,0.0247933884297521,0.0330578512396694,0.00826446280991737,0.00826446280991737,0.00826446280991737,121,"defendant_some_foreign_background","convicted_obstruction_of_a_public_official"
"9","1",1,57.7049180327869,5418.03278688524,0.0158802683954267,0.40983606557377,0.360655737704918,0.344262295081967,0.114754098360656,0.131147540983607,0.0655737704918033,0.0327868852459016,0.0327868852459016,0.229508196721312,0.0655737704918033,0.0491803278688524,0.0819672131147541,0.213114754098361,0.147540983606557,0.0163934426229508,0.0491803278688524,0.0163934426229508,0.0327868852459016,0,0,0,61,"defendant_some_foreign_background","convicted_obstruction_of_a_public_official"
"10",NA,1,45.75,3716.66666666667,0.0120502157659692,0.333333333333333,0.416666666666667,0.125,0.125,0.208333333333333,0.125,0,0.0416666666666667,0.0416666666666667,0.125,0,0.0416666666666667,0.125,0.125,0.0833333333333333,0,0,0.0416666666666667,0,0,0,24,"defendant_some_foreign_background","convicted_obstruction_of_a_public_official"
