"","var_value","judgement_convicted_binary","punishment_prison_days","punishment_fine","punishment_share_max_prison_sentence","group1_mitigating_confession","group1_aggravating_other","group1_aggravating_repeated_offense","group1_aggravating_driving","group1_mitigating_processing_time","group1_aggravating_life_health","group1_mitigating_other","group1_aggravating_victim","group1_aggravating_threats","group1_aggravating_place","group1_aggravating_severe","group1_aggravating_preventative","group1_aggravating_violation","group1_aggravating_cumulative_offense","group1_aggravating_children","group1_aggravating_drugs","group1_mitigating_burden","group1_mitigating_cause","group1_aggravating_object","group1_mitigating_potential_rehabilitation","group1_mitigating_minor","n","grouping_var","restriction"
"1","40 - 55",1,356.488888888889,1675,0.0693879031431146,0.511111111111111,0.311111111111111,0.466666666666667,0.177777777777778,0.333333333333333,0.133333333333333,0.0222222222222222,0.0444444444444444,0.0444444444444445,0.0888888888888889,0,0.0222222222222222,0.133333333333333,0.0444444444444445,0.0222222222222222,0.0666666666666667,0.0222222222222222,0.0222222222222222,0.0444444444444445,0,0,45,"defendant_age_groups","convicted_participation"
"2","< 40",1,196.190751445087,1947.55244755245,0.0580464476131789,0.421965317919075,0.167630057803468,0.300578034682081,0.127167630057803,0.277456647398844,0.115606936416185,0.069364161849711,0.0867052023121387,0.0346820809248555,0.127167630057803,0.0867052023121387,0.0346820809248555,0.0982658959537573,0.0346820809248555,0.023121387283237,0.104046242774566,0.0115606936416185,0.0867052023121387,0.0346820809248555,0.0115606936416185,0.0693641618497109,173,"defendant_age_groups","convicted_participation"
"3","> 55",1,226.875,857.142857142857,0.0572432667094669,0.625,0.125,0.375,0.25,0.375,0.25,0,0.125,0.125,0.25,0,0,0.25,0,0,0,0,0.125,0.125,0,0,8,"defendant_age_groups","convicted_participation"
"4",NA,1,780,0,0.11613360354732,0.333333333333333,0,0.666666666666667,0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.666666666666667,0.666666666666667,0,0.333333333333333,0,0,0,0,0,3,"defendant_age_groups","convicted_participation"
"5","0",1,220.582474226804,1746.9512195122,0.0601262349529753,0.432989690721649,0.190721649484536,0.355670103092784,0.139175257731959,0.304123711340206,0.123711340206186,0.056701030927835,0.0773195876288659,0.0360824742268041,0.128865979381443,0.0824742268041237,0.0257731958762887,0.118556701030928,0.0412371134020619,0.0154639175257732,0.103092783505155,0.0103092783505155,0.0824742268041237,0.0463917525773196,0.00515463917525774,0.0463917525773196,194,"defendant_is_woman","convicted_participation"
"6","1",1,268.217391304348,3250,0.060061995776707,0.478260869565217,0.217391304347826,0.173913043478261,0.173913043478261,0.217391304347826,0.173913043478261,0.0434782608695652,0.0869565217391304,0,0.173913043478261,0,0.0869565217391304,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.0434782608695652,0.0434782608695652,0,0,0,23,"defendant_is_woman","convicted_participation"
"7",NA,1,431.333333333333,0,0.0758745448516145,0.583333333333333,0.166666666666667,0.416666666666667,0.0833333333333333,0.166666666666667,0.0833333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,0,0.25,0.0833333333333333,0.0833333333333333,0,0,0,0,0.0833333333333333,0.25,12,"defendant_is_woman","convicted_participation"
"8","0",1,256.516393442623,2485.98130841121,0.060507610633154,0.475409836065574,0.229508196721311,0.352459016393443,0.204918032786885,0.360655737704918,0.180327868852459,0.0327868852459016,0.10655737704918,0.0491803278688524,0.180327868852459,0.10655737704918,0.040983606557377,0.122950819672131,0.0327868852459016,0.0163934426229508,0.0737704918032787,0.0081967213114754,0.0573770491803279,0.0327868852459016,0.0081967213114754,0.0245901639344262,122,"defendant_some_foreign_background","convicted_participation"
"9","1",1,197.493975903615,1126.86567164179,0.0627531806341959,0.397590361445783,0.144578313253012,0.337349397590362,0.0602409638554217,0.192771084337349,0.0602409638554217,0.0602409638554217,0.0481927710843373,0.0120481927710843,0.0843373493975903,0.036144578313253,0.0240963855421687,0.0843373493975904,0.0602409638554217,0.0240963855421687,0.144578313253012,0.0240963855421687,0.0843373493975904,0.0602409638554217,0,0.0481927710843373,83,"defendant_some_foreign_background","convicted_participation"
"10",NA,1,268.791666666667,526.315789473684,0.0569815530822827,0.458333333333333,0.166666666666667,0.291666666666667,0.0833333333333333,0.25,0.0833333333333333,0.166666666666667,0.0833333333333333,0.0833333333333333,0,0,0,0.208333333333333,0.0416666666666667,0.0416666666666667,0.0416666666666667,0,0.125,0,0.0416666666666667,0.208333333333333,24,"defendant_some_foreign_background","convicted_participation"
"11","0",1,224.980582524272,1985.87570621469,0.0575404152661435,0.446601941747573,0.189320388349515,0.33495145631068,0.150485436893204,0.296116504854369,0.135922330097087,0.0485436893203884,0.0825242718446601,0.0339805825242718,0.140776699029126,0.0776699029126214,0.0339805825242719,0.116504854368932,0.0436893203883495,0.0194174757281553,0.106796116504854,0.00970873786407767,0.0728155339805825,0.0436893203883495,0.00485436893203884,0.0436893203883495,206,"defendant_is_married","convicted_participation"
"12","1",1,237.818181818182,0,0.10748280903135,0.272727272727273,0.272727272727273,0.363636363636364,0,0.272727272727273,0,0.181818181818182,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.181818181818182,0,0,0,11,"defendant_is_married","convicted_participation"
