"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","sig_level","controls","restriction"
"1","defendant_age",9.12532265105361e-18,1.74082981686337e-17,0.524193839205698,0.60066202819859,-2.51796605341941e-17,4.34303058363013e-17,"judgement_convicted_binary","insig","None","convicted_participation"
"2","defendant_age",6.04485325846776,2.55115211268823,2.36946014641914,0.0186632345695114,1.01752494176488,11.0721815751706,"punishment_prison_days","**","None","convicted_participation"
"3","defendant_age",-14.6019029759692,37.5092324306551,-0.389288237315023,0.697503530509967,-88.5949664117813,59.3911604598428,"punishment_fine","insig","None","convicted_participation"
"4","defendant_is_woman",1.25087314968466e-16,3.64031230630933e-16,0.343616987893226,0.731470137858315,-5.92439762908172e-16,8.42614392845103e-16,"judgement_convicted_binary","insig","None","convicted_participation"
"5","defendant_is_woman",47.6349170775439,84.5759291264465,0.563220736319983,0.57387148102065,-119.069239540067,214.339073695155,"punishment_prison_days","insig","None","convicted_participation"
"6","defendant_is_woman",1503.04878048781,1295.19587829808,1.16047989780731,0.247373428151069,-1052.48158401323,4058.57914498884,"punishment_fine","insig","None","convicted_participation"
"7","defendant_some_foreign_background",3.12885385085562e-16,2.57775240131387e-16,1.21379146005677,0.226237650907258,-1.95374914548686e-16,8.21145684719811e-16,"judgement_convicted_binary","insig","None","convicted_participation"
"8","defendant_some_foreign_background",-59.0224175390087,55.7462509639996,-1.05876927180493,0.290963071010372,-168.9383512959,50.8935162178831,"punishment_prison_days","insig","None","convicted_participation"
"9","defendant_some_foreign_background",-1359.11563676942,865.45103515885,-1.57041309277533,0.118156824456036,-3067.38804010898,349.156766570137,"punishment_fine","insig","None","convicted_participation"
"10","defendant_log_net_income",-2.65013644686175e-17,1.45462013335943e-17,-1.82187526907199,0.0697898946439427,-5.51642107213553e-17,2.16148178412029e-18,"judgement_convicted_binary","*","None","convicted_participation"
"11","defendant_log_net_income",-10.1708158095067,5.43727901278342,-1.87057088400179,0.0626914336510846,-20.8848083359761,0.54317671696278,"punishment_prison_days","*","None","convicted_participation"
"12","defendant_log_net_income",93.4308990134868,77.4461309477753,1.20639853624825,0.229156005824428,-59.3286505355339,246.190448562508,"punishment_fine","insig","None","convicted_participation"
"13","case_is_not_oslo",-2.57709768151453e-16,1.59942542497778e-16,-1.611264671218,0.108511585381392,-5.72871671919287e-16,5.74521356163808e-17,"judgement_convicted_binary","insig","None","convicted_participation"
"14","case_is_not_oslo",40.1459280303032,60.0908466945103,0.6680872418789,0.504756616087827,-78.2612533706431,158.55310943125,"punishment_prison_days","insig","None","convicted_participation"
"15","case_is_not_oslo",1628.83026911805,853.47831412363,1.90846122527503,0.0578312184290373,-54.6232645814066,3312.28380281751,"punishment_fine","*","None","convicted_participation"
"16","defendant_is_married",1.17800675261562e-16,5.10903649377882e-16,0.230573172466092,0.817865660486771,-8.89220623376082e-16,1.12482197389921e-15,"judgement_convicted_binary","insig","None","convicted_participation"
"17","defendant_is_married",12.8375992939098,118.765405814719,0.108092076188728,0.914023459786293,-221.256037231096,246.931235818916,"punishment_prison_days","insig","None","convicted_participation"
"18","defendant_is_married",-1985.8757062147,2110.00405318919,-0.941171512544312,0.347864504949511,-6149.0911066765,2177.33969424711,"punishment_fine","insig","None","convicted_participation"
"19","defendant_age",2.9568856330666e-18,1.35373520775642e-17,0.218424224776359,0.82732701406753,-2.37415349777528e-17,2.9655306243886e-17,"judgement_convicted_binary","insig","Pers.","convicted_participation"
"20","defendant_is_woman",-9.11093338075982e-17,4.0126957486824e-16,-0.227052683566938,0.820620634191225,-8.82494815013506e-16,7.0027614739831e-16,"judgement_convicted_binary","insig","Pers.","convicted_participation"
"21","defendant_some_foreign_background",1.06622733824401e-16,3.0813857014407e-16,0.346022030849789,0.729699198418786,-5.01089402565798e-16,7.143348702146e-16,"judgement_convicted_binary","insig","Pers.","convicted_participation"
"22","defendant_log_net_income",-4.74239686899969e-17,2.81866235791146e-17,-1.682499095959,0.0940726070232682,-1.03013741904305e-16,8.16580452431152e-18,"judgement_convicted_binary","*","Pers.","convicted_participation"
