"","var_value","judgement_convicted_binary","punishment_prison_days","punishment_fine","punishment_share_max_prison_sentence","group1_mitigating_confession","group1_aggravating_other","group1_aggravating_repeated_offense","group1_aggravating_driving","group1_mitigating_processing_time","group1_aggravating_life_health","group1_mitigating_other","group1_aggravating_victim","group1_aggravating_threats","group1_aggravating_place","group1_aggravating_severe","group1_aggravating_preventative","group1_aggravating_violation","group1_aggravating_cumulative_offense","group1_aggravating_children","group1_aggravating_drugs","group1_mitigating_burden","group1_mitigating_cause","group1_aggravating_object","group1_mitigating_potential_rehabilitation","group1_mitigating_minor","n","grouping_var","restriction"
"1","40 - 55",1,183.777777777778,16203.7037037037,0.081566325160201,0.555555555555556,0.481481481481482,0.407407407407407,0.555555555555556,0.407407407407407,0.296296296296296,0,0.0370370370370371,0.037037037037037,0.0740740740740741,0.185185185185185,0.0370370370370371,0.259259259259259,0,0.037037037037037,0.0740740740740741,0,0,0.148148148148148,0,0.148148148148148,27,"defendant_age_groups","convicted_road_traffic_act_other_5"
"2","< 40",1,117.739726027397,8000,0.09515729273094,0.438356164383562,0.383561643835616,0.410958904109589,0.616438356164384,0.164383561643836,0.205479452054795,0.0410958904109589,0,0.0136986301369863,0.0273972602739726,0.136986301369863,0.0684931506849315,0.164383561643836,0.123287671232877,0.0136986301369863,0.0410958904109589,0.0273972602739726,0.0410958904109589,0.0547945205479452,0.0136986301369863,0.0136986301369863,73,"defendant_age_groups","convicted_road_traffic_act_other_5"
"3","> 55",1,58.4,13000,0.205479452054795,0.8,0.4,0.4,0.8,0.2,0.6,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,5,"defendant_age_groups","convicted_road_traffic_act_other_5"
"4",NA,1,70.2,30400,0.0205479452054795,0.8,0.4,0.6,0.6,0.2,0.2,0,0,0,0,0.4,0,0,0.2,0,0,0,0,0,0,0.2,5,"defendant_age_groups","convicted_road_traffic_act_other_5"
"5","0",1,131.990099009901,11816.8316831683,0.0905410412497965,0.514851485148515,0.415841584158416,0.435643564356436,0.643564356435643,0.227722772277228,0.267326732673267,0.0198019801980198,0.00990099009900989,0.0198019801980198,0.0396039603960396,0.178217821782178,0.0594059405940594,0.188118811881188,0.0792079207920792,0.0099009900990099,0.0495049504950495,0.0198019801980198,0.0198019801980198,0.0792079207920792,0.00990099009900989,0.0594059405940594,101,"defendant_is_woman","convicted_road_traffic_act_other_5"
"6","1",1,81.2857142857143,5000,0.0722983257229832,0.285714285714286,0.142857142857143,0.142857142857143,0.285714285714286,0.142857142857143,0,0.142857142857143,0,0,0,0,0,0,0.285714285714286,0.142857142857143,0,0,0,0,0,0,7,"defendant_is_woman","convicted_road_traffic_act_other_5"
"7",NA,1,150,5000,0.154109589041096,0.5,1,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,2,"defendant_is_woman","convicted_road_traffic_act_other_5"
"8","0",1,98.4712643678161,11103.4482758621,0.0708924720451617,0.482758620689655,0.344827586206897,0.425287356321839,0.620689655172414,0.229885057471264,0.264367816091954,0.0114942528735632,0.0114942528735632,0.0229885057471265,0.0459770114942529,0.160919540229885,0.0459770114942529,0.183908045977011,0.0804597701149425,0.0229885057471265,0.0229885057471265,0.0114942528735632,0.0114942528735632,0.0689655172413793,0.0114942528735632,0.0574712643678161,87,"defendant_some_foreign_background","convicted_road_traffic_act_other_5"
"9","1",1,194.65,13125,0.139802866947851,0.55,0.65,0.35,0.6,0.2,0.15,0.1,0,0,0,0.15,0.1,0.15,0.15,0,0.1,0.05,0.05,0.05,0,0,20,"defendant_some_foreign_background","convicted_road_traffic_act_other_5"
"10",NA,1,580,3333.33333333333,0.15331928345627,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,3,"defendant_some_foreign_background","convicted_road_traffic_act_other_5"
