"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","sig_level","controls","restriction"
"1","defendant_age",-1.90184852318598e-17,3.01804288401293e-17,-0.630159542550035,0.528703656902864,-7.82275110880735e-17,4.0190540624354e-17,"judgement_convicted_binary","insig","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"2","defendant_age",0.319101869533983,0.647023761890882,0.493184158494318,0.621967801723099,-0.950252083331114,1.58845582239908,"punishment_prison_days","insig","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"3","defendant_age",116.170338069822,37.1275043323748,3.12895628614937,0.00179641908252869,43.3285411505747,189.012134989069,"punishment_fine","***","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"4","defendant_is_woman",2.16820752411275e-16,5.67853323112481e-16,0.381825277032547,0.702656442747565,-8.97239603694989e-16,1.33088110851754e-15,"judgement_convicted_binary","insig","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"5","defendant_is_woman",-48.0615437661442,21.6248394020872,-2.22251563919153,0.0264284456495722,-90.4868943002962,-5.63619323199216,"punishment_prison_days","**","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"6","defendant_is_woman",-1408.30417881433,1288.405659187,-1.09305960337289,0.274591867583706,-3936.1389565593,1119.53059893065,"punishment_fine","insig","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"7","defendant_some_foreign_background",1.96574253933935e-15,1.26322771466612e-15,1.55612683011702,0.11994745402313,-5.12693445922695e-16,4.4441785246014e-15,"judgement_convicted_binary","insig","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"8","defendant_some_foreign_background",-0.388416815742429,16.3994058918769,-0.0236848101878387,0.981108047242855,-32.5638331935323,31.7869995620474,"punishment_prison_days","insig","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"9","defendant_some_foreign_background",-268.511616556032,960.888876674312,-0.279440862595231,0.779958527454281,-2153.87315232965,1616.84991921759,"punishment_fine","insig","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"10","defendant_log_net_income",5.57679865090743e-17,1.09492567067638e-16,0.509331254190286,0.610607030919244,-1.59034728632565e-16,2.70570701650713e-16,"judgement_convicted_binary","insig","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"11","defendant_log_net_income",-6.5306342440051,1.55627301199327,-4.19632943171113,2.89812170248145e-05,-9.58373343996517,-3.47753504804502,"punishment_prison_days","***","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"12","defendant_log_net_income",555.922404405692,88.5350264881015,6.27912394062936,4.71719860924225e-10,382.22546226694,729.619346544444,"punishment_fine","***","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"13","case_is_not_oslo",6.29934073156303e-16,1.2719193308763e-15,0.495262598707658,0.62049898665575,-1.86531955939933e-15,3.12518770571194e-15,"judgement_convicted_binary","insig","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"14","case_is_not_oslo",-31.466893128763,18.1800473934996,-1.73084769515035,0.0837176840947748,-67.1325428263815,4.19875656885554,"punishment_prison_days","*","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"15","case_is_not_oslo",2457.78180394511,1034.91817111031,2.37485616984411,0.0177089419654559,427.374982867921,4488.1886250223,"punishment_fine","**","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"16","defendant_is_married",2.05979714790656e-16,6.92270563654399e-16,0.297542211968855,0.766102465942401,-1.1521723982224e-15,1.56413182780372e-15,"judgement_convicted_binary","insig","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"17","defendant_is_married",-68.5868681604994,26.3427863182613,-2.60362997793266,0.00933447543884221,-120.268266704926,-16.9054696160725,"punishment_prison_days","***","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"18","defendant_is_married",661.981168130017,1549.56398285972,0.427204797899557,0.669308503965467,-2378.24276932577,3702.20510558581,"punishment_fine","insig","None","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"19","defendant_age",-3.37771144912926e-17,7.91397718899652e-17,-0.426803283414259,0.669602571255542,-1.89051781598826e-16,1.21497552616241e-16,"judgement_convicted_binary","insig","Pers.","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"20","defendant_is_woman",-5.51562438322454e-16,2.59370945658465e-15,-0.212653902665236,0.831634644765417,-5.64050018513331e-15,4.5373753084884e-15,"judgement_convicted_binary","insig","Pers.","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"21","defendant_some_foreign_background",3.63724298689726e-15,2.03238298791682e-15,1.78964447573211,0.0737743601792625,-3.50354959715144e-16,7.62484093350966e-15,"judgement_convicted_binary","*","Pers.","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"22","defendant_log_net_income",1.50375981723751e-16,1.9478911002447e-16,0.771993781915532,0.440276858324046,-2.31806244645004e-16,5.32558208092506e-16,"judgement_convicted_binary","insig","Pers.","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"23","case_is_not_oslo",2.05968908806207e-15,2.24776301561179e-15,0.916328400172326,0.359686954809917,-2.3504910988485e-15,6.46986927497264e-15,"judgement_convicted_binary","insig","Pers.","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"24","defendant_is_married",-1.8508743906695e-15,3.4029482611038e-15,-0.543903182962042,0.586613617382064,-8.52756356740507e-15,4.82581478606607e-15,"judgement_convicted_binary","insig","Pers.","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"25","defendant_age",-3.0988644235262e-17,8.49641284173244e-17,-0.364726206370915,0.715386869077604,-1.97701247492721e-16,1.35723959022197e-16,"judgement_convicted_binary","insig","Conv.","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"26","defendant_is_woman",-2.16774289398882e-16,2.70068361231575e-15,-0.0802664512089977,0.936040142278181,-5.51592822613382e-15,5.08237964733606e-15,"judgement_convicted_binary","insig","Conv.","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
"27","defendant_some_foreign_background",3.34664918866526e-15,2.10059566061676e-15,1.59319056561444,0.111408704191054,-7.75040487861063e-16,7.46833886519158e-15,"judgement_convicted_binary","insig","Conv.","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime."
