"","var_value","judgement_convicted_binary","punishment_prison_days","punishment_fine","punishment_share_max_prison_sentence","group1_mitigating_confession","group1_aggravating_other","group1_aggravating_repeated_offense","group1_aggravating_driving","group1_mitigating_processing_time","group1_aggravating_life_health","group1_mitigating_other","group1_aggravating_victim","group1_aggravating_threats","group1_aggravating_place","group1_aggravating_severe","group1_aggravating_preventative","group1_aggravating_violation","group1_aggravating_cumulative_offense","group1_aggravating_children","group1_aggravating_drugs","group1_mitigating_burden","group1_mitigating_cause","group1_aggravating_object","group1_mitigating_potential_rehabilitation","group1_mitigating_minor","n","grouping_var","restriction"
"1","40 - 55",1,101.707509881423,10964.4268774704,0.0945955077906936,0.49802371541502,0.316205533596838,0.446640316205534,0.58498023715415,0.260869565217391,0.193675889328063,0.00790513833992095,0.0237154150197629,0.0276679841897234,0.0237154150197629,0.118577075098814,0.0553359683794466,0.090909090909091,0.0553359683794466,0.0276679841897234,0.075098814229249,0.0276679841897234,0,0.0355731225296443,0.0158102766798419,0.0316205533596838,253,"defendant_age_groups","convicted_temporary_suspension_of_driving_lisence"
"2","< 40",1,75.0326797385621,9602.17864923748,0.0679161225427361,0.468409586056645,0.300653594771242,0.372549019607843,0.618736383442266,0.20479302832244,0.193899782135076,0.0283224400871459,0.0370370370370371,0.0326797385620915,0.0348583877995643,0.100217864923747,0.0479302832244009,0.0740740740740741,0.115468409586057,0.0130718954248366,0.0762527233115468,0.0261437908496732,0.0108932461873638,0.0326797385620915,0.00871459694989108,0.0174291938997821,459,"defendant_age_groups","convicted_temporary_suspension_of_driving_lisence"
"3","> 55",1,57.945945945946,11141.8918918919,0.0603238228666311,0.391891891891892,0.283783783783784,0.364864864864865,0.608108108108108,0.283783783783784,0.175675675675676,0.0135135135135135,0.027027027027027,0.027027027027027,0.027027027027027,0.0945945945945946,0.027027027027027,0.0675675675675676,0.0540540540540541,0.0405405405405405,0.0270270270270271,0.0270270270270271,0,0.0135135135135135,0,0.0135135135135135,74,"defendant_age_groups","convicted_temporary_suspension_of_driving_lisence"
"4",NA,1,87,17708.3333333333,0.0463698630136987,0.416666666666667,0.25,0.583333333333333,0.75,0.0833333333333333,0.166666666666667,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0.166666666666667,0.0833333333333333,0.0833333333333333,0.166666666666667,0,0.0833333333333333,0,0,0,0,0,12,"defendant_age_groups","convicted_temporary_suspension_of_driving_lisence"
"5","0",1,84.2471098265896,10522.9768786127,0.0756208770934798,0.475433526011561,0.294797687861272,0.408959537572254,0.615606936416185,0.225433526011561,0.195086705202312,0.0216763005780347,0.0332369942196532,0.0346820809248555,0.0317919075144509,0.114161849710983,0.0491329479768787,0.0809248554913295,0.096820809248555,0.0158959537572254,0.0736994219653179,0.027456647398844,0.00433526011560694,0.0346820809248555,0.0115606936416185,0.023121387283237,692,"defendant_is_woman","convicted_temporary_suspension_of_driving_lisence"
"6","1",1,76.2222222222223,9190.47619047619,0.0817320013716678,0.428571428571429,0.365079365079365,0.349206349206349,0.507936507936508,0.174603174603175,0.174603174603175,0.0158730158730159,0,0,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0317460317460317,0.0476190476190476,0.0476190476190476,0.0634920634920635,0,0,0,0,0,63,"defendant_is_woman","convicted_temporary_suspension_of_driving_lisence"
"7",NA,1,55.8837209302326,8313.95348837209,0.0681926394255162,0.441860465116279,0.348837209302326,0.302325581395349,0.651162790697674,0.348837209302326,0.162790697674419,0.0232558139534884,0.0465116279069768,0.0232558139534884,0,0.0697674418604651,0.0465116279069768,0.116279069767442,0.0697674418604651,0.0465116279069768,0.0465116279069768,0.0465116279069768,0.0465116279069768,0.0232558139534884,0,0.0232558139534884,43,"defendant_is_woman","convicted_temporary_suspension_of_driving_lisence"
"8","0",1,81.7775735294118,9883.08823529412,0.0772529121196217,0.474264705882353,0.297794117647059,0.411764705882353,0.602941176470588,0.233455882352941,0.196691176470588,0.0202205882352941,0.03125,0.0294117647058824,0.0386029411764706,0.110294117647059,0.0514705882352941,0.0772058823529412,0.088235294117647,0.0183823529411765,0.0661764705882353,0.0275735294117648,0.00183823529411765,0.03125,0.0128676470588235,0.0202205882352942,544,"defendant_some_foreign_background","convicted_temporary_suspension_of_driving_lisence"
"9","1",1,84.7303370786517,12064.606741573,0.0773685223486209,0.48314606741573,0.292134831460674,0.393258426966292,0.640449438202247,0.191011235955056,0.191011235955056,0.0224719101123595,0.0280898876404495,0.0280898876404494,0.0224719101123595,0.106741573033708,0.0449438202247191,0.0842696629213483,0.0955056179775282,0.0168539325842697,0.0955056179775282,0.0224719101123595,0.0112359550561798,0.0337078651685393,0.00561797752808988,0.0168539325842697,178,"defendant_some_foreign_background","convicted_temporary_suspension_of_driving_lisence"
"10",NA,1,78.0921052631579,9138.15789473684,0.060675397661699,0.407894736842105,0.368421052631579,0.31578947368421,0.578947368421053,0.276315789473684,0.157894736842105,0.0263157894736842,0.0394736842105263,0.0526315789473684,0,0.0789473684210526,0.0394736842105263,0.0789473684210526,0.105263157894737,0.0394736842105263,0.0526315789473685,0.0263157894736842,0.0263157894736842,0.0263157894736842,0,0.0394736842105263,76,"defendant_some_foreign_background","convicted_temporary_suspension_of_driving_lisence"
