"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","sig_level","controls","restriction"
"1","defendant_age",-1.29842766174077e-18,4.39267395730173e-18,-0.295589354994684,0.767739074731927,-9.94122319486976e-18,7.34436787138823e-18,"judgement_convicted_binary","insig","None","convicted_theft"
"2","defendant_age",0.486819181516341,0.985873199946228,0.493794923670603,0.621796240344321,-1.45293336364201,2.4265717266747,"punishment_prison_days","insig","None","convicted_theft"
"3","defendant_age",-15.1618823916553,32.9600813247908,-0.460007432695603,0.64582924652722,-80.0124145309572,49.6886497476466,"punishment_fine","insig","None","convicted_theft"
"4","defendant_is_woman",-5.36973453459867e-16,1.35321172667167e-15,-0.396814070463751,0.691781177443229,-3.19975141388591e-15,2.12580450696618e-15,"judgement_convicted_binary","insig","None","convicted_theft"
"5","defendant_is_woman",-32.4774436090227,30.2047636568412,-1.07524243453786,0.283113270291575,-91.912768754434,26.9578815363886,"punishment_prison_days","insig","None","convicted_theft"
"6","defendant_is_woman",-799.49874686717,974.215624005543,-0.820658925156615,0.412479413719121,-2716.5083627128,1117.51086897846,"punishment_fine","insig","None","convicted_theft"
"7","defendant_some_foreign_background",-6.61195178370736e-17,1.18417347519161e-16,-0.558360064823905,0.577026419840192,-2.99179234450831e-16,1.66940198776684e-16,"judgement_convicted_binary","insig","None","convicted_theft"
"8","defendant_some_foreign_background",-6.09464285714281,21.5355840632959,-0.283003369642999,0.777374774663503,-48.4792868645707,36.290001150285,"punishment_prison_days","insig","None","convicted_theft"
"9","defendant_some_foreign_background",482.053571428574,746.942711831458,0.645368866705464,0.519194946979839,-988.020369536733,1952.12751239388,"punishment_fine","insig","None","convicted_theft"
"10","defendant_log_net_income",3.36437534190531e-18,1.31074489290547e-17,0.256676593600732,0.797594947848732,-2.24242113648482e-17,2.91529620486588e-17,"judgement_convicted_binary","insig","None","convicted_theft"
"11","defendant_log_net_income",-3.00309789830176,2.02167213289902,-1.48545248729101,0.138417771353969,-6.9806886082931,0.974492811689572,"punishment_prison_days","insig","None","convicted_theft"
"12","defendant_log_net_income",106.154248208785,64.4938067507342,1.64596034188316,0.100762978620121,-20.7357466668136,233.044243084383,"punishment_fine","insig","None","convicted_theft"
"13","case_is_not_oslo",8.2175792873299e-17,1.64223946599093e-16,0.500388613080333,0.617148677450325,-2.40930824525623e-16,4.05282410272221e-16,"judgement_convicted_binary","insig","None","convicted_theft"
"14","case_is_not_oslo",41.7857230392161,25.3164888662418,1.6505338974922,0.0998241534961515,-8.02385255183863,91.5952986302707,"punishment_prison_days","*","None","convicted_theft"
"15","case_is_not_oslo",421.446078431374,811.382881994243,0.519417019737378,0.60383243251898,-1174.92999123249,2017.82214809524,"punishment_fine","insig","None","convicted_theft"
"16","defendant_is_married",-4.7770882481711e-16,2.75781282233168e-15,-0.173220176854938,0.862592889202073,-5.90438600884278e-15,4.94896835920856e-15,"judgement_convicted_binary","insig","None","convicted_theft"
"17","defendant_is_married",34.2619843924191,61.6288030285199,0.555941097485922,0.578657382523458,-87.0078917084971,155.531860493335,"punishment_prison_days","insig","None","convicted_theft"
"18","defendant_is_married",5526.57004830919,1961.92292073763,2.81691497147673,0.00516394985721861,1666.00262162564,9387.13747499274,"punishment_fine","***","None","convicted_theft"
"19","defendant_age",2.1180682016274e-18,1.12863916916293e-17,0.187665664943943,0.851272756441339,-2.00975252446328e-17,2.43336616478876e-17,"judgement_convicted_binary","insig","Pers.","convicted_theft"
"20","defendant_is_woman",-1.17268864483124e-16,3.14266853989767e-16,-0.37315059795311,0.709314724788648,-7.35856704833368e-16,5.01318975867119e-16,"judgement_convicted_binary","insig","Pers.","convicted_theft"
"21","defendant_some_foreign_background",-9.57730080406647e-17,2.8068969121654e-16,-0.341206004486926,0.733200802343889,-6.48269167574784e-16,4.56723151493455e-16,"judgement_convicted_binary","insig","Pers.","convicted_theft"
"22","defendant_log_net_income",2.74787403972961e-18,2.25807369445335e-17,0.12169106998055,0.903229744535924,-4.16989682622928e-17,4.7194716341752e-17,"judgement_convicted_binary","insig","Pers.","convicted_theft"
"23","case_is_not_oslo",1.03881347378008e-16,2.93316671335769e-16,0.354161074121463,0.723480977888773,-4.73469155727302e-16,6.81231850483318e-16,"judgement_convicted_binary","insig","Pers.","convicted_theft"
"24","defendant_is_married",-7.49109277399526e-17,8.55615459910452e-16,-0.0875520969990335,0.930294377228657,-1.75906346497673e-15,1.60924160949683e-15,"judgement_convicted_binary","insig","Pers.","convicted_theft"
"25","defendant_age",1.10743050132449e-17,1.27212011557881e-17,0.870539257859788,0.38494191425832,-1.39948440370039e-17,3.61434540634937e-17,"judgement_convicted_binary","insig","Conv.","convicted_theft"
"26","defendant_is_woman",2.92363152188769e-17,3.42946363991546e-16,0.0852504014872647,0.932138809619655,-6.46594010067125e-16,7.05066640504879e-16,"judgement_convicted_binary","insig","Conv.","convicted_theft"
"27","defendant_some_foreign_background",-1.67420482260496e-16,2.96380394350541e-16,-0.564883796134238,0.572720609197557,-7.51485162203442e-16,4.1664419768245e-16,"judgement_convicted_binary","insig","Conv.","convicted_theft"
"28","defendant_log_net_income",-1.27294548639002e-17,2.4401860978412e-17,-0.521659183091068,0.602425365682638,-6.08172008620775e-17,3.53582911342771e-17,"judgement_convicted_binary","insig","Conv.","convicted_theft"
"29","case_is_not_oslo",1.54125032736375e-16,3.21292952343313e-16,0.479702500824502,0.631909089109183,-4.79033802852369e-16,7.87283868325119e-16,"judgement_convicted_binary","insig","Conv.","convicted_theft"
"30","defendant_is_married",9.74758263654048e-17,8.89383955420865e-16,0.109599263367955,0.912825757739744,-1.65519663500832e-15,1.85014828773913e-15,"judgement_convicted_binary","insig","Conv.","convicted_theft"
"31","defendant_age",0.61175166207104,0.881428865559413,0.69404541418414,0.488221040210223,-1.12321074788937,2.34671407203145,"punishment_prison_days","insig","Pers.","convicted_theft"
"32","defendant_is_woman",-18.5778209100026,24.5431741307163,-0.756944509746688,0.449710614885768,-66.8874306830844,29.7317888630792,"punishment_prison_days","insig","Pers.","convicted_theft"
"33","defendant_some_foreign_background",-3.99468451372388,21.9209117371597,-0.182231677296169,0.855530921029908,-47.142758444675,39.1533894172272,"punishment_prison_days","insig","Pers.","convicted_theft"
"34","defendant_log_net_income",-0.384360297777171,1.76347887724624,-0.217955713979046,0.827620137668975,-3.85550775201853,3.08678715646419,"punishment_prison_days","insig","Pers.","convicted_theft"
"35","case_is_not_oslo",41.8226719807752,22.9070360066361,1.82575659149701,0.0689369417389993,-3.26644178440623,86.9117857459566,"punishment_prison_days","*","Pers.","convicted_theft"
"36","defendant_is_married",-86.4488501256866,66.8206619785581,-1.29374429354541,0.196804937608971,-217.975444353902,45.0777441025285,"punishment_prison_days","insig","Pers.","convicted_theft"
"37","defendant_age",1.47885944354656,0.793662461738587,1.86333550450022,0.063729693741089,-0.0851785985576006,3.04289748565071,"punishment_prison_days","*","Conv.","convicted_theft"
"38","defendant_is_woman",6.3487879208105,21.3960656825228,0.296726884980375,0.766951213862791,-35.8155606430847,48.5131364847057,"punishment_prison_days","insig","Conv.","convicted_theft"
"39","defendant_some_foreign_background",17.8417058016799,18.490863442111,0.964893059620312,0.335643572558048,-18.5974799341076,54.2808915374673,"punishment_prison_days","insig","Conv.","convicted_theft"
"40","defendant_log_net_income",-0.803486306031487,1.52240663581656,-0.527773780755052,0.59818109629079,-3.8036305849393,2.19665797287633,"punishment_prison_days","insig","Conv.","convicted_theft"
"41","case_is_not_oslo",5.0538600537639,20.0451319315887,0.252124060395912,0.801177390184027,-34.4482588083575,44.5559789158853,"punishment_prison_days","insig","Conv.","convicted_theft"
"42","defendant_is_married",-8.76489128753605,55.4877366410446,-0.157960872403878,0.874630573165075,-118.112296715708,100.582514140636,"punishment_prison_days","insig","Conv.","convicted_theft"
"43","defendant_age",-19.8956357570407,32.7837268723017,-0.60687535113191,0.54441848299379,-84.4255553050618,44.6342837909803,"punishment_fine","insig","Pers.","convicted_theft"
"44","defendant_is_woman",-560.650691392821,912.854966203179,-0.614172800882845,0.539592818289312,-2357.47073438407,1236.16935159843,"punishment_fine","insig","Pers.","convicted_theft"
"45","defendant_some_foreign_background",381.780228460836,815.322950340154,0.468256447707692,0.639960379434318,-1223.0624605977,1986.62291751937,"punishment_fine","insig","Pers.","convicted_theft"
"46","defendant_log_net_income",79.416240686178,65.5905565561684,1.21078772396404,0.226983408344221,-49.6890728788721,208.521554251228,"punishment_fine","insig","Pers.","convicted_theft"
"47","case_is_not_oslo",31.9978531451904,852.000701632251,0.0375561347354402,0.970067967586372,-1645.03956683276,1709.03527312314,"punishment_fine","insig","Pers.","convicted_theft"
"48","defendant_is_married",5296.45780776245,2485.31721313793,2.13109931390819,0.0339397118644977,404.478307085189,10188.4373084397,"punishment_fine","**","Pers.","convicted_theft"
"49","defendant_age",-37.7464020938293,32.8596846227896,-1.1487146796184,0.25190429647501,-102.501634045968,27.0088298583098,"punishment_fine","insig","Conv.","convicted_theft"
"50","defendant_is_woman",-501.612995312401,885.852619205472,-0.566248814348262,0.571794051915845,-2247.32639732954,1244.10040670474,"punishment_fine","insig","Conv.","convicted_theft"
"51","defendant_some_foreign_background",116.193742162093,765.569710554066,0.151774215411422,0.879502238229363,-1392.48306808576,1624.87055240994,"punishment_fine","insig","Conv.","convicted_theft"
"52","defendant_log_net_income",9.71996410817782,63.031583742777,0.154207835675582,0.877585332451982,-114.493791210199,133.933719426554,"punishment_fine","insig","Conv.","convicted_theft"
"53","case_is_not_oslo",-1941.12092357082,829.92045768591,-2.33892405662984,0.0202239109660913,-3576.61111029052,-305.630736851126,"punishment_fine","**","Conv.","convicted_theft"
"54","defendant_is_married",4790.09218905124,2297.33622837977,2.08506361841058,0.038201508068421,262.825964541893,9317.35841356059,"punishment_fine","**","Conv.","convicted_theft"
