"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","sig_level","controls","restriction"
"1","defendant_age",-3.54081337549761e-18,1.19100220038979e-17,-0.297296963375783,0.766478106078107,-2.6993618481044e-17,1.99119917300488e-17,"judgement_convicted_binary","insig","None","convicted_violating_basic_traffic_rules"
"2","defendant_age",-0.286289093027624,0.77036711490478,-0.371626835425095,0.710474546520913,-1.80326948144931,1.23069129539406,"punishment_prison_days","insig","None","convicted_violating_basic_traffic_rules"
"3","defendant_age",323.780141126571,95.8043326574966,3.37959810527667,0.000837816079925612,135.125549107526,512.434733145616,"punishment_fine","***","None","convicted_violating_basic_traffic_rules"
"4","defendant_is_woman",2.0213830263293e-16,6.37580186414335e-16,0.317039812309301,0.751479053920404,-1.05359938058711e-15,1.45787598585297e-15,"judgement_convicted_binary","insig","None","convicted_violating_basic_traffic_rules"
"5","defendant_is_woman",-49.9202898550723,34.6734889291699,-1.43972502902861,0.151201223723459,-118.211004630792,18.3704249206473,"punishment_prison_days","insig","None","convicted_violating_basic_traffic_rules"
"6","defendant_is_woman",1647.97864225782,4456.20851985578,0.369816321411988,0.711833689815222,-7128.68832749116,10424.6456120068,"punishment_fine","insig","None","convicted_violating_basic_traffic_rules"
"7","defendant_some_foreign_background",-2.31853634445548e-16,3.97718812547541e-16,-0.582958681185928,0.560473055578149,-1.01535234911079e-15,5.5164508021969e-16,"judgement_convicted_binary","insig","None","convicted_violating_basic_traffic_rules"
"8","defendant_some_foreign_background",20.4483927099551,20.1553696034463,1.01453821548669,0.311356264485983,-19.2573131296834,60.1540985495937,"punishment_prison_days","insig","None","convicted_violating_basic_traffic_rules"
"9","defendant_some_foreign_background",-3450.22437952193,3015.47259000112,-1.14417368307786,0.253701041393712,-9390.64968462795,2490.2009255841,"punishment_fine","insig","None","convicted_violating_basic_traffic_rules"
"10","defendant_log_net_income",6.13809033381737e-18,4.24707793411283e-17,0.144525022357508,0.885196586529202,-7.74879348499996e-17,8.97641155176344e-17,"judgement_convicted_binary","insig","None","convicted_violating_basic_traffic_rules"
"11","defendant_log_net_income",-10.6828129632209,2.41011282565633,-4.43249496434329,1.36888536143254e-05,-15.4283853068628,-5.93724061957896,"punishment_prison_days","***","None","convicted_violating_basic_traffic_rules"
"12","defendant_log_net_income",1195.57576492961,311.850428834329,3.83381151470137,0.000157944969383027,581.53448243237,1809.61704742685,"punishment_fine","***","None","convicted_violating_basic_traffic_rules"
"13","case_is_not_oslo",-1.90236157940973e-16,4.65693901034849e-16,-0.408500428110047,0.683238720634058,-1.10719907927303e-15,7.26726763391084e-16,"judgement_convicted_binary","insig","None","convicted_violating_basic_traffic_rules"
"14","case_is_not_oslo",39.0290980755853,27.2980273688773,1.4297406016994,0.153978299822705,-14.7213995520293,92.7795957031999,"punishment_prison_days","insig","None","convicted_violating_basic_traffic_rules"
"15","case_is_not_oslo",2624.68119638307,3510.95131745795,0.747569806317744,0.455387562638781,-4288.46962985024,9537.83202261637,"punishment_fine","insig","None","convicted_violating_basic_traffic_rules"
"16","defendant_is_married",2.10445356165784e-16,5.51480031316566e-16,0.381601044852669,0.70308274346822,-8.75714897279648e-16,1.29660560961122e-15,"judgement_convicted_binary","insig","None","convicted_violating_basic_traffic_rules"
"17","defendant_is_married",-69.0997431506846,29.7983668887798,-2.31891040903665,0.0212100388785204,-127.78872533361,-10.4107609677593,"punishment_prison_days","**","None","convicted_violating_basic_traffic_rules"
"18","defendant_is_married",1609.18949771689,3854.49149571818,0.417484251685204,0.676683988013486,-5982.37360910626,9200.75260454004,"punishment_fine","insig","None","convicted_violating_basic_traffic_rules"
"19","defendant_age",-1.57489739917175e-18,3.89919532090666e-18,-0.40390318246626,0.686660841830563,-9.25778328273786e-18,6.10798848439436e-18,"judgement_convicted_binary","insig","Pers.","convicted_violating_basic_traffic_rules"
"20","defendant_is_woman",7.80947645403735e-17,1.67063260080291e-16,0.467456246830338,0.640617997314346,-2.51082888000241e-16,4.07272417080988e-16,"judgement_convicted_binary","insig","Pers.","convicted_violating_basic_traffic_rules"
"21","defendant_some_foreign_background",5.90750536994128e-17,1.19496660974818e-16,0.494365727188493,0.621521816316348,-1.76378452518696e-16,2.94528559917521e-16,"judgement_convicted_binary","insig","Pers.","convicted_violating_basic_traffic_rules"
"22","defendant_log_net_income",4.45230904903387e-18,1.33299528457e-17,0.334007861886031,0.738679293688972,-2.18127272259422e-17,3.071734532401e-17,"judgement_convicted_binary","insig","Pers.","convicted_violating_basic_traffic_rules"
"23","case_is_not_oslo",-3.55161598354905e-17,1.48424961229647e-16,-0.239286973978312,0.811097089412744,-3.27969331720952e-16,2.56937012049971e-16,"judgement_convicted_binary","insig","Pers.","convicted_violating_basic_traffic_rules"
