"","var_value","judgement_convicted_binary","punishment_prison_days","punishment_fine","punishment_share_max_prison_sentence","group1_mitigating_confession","group1_aggravating_other","group1_aggravating_repeated_offense","group1_aggravating_driving","group1_mitigating_processing_time","group1_aggravating_life_health","group1_mitigating_other","group1_aggravating_victim","group1_aggravating_threats","group1_aggravating_place","group1_aggravating_severe","group1_aggravating_preventative","group1_aggravating_violation","group1_aggravating_cumulative_offense","group1_aggravating_children","group1_aggravating_drugs","group1_mitigating_burden","group1_mitigating_cause","group1_aggravating_object","group1_mitigating_potential_rehabilitation","group1_mitigating_minor","n","grouping_var","restriction"
"1","40 - 55",1,76.125,3092.59259259259,0.0356273102848445,0.5,0.46875,0.40625,0.03125,0.21875,0.09375,0.03125,0.03125,0.21875,0.09375,0.0625,0.0625,0.34375,0.28125,0,0,0.03125,0.03125,0.03125,0,0.03125,32,"defendant_age_groups","convicted_violation_of_police_act"
"2","< 40",1,68.5233644859813,2593.40659340659,0.0378153908103036,0.373831775700935,0.532710280373832,0.299065420560748,0.11214953271028,0.214953271028037,0.0934579439252336,0.0280373831775701,0.0280373831775701,0.11214953271028,0.121495327102804,0.0934579439252336,0.0373831775700935,0.196261682242991,0.121495327102804,0.00934579439252336,0.0373831775700935,0.0280373831775701,0.00934579439252336,0.0280373831775701,0.0280373831775701,0.0280373831775701,107,"defendant_age_groups","convicted_violation_of_police_act"
"3","> 55",1,90.7142857142857,2400,0.0787018917155904,0.142857142857143,0.714285714285714,0.428571428571429,0,0.142857142857143,0,0,0,0.142857142857143,0,0,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0,0,7,"defendant_age_groups","convicted_violation_of_police_act"
"4",NA,1,37.2,9000,0.0388698630136986,0,0.4,0.6,0.4,0.2,0,0.2,0,0.2,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,5,"defendant_age_groups","convicted_violation_of_police_act"
"5","0",1,76.4453125,2652.77777777778,0.043680382540682,0.390625,0.5390625,0.359375,0.109375,0.21875,0.0859375,0.03125,0.03125,0.140625,0.1171875,0.1015625,0.03125,0.234375,0.1328125,0.0078125,0.0390625,0.0234375,0.015625,0.03125,0.015625,0.0234375,128,"defendant_is_woman","convicted_violation_of_police_act"
"6","1",1,30.6842105263158,3750,0.0152682648401826,0.31578947368421,0.473684210526316,0.263157894736842,0.0526315789473684,0.105263157894737,0.0526315789473684,0.0526315789473684,0,0.105263157894737,0.0526315789473684,0,0.105263157894737,0.157894736842105,0.263157894736842,0,0,0.0526315789473684,0,0,0,0,19,"defendant_is_woman","convicted_violation_of_police_act"
"7",NA,1,55.25,7500,0.0175228310502283,0.25,0.25,0,0,0.5,0.25,0,0,0.25,0,0,0,0.25,0.25,0,0,0,0,0,0.25,0.25,4,"defendant_is_woman","convicted_violation_of_police_act"
"8","0",1,88.4404761904762,3578.57142857143,0.0436174790721815,0.380952380952381,0.464285714285714,0.369047619047619,0.107142857142857,0.238095238095238,0.119047619047619,0.0357142857142857,0.0357142857142857,0.130952380952381,0.119047619047619,0.0952380952380952,0.0238095238095238,0.285714285714286,0.130952380952381,0.0119047619047619,0,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.0238095238095238,84,"defendant_some_foreign_background","convicted_violation_of_police_act"
"9","1",1,46.4067796610169,1520,0.0359028642590287,0.389830508474576,0.627118644067797,0.305084745762712,0.0847457627118644,0.152542372881356,0.0338983050847458,0.0338983050847458,0.0169491525423729,0.152542372881356,0.101694915254237,0.0677966101694915,0.0677966101694915,0.152542372881356,0.186440677966102,0,0.0847457627118644,0.0338983050847457,0,0.0338983050847458,0,0.0169491525423729,59,"defendant_some_foreign_background","convicted_violation_of_police_act"
"10",NA,1,52.75,6250,0.0170490867579909,0.25,0.375,0.25,0.125,0.375,0.125,0,0,0.125,0,0.125,0,0.125,0.125,0,0,0,0,0,0.125,0.125,8,"defendant_some_foreign_background","convicted_violation_of_police_act"
"11","0",1,73.0724637681159,2756.41025641026,0.0402969114162157,0.384057971014493,0.521739130434783,0.347826086956522,0.108695652173913,0.195652173913044,0.0869565217391305,0.036231884057971,0.0289855072463768,0.13768115942029,0.115942028985507,0.0869565217391305,0.0434782608695652,0.239130434782609,0.159420289855072,0.00724637681159421,0.0289855072463768,0.0289855072463768,0.0144927536231884,0.0289855072463768,0.0144927536231884,0.0217391304347826,138,"defendant_is_married","convicted_violation_of_police_act"
