"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","sig_level","controls","restriction"
"1","defendant_age",2.70981404191923e-18,1.32035536899494e-17,0.205233689774137,0.837667797591778,-2.33791580808314e-17,2.87987861646699e-17,"judgement_convicted_binary","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"2","defendant_age",0.11894063037781,1.3232053984963,0.0898882596103183,0.928495923551383,-2.49558797038221,2.73346923113783,"punishment_prison_days","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"3","defendant_age",25.9985355908123,34.1002643424147,0.762414488337989,0.447009890097381,-41.3803585083486,93.3774296899732,"punishment_fine","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"4","defendant_is_woman",2.23553688949906e-16,1.07959717914058e-15,0.207071390393839,0.836248677344386,-1.91047763196429e-15,2.3575850098641e-15,"judgement_convicted_binary","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"5","defendant_is_woman",11.0767386091127,76.947614724926,0.14395168256625,0.885741289436558,-141.025011066956,163.178488285182,"punishment_prison_days","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"6","defendant_is_woman",-1509.35251798561,1847.39021050799,-0.81701879191542,0.415276768848974,-5161.07433362864,2142.36929765741,"punishment_fine","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"7","defendant_some_foreign_background",2.75673304171668e-16,4.15458254929671e-16,0.66354032180281,0.508116094011068,-5.45975278118036e-16,1.09732188646137e-15,"judgement_convicted_binary","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"8","defendant_some_foreign_background",21.6694235588973,34.9589289455883,0.619853760183114,0.536398899624343,-47.4685802373482,90.8074273551427,"punishment_prison_days","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"9","defendant_some_foreign_background",-1384.36090225564,835.80745962858,-1.65631556204443,0.0999804446770702,-3037.33086042203,268.609055910754,"punishment_fine","*","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"10","defendant_log_net_income",-1.78777089554721e-17,2.99264585166608e-17,-0.597388058647807,0.551137217992312,-7.70032313278542e-17,4.124781341691e-17,"judgement_convicted_binary","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"11","defendant_log_net_income",-7.19780021544848,2.84874062208758,-2.52666043361079,0.0125382540804459,-12.8260397644276,-1.56956066646936,"punishment_prison_days","**","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"12","defendant_log_net_income",73.4726545379126,70.4649767195241,1.04268330110092,0.298750520744059,-65.7445720904951,212.68988116632,"punishment_fine","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"13","case_is_not_oslo",-1.75038613583163e-16,4.1887089949364e-16,-0.417882010411231,0.676623118163683,-1.00259930625127e-15,6.5252207908494e-16,"judgement_convicted_binary","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"14","case_is_not_oslo",-0.280119482243902,40.677258727252,-0.00688639035688593,0.994514528682549,-80.6459325498462,80.0856935853584,"punishment_prison_days","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"15","case_is_not_oslo",1677.86259541984,979.797694919062,1.71245819838191,0.0888514727115836,-257.91776091914,3613.64295175883,"punishment_fine","*","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"16","defendant_is_married",2.17300438909357e-16,1.84376582240131e-15,0.117856853765922,0.906346462095751,-3.42725707704092e-15,3.86185795485964e-15,"judgement_convicted_binary","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"17","defendant_is_married",39.4965034965034,131.367947452531,0.300655557633457,0.764113835713551,-220.177493290965,299.170500283972,"punishment_prison_days","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"18","defendant_is_married",-1467.13286713287,3159.67764044901,-0.464329920353641,0.643117523507827,-7712.84300698163,4778.57727271589,"punishment_fine","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"19","defendant_age",-1.85880109495173e-18,1.90087209303117e-17,-0.0977867528155275,0.92225458589089,-3.94708030924616e-17,3.57532009025581e-17,"judgement_convicted_binary","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"20","defendant_is_woman",-2.18678079422266e-16,8.44911479192909e-16,-0.258817739855015,0.796191614770872,-1.89047979399463e-15,1.4531236351501e-15,"judgement_convicted_binary","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"21","defendant_some_foreign_background",-2.05406575508796e-16,4.25485903617358e-16,-0.482757651340476,0.630092443376608,-1.04730313001337e-15,6.36489978995775e-16,"judgement_convicted_binary","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"22","defendant_log_net_income",1.60667923533558e-17,3.93360369268955e-17,0.408449696730133,0.68362604914394,-6.17662772620365e-17,9.3899861968748e-17,"judgement_convicted_binary","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"23","case_is_not_oslo",7.10412206131837e-17,5.42786790350122e-16,0.1308823683188,0.89607384510249,-1.00295517912964e-15,1.145037620356e-15,"judgement_convicted_binary","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"24","defendant_is_married",-5.73526305350123e-17,1.47416682567038e-15,-0.0389051154430443,0.969026652565469,-2.97424355628695e-15,2.85953829521693e-15,"judgement_convicted_binary","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"25","defendant_age",6.72250928557825e-18,2.28929313883952e-17,0.293649999273837,0.769919763773664,-3.89596240493194e-17,5.24046426204759e-17,"judgement_convicted_binary","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"26","defendant_is_woman",9.72167166603031e-16,1.21553239347891e-15,0.799787131810319,0.426619273438602,-1.45338995973069e-15,3.39772429293675e-15,"judgement_convicted_binary","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"27","defendant_some_foreign_background",2.60766667980143e-17,5.33551568498257e-16,0.0488737515502206,0.961163175125128,-1.03860891145592e-15,1.09076224505195e-15,"judgement_convicted_binary","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"28","defendant_log_net_income",1.98629400435212e-17,4.90554027022852e-17,0.404908306717374,0.686815878189533,-7.80255919676685e-17,1.17751472054711e-16,"judgement_convicted_binary","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"29","case_is_not_oslo",-1.28462152410577e-16,7.7973841569807e-16,-0.164750318599565,0.869629280564061,-1.6844059355784e-15,1.42748163075725e-15,"judgement_convicted_binary","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"30","defendant_is_married",-3.11697981307563e-16,3.58344606091605e-15,-0.0869827467775202,0.930940859313045,-7.4623532633202e-15,6.83895730070508e-15,"judgement_convicted_binary","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"31","defendant_age",1.62077336407425,1.70929884143976,0.948209479103754,0.344809582108204,-1.76136642714417,5.00291315529266,"punishment_prison_days","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"32","defendant_is_woman",11.9747887396085,75.9759805932357,0.157612822448713,0.875010262832799,-138.356669348071,162.306246827288,"punishment_prison_days","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"33","defendant_some_foreign_background",21.2225488618098,38.260468169763,0.554686073564092,0.580077347447144,-54.4823242068482,96.9274219304678,"punishment_prison_days","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"34","defendant_log_net_income",-7.77873784330901,3.5371681552101,-2.19914278936704,0.0296640976322295,-14.7776293629978,-0.779846323620167,"punishment_prison_days","**","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"35","case_is_not_oslo",7.94037958589195,48.8083777596422,0.162684767459277,0.871023194703358,-88.6353347149847,104.516093886769,"punishment_prison_days","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"36","defendant_is_married",22.3188203237084,132.559768563344,0.168367978954665,0.866559549861578,-239.973329593829,284.610970241245,"punishment_prison_days","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"37","defendant_age",-1.29410155046002,1.41033852308696,-0.917582218223383,0.362080722638343,-4.1083882560787,1.52018515515866,"punishment_prison_days","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"38","defendant_is_woman",-33.8784153788589,74.8839076787003,-0.452412493271837,0.652411873554246,-183.306926615766,115.550095858048,"punishment_prison_days","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"39","defendant_some_foreign_background",21.8183651966234,32.8698985001113,0.663779512326437,0.509075774762686,-43.7724960396012,87.4092264328479,"punishment_prison_days","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"40","defendant_log_net_income",-5.17802035099734,3.02209983609385,-1.7133849415412,0.0911976568193602,-11.2085266816019,0.852485979607165,"punishment_prison_days","*","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"41","case_is_not_oslo",48.8035177856156,48.0364487593422,1.01596847906298,0.313245690905903,-47.0517232898734,144.658758861105,"punishment_prison_days","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"42","defendant_is_married",39.8080074811746,220.761244568095,0.1803215394942,0.857436465227884,-400.714197318244,480.330212280594,"punishment_prison_days","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"43","defendant_age",-10.1555693592625,43.7846992382948,-0.231943339475547,0.816952431486092,-96.7910774109927,76.4799386924676,"punishment_fine","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"44","defendant_is_woman",-1837.98327589647,1946.16960999478,-0.94441063433387,0.34673910787125,-5688.81235203338,2012.84580024044,"punishment_fine","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"45","defendant_some_foreign_background",-987.35083925359,980.06448662796,-1.00743456448534,0.315626643568854,-2926.5758699056,951.874191398425,"punishment_fine","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"46","defendant_log_net_income",75.1763058492891,90.6066511463239,0.829699640127789,0.408253326084511,-104.104433575367,254.457045273945,"punishment_fine","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"47","case_is_not_oslo",1246.06136128247,1250.25541976904,0.996645438667764,0.320817009942695,-1227.78259266629,3719.90531523123,"punishment_fine","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"48","defendant_is_married",-1186.80412956145,3395.59675402058,-0.349512682316063,0.727278818496912,-7905.5724445459,5531.964185423,"punishment_fine","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
