"","var_value","judgement_convicted_binary","punishment_prison_days","punishment_fine","punishment_share_max_prison_sentence","group1_mitigating_confession","group1_aggravating_other","group1_aggravating_repeated_offense","group1_aggravating_driving","group1_mitigating_processing_time","group1_aggravating_life_health","group1_mitigating_other","group1_aggravating_victim","group1_aggravating_threats","group1_aggravating_place","group1_aggravating_severe","group1_aggravating_preventative","group1_aggravating_violation","group1_aggravating_cumulative_offense","group1_aggravating_children","group1_aggravating_drugs","group1_mitigating_burden","group1_mitigating_cause","group1_aggravating_object","group1_mitigating_potential_rehabilitation","group1_mitigating_minor","n","grouping_var","restriction"
"1","40 - 55",1,56.9624060150376,2880.95238095238,0.0415160097567143,0.270676691729323,0.300751879699248,0.263157894736842,0.0827067669172933,0.210526315789474,0.0676691729323308,0.0225563909774436,0.037593984962406,0.180451127819549,0.0225563909774436,0.0225563909774436,0.0451127819548872,0.218045112781955,0.120300751879699,0.00751879699248118,0.00751879699248119,0.0300751879699248,0.0150375939849624,0.0225563909774436,0,0.0150375939849624,133,"defendant_age_groups","convicted_violence_threats_vandalism_or_other_unlawful_conduct_against_a_public_official"
"2","< 40",1,56.447311827957,1710.45751633987,0.0496689706156529,0.391397849462365,0.320430107526882,0.316129032258064,0.0709677419354838,0.187096774193548,0.103225806451613,0.021505376344086,0.032258064516129,0.167741935483871,0.0752688172043011,0.0645161290322581,0.0408602150537634,0.217204301075269,0.0580645161290322,0.0236559139784946,0.0129032258064516,0.0408602150537634,0.0236559139784946,0.010752688172043,0.0193548387096774,0.0172043010752688,465,"defendant_age_groups","convicted_violence_threats_vandalism_or_other_unlawful_conduct_against_a_public_official"
"3","> 55",1,32.2553191489362,1680,0.0300787617012261,0.234042553191489,0.25531914893617,0.276595744680851,0,0.25531914893617,0.0212765957446808,0,0,0.25531914893617,0.0425531914893617,0.0851063829787234,0.0212765957446808,0.297872340425532,0.0212765957446808,0.0212765957446809,0,0,0.0212765957446808,0,0,0.0212765957446809,47,"defendant_age_groups","convicted_violence_threats_vandalism_or_other_unlawful_conduct_against_a_public_official"
"4",NA,1,112.285714285714,1111.11111111111,0.0684440516521824,0.214285714285714,0.214285714285714,0.571428571428571,0.142857142857143,0.285714285714286,0.0714285714285714,0.0714285714285715,0,0.214285714285714,0,0,0,0.285714285714286,0.214285714285714,0,0,0,0,0,0,0,14,"defendant_age_groups","convicted_violence_threats_vandalism_or_other_unlawful_conduct_against_a_public_official"
"5","0",1,61.0676691729323,1967.1388101983,0.0469323509006857,0.357142857142857,0.31015037593985,0.330827067669173,0.0808270676691729,0.191729323308271,0.0921052631578948,0.018796992481203,0.0357142857142857,0.195488721804511,0.0657894736842105,0.0601503759398496,0.0451127819548873,0.227443609022556,0.0657894736842105,0.0225563909774436,0.0131578947368421,0.0281954887218045,0.0206766917293233,0.0150375939849624,0.0131578947368421,0.0150375939849624,532,"defendant_is_woman","convicted_violence_threats_vandalism_or_other_unlawful_conduct_against_a_public_official"
"6","1",1,28.6960784313726,1471.69811320755,0.0403153815091193,0.352941176470588,0.313725490196078,0.215686274509804,0.0196078431372549,0.225490196078431,0.0588235294117647,0.0392156862745098,0.00980392156862746,0.0980392156862745,0.0490196078431372,0.0392156862745098,0.0196078431372549,0.186274509803922,0.0882352941176471,0,0,0.0784313725490196,0.0196078431372549,0,0.00980392156862745,0.00980392156862745,102,"defendant_is_woman","convicted_violence_threats_vandalism_or_other_unlawful_conduct_against_a_public_official"
"7",NA,1,59.88,2500,0.0784246575342465,0.24,0.28,0.2,0.04,0.24,0.16,0,0,0.12,0,0.04,0,0.32,0.12,0.04,0,0,0.04,0,0.04,0.08,25,"defendant_is_woman","convicted_violence_threats_vandalism_or_other_unlawful_conduct_against_a_public_official"
"8","0",1,56.4270152505447,1953.89830508475,0.0496919234141256,0.368191721132898,0.302832244008715,0.324618736383442,0.0718954248366013,0.213507625272331,0.0915032679738562,0.0217864923747276,0.0283224400871459,0.178649237472767,0.0631808278867102,0.0566448801742919,0.037037037037037,0.22875816993464,0.0522875816993464,0.0217864923747277,0.00871459694989106,0.0413943355119826,0.0174291938997821,0.0152505446623094,0.0130718954248366,0.0130718954248366,459,"defendant_some_foreign_background","convicted_violence_threats_vandalism_or_other_unlawful_conduct_against_a_public_official"
"9","1",1,59.3877551020408,1733.33333333333,0.0361995874730158,0.319727891156463,0.333333333333333,0.292517006802721,0.0680272108843537,0.142857142857143,0.0816326530612245,0.0272108843537415,0.0408163265306122,0.217687074829932,0.054421768707483,0.0612244897959184,0.0476190476190476,0.197278911564626,0.122448979591837,0,0.0204081632653061,0.0272108843537415,0.0204081632653061,0.00680272108843537,0.0136054421768707,0.0136054421768707,147,"defendant_some_foreign_background","convicted_violence_threats_vandalism_or_other_unlawful_conduct_against_a_public_official"
"10",NA,1,43.0566037735849,2179.48717948718,0.0584615563823,0.30188679245283,0.30188679245283,0.207547169811321,0.0566037735849057,0.226415094339623,0.0943396226415095,0,0.0188679245283019,0.0566037735849057,0.0566037735849057,0.0377358490566038,0.0377358490566038,0.264150943396226,0.0943396226415095,0.0566037735849057,0,0,0.0566037735849057,0,0.0188679245283019,0.0566037735849057,53,"defendant_some_foreign_background","convicted_violence_threats_vandalism_or_other_unlawful_conduct_against_a_public_official"
"11","0",1,57.1111111111111,1927.22646310433,0.046856062739599,0.361525704809287,0.311774461028192,0.318407960199005,0.0729684908789385,0.194029850746269,0.0895522388059702,0.021558872305141,0.033167495854063,0.18407960199005,0.066334991708126,0.0563847429519071,0.0414593698175787,0.227197346600332,0.0679933665008292,0.0199004975124378,0.011608623548922,0.0381426202321725,0.021558872305141,0.0132669983416252,0.0132669983416252,0.0149253731343283,603,"defendant_is_married","convicted_violence_threats_vandalism_or_other_unlawful_conduct_against_a_public_official"
"12","1",1,31.5161290322581,1153.84615384615,0.0259662426614482,0.258064516129032,0.290322580645161,0.193548387096774,0.032258064516129,0.258064516129032,0.032258064516129,0.032258064516129,0,0.0967741935483871,0,0.0645161290322581,0.032258064516129,0.0967741935483871,0.0967741935483871,0,0,0,0,0,0,0,31,"defendant_is_married","convicted_violence_threats_vandalism_or_other_unlawful_conduct_against_a_public_official"
