"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","sig_level","controls","restriction"
"1","judge_age",8.76711643580586e-20,1.06015284435757e-18,0.0826967213498214,0.93415135973721,-1.99914631082536e-18,2.17448863954148e-18,"judgement_convicted_binary","insig","None","convicted_bodily_injury"
"2","judge_age",1.86228177878048,0.896146994450798,2.07809856007136,0.0386046958008286,0.0982953703053371,3.62626818725563,"punishment_prison_days","**","None","convicted_bodily_injury"
"3","judge_age",30.5318350044397,77.0279453964416,0.39637348299115,0.692682582819997,-122.308319997053,183.371990005932,"punishment_fine","insig","None","convicted_bodily_injury"
"4","judge_is_woman",-6.62221630920201e-16,6.39533058567644e-16,-1.03547677801578,0.301321032289648,-1.92101023660432e-15,5.96566974763923e-16,"judgement_convicted_binary","insig","None","convicted_bodily_injury"
"5","judge_is_woman",6.55062527159492,22.5220385468123,0.290854012081516,0.771373780948539,-37.7793512944364,50.8806018376262,"punishment_prison_days","insig","None","convicted_bodily_injury"
"6","judge_is_woman",-3230.88455772114,1882.20768288285,-1.7165398840433,0.0890986853436627,-6964.23457234989,502.465456907621,"punishment_fine","*","None","convicted_bodily_injury"
"7","judge_some_foreign_background",-5.25580371354375e-17,2.88905881012574e-16,-0.181920966618018,0.855777327937994,-6.21279079382215e-16,5.1616300511134e-16,"judgement_convicted_binary","insig","None","convicted_bodily_injury"
"8","judge_some_foreign_background",-118.474784747847,64.9958530426728,-1.82280528990154,0.0694069197555924,-246.421329673107,9.47176017741334,"punishment_prison_days","*","None","convicted_bodily_injury"
"9","judge_some_foreign_background",-2103.09278350516,4997.11953968111,-0.420861011389646,0.674768802916062,-12018.4620832441,7812.27651623382,"punishment_fine","insig","None","convicted_bodily_injury"
"10","judge_log_net_income",-4.42028673671775e-16,1.95086138243641e-16,-2.26581282325518,0.0242077569286152,-8.26009718485728e-16,-5.80476288578223e-17,"judgement_convicted_binary","**","None","convicted_bodily_injury"
"11","judge_log_net_income",-18.6838109831113,11.86148674816,-1.5751660293352,0.116319770543816,-42.0303496742261,4.66272770800356,"punishment_prison_days","insig","None","convicted_bodily_injury"
"12","judge_log_net_income",377.189732970284,677.985998865195,0.556338528526577,0.579197933347542,-967.592281150849,1721.97174709142,"punishment_fine","insig","None","convicted_bodily_injury"
"13","judge_is_married",-6.01626187568023e-16,6.40611704024089e-16,-0.939143296616072,0.348449638630984,-1.86253788382887e-15,6.59285508692823e-16,"judgement_convicted_binary","insig","None","convicted_bodily_injury"
"14","judge_is_married",44.9542483660131,22.3987025086834,2.00700234080905,0.0456902572815579,0.86703329195948,89.0414634400667,"punishment_prison_days","**","None","convicted_bodily_injury"
"15","judge_is_married",-925.925925925924,1895.63691331851,-0.488451094943595,0.62627884008215,-4685.91275544997,2834.06090359812,"punishment_fine","insig","None","convicted_bodily_injury"
"16","judge_age",3.39009286608012e-17,1.81215266103729e-17,1.87075456663767,0.0626715389049367,-1.80783386715365e-18,6.9609691188756e-17,"judgement_convicted_binary","*","Pers.","convicted_bodily_injury"
"17","judge_is_woman",-4.53136019427414e-16,3.91540706286445e-16,-1.15731522202421,0.248365300490583,-1.22467334083649e-15,3.18401301981662e-16,"judgement_convicted_binary","insig","Pers.","convicted_bodily_injury"
"18","judge_some_foreign_background",7.60516637699496e-17,1.11535342414359e-15,0.0681861570724498,0.945697734314952,-2.12177037483727e-15,2.27387370237717e-15,"judgement_convicted_binary","insig","Pers.","convicted_bodily_injury"
"19","judge_log_net_income",-2.11574092796916e-15,4.43242005032659e-16,-4.77333128166242,3.25449064603712e-06,-2.98915649832547e-15,-1.24232535761286e-15,"judgement_convicted_binary","***","Pers.","convicted_bodily_injury"
"20","judge_is_married",4.65677404981185e-17,4.23648528098019e-16,0.109920694655038,0.912569813852914,-7.88238565307841e-16,8.81374046304078e-16,"judgement_convicted_binary","insig","Pers.","convicted_bodily_injury"
"21","judge_age",2.64130498606646e-17,1.97898997985249e-17,1.33467324895871,0.183737203158488,-1.264768712154e-17,6.54737868428692e-17,"judgement_convicted_binary","insig","Conv.","convicted_bodily_injury"
"22","judge_is_woman",-2.11625889906742e-16,4.10157473464026e-16,-0.515962535363392,0.60653937951444,-1.02118295464024e-15,5.97931174826757e-16,"judgement_convicted_binary","insig","Conv.","convicted_bodily_injury"
"23","judge_some_foreign_background",-9.15265372199861e-17,1.18337125458679e-15,-0.07734389090932,0.938439354211753,-2.42723080042002e-15,2.24417772598005e-15,"judgement_convicted_binary","insig","Conv.","convicted_bodily_injury"
"24","judge_log_net_income",-1.74854869742993e-15,4.69284613194999e-16,-3.72598770184558,0.000263183997285307,-2.67480921579656e-15,-8.22288179063292e-16,"judgement_convicted_binary","***","Conv.","convicted_bodily_injury"
