"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","sig_level","controls","restriction"
"1","judge_age",1.50315725167456e-17,1.65782162113379e-17,0.906706265928987,0.36618972600969,-1.77572505291759e-17,4.78203955626671e-17,"judgement_convicted_binary","insig","None","convicted_disorderly_conduct"
"2","judge_age",0.437965390434819,0.622604457858353,0.703440820101644,0.483001537225854,-0.793437743417295,1.66936852428693,"punishment_prison_days","insig","None","convicted_disorderly_conduct"
"3","judge_age",-32.8081545422253,45.2561242263026,-0.724943973950766,0.469750412167762,-122.316882748197,56.7005736637462,"punishment_fine","insig","None","convicted_disorderly_conduct"
"4","judge_is_woman",3.3903790620221e-16,3.87842920504124e-16,0.8741629362772,0.383516003412565,-4.27700975986261e-16,1.10577678839068e-15,"judgement_convicted_binary","insig","None","convicted_disorderly_conduct"
"5","judge_is_woman",8.13799283154123,14.5423692961303,0.559605705633313,0.576636286658769,-20.6112749493266,36.8872606124091,"punishment_prison_days","insig","None","convicted_disorderly_conduct"
"6","judge_is_woman",-1811.0513739546,1058.07277086113,-1.71165105447393,0.0891596985546173,-3902.78875193645,280.686004027253,"punishment_fine","*","None","convicted_disorderly_conduct"
"7","judge_some_foreign_background",3.4327588002975e-15,7.87197828384946e-16,4.36073205046859,2.48501938217516e-05,1.87652262557881e-15,4.9889949750162e-15,"judgement_convicted_binary","***","None","convicted_disorderly_conduct"
"8","judge_some_foreign_background",-6.2666666666666,31.3893279326603,-0.199643225242367,0.842047249750589,-68.3212174638092,55.787884130476,"punishment_prison_days","insig","None","convicted_disorderly_conduct"
"9","judge_some_foreign_background",-1363.33333333333,2302.33439853766,-0.592152614407037,0.554696750637923,-5914.89070316821,3188.22403650156,"punishment_fine","insig","None","convicted_disorderly_conduct"
"10","judge_log_net_income",-6.86156387395812e-16,4.21728487220456e-16,-1.62700981363189,0.105967737162841,-1.51988471343602e-15,1.47571938644392e-16,"judgement_convicted_binary","insig","None","convicted_disorderly_conduct"
"11","judge_log_net_income",19.3769434095108,15.8514914788396,1.22240506108699,0.223593937859697,-11.9603692368245,50.7142560558462,"punishment_prison_days","insig","None","convicted_disorderly_conduct"
"12","judge_log_net_income",-490.67314644038,1169.37188978942,-0.419604020521429,0.675413384394884,-2802.44125728881,1821.09496440805,"punishment_fine","insig","None","convicted_disorderly_conduct"
"13","judge_is_married",-3.81417644477507e-16,3.84113209072897e-16,-0.992982369437655,0.322419555319914,-1.14078314269407e-15,3.77947853739053e-16,"judgement_convicted_binary","insig","None","convicted_disorderly_conduct"
"14","judge_is_married",-4.05731611893583,14.4257384981793,-0.281255349211267,0.778926875897032,-32.5760128027897,24.461380564918,"punishment_prison_days","insig","None","convicted_disorderly_conduct"
"15","judge_is_married",561.384976525823,1058.50141748955,0.530358266177161,0.596697816947721,-1531.19980647324,2653.96975952489,"punishment_fine","insig","None","convicted_disorderly_conduct"
"16","judge_age",2.17430820894457e-18,2.29534223775773e-17,0.0947269724391343,0.924705614113595,-4.33186287216035e-17,4.76672451394926e-17,"judgement_convicted_binary","insig","Pers.","convicted_disorderly_conduct"
"17","judge_is_woman",3.05436706229906e-16,4.43113387996573e-16,0.689296948600136,0.492101176817828,-5.7279962304629e-16,1.1836730355061e-15,"judgement_convicted_binary","insig","Pers.","convicted_disorderly_conduct"
"18","judge_some_foreign_background",3.52532551829538e-15,9.49248295391791e-16,3.71380758375799,0.000323673181296775,1.64394625714108e-15,5.40670477944968e-15,"judgement_convicted_binary","***","Pers.","convicted_disorderly_conduct"
"19","judge_log_net_income",-7.46949881188227e-16,5.68998479209138e-16,-1.31274495184315,0.192026161325393,-1.87468636869024e-15,3.80786606313784e-16,"judgement_convicted_binary","insig","Pers.","convicted_disorderly_conduct"
"20","judge_is_married",-7.97705155563709e-17,4.67104483912845e-16,-0.170776599890775,0.864716035599578,-1.00555641698177e-15,8.46015385869027e-16,"judgement_convicted_binary","insig","Pers.","convicted_disorderly_conduct"
"21","judge_age",-1.99164259518034e-18,3.929295882051e-17,-0.0506870099622211,0.959755292564052,-8.07048976684387e-17,7.6721612478078e-17,"judgement_convicted_binary","insig","Conv.","convicted_disorderly_conduct"
"22","judge_is_woman",3.63416338572678e-16,6.13294782513671e-16,0.592563884341504,0.555858377727509,-8.65160742415657e-16,1.59199341956101e-15,"judgement_convicted_binary","insig","Conv.","convicted_disorderly_conduct"
"23","judge_some_foreign_background",5.95154154212997e-15,1.5510109261397e-15,3.83720155791727,0.000318483716928776,2.84449329950897e-15,9.05858978475097e-15,"judgement_convicted_binary","***","Conv.","convicted_disorderly_conduct"
"24","judge_log_net_income",-7.39940081915129e-16,1.10046932533274e-15,-0.672385921971431,0.504103018606931,-2.94444504426471e-15,1.46456488043445e-15,"judgement_convicted_binary","insig","Conv.","convicted_disorderly_conduct"
