"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","sig_level","controls","restriction"
"1","judge_age",2.64776440319481e-18,7.93386475258704e-18,0.333729460453865,0.738714970452424,-1.29377156974742e-17,1.82332445038638e-17,"judgement_convicted_binary","insig","None","convicted_drug_offense"
"2","judge_age",5.31688909674235,1.3232851774468,4.0179465374206,6.71552941160331e-05,2.71739497329106,7.91638322019364,"punishment_prison_days","***","None","convicted_drug_offense"
"3","judge_age",-6.02929195320489,31.5820381475161,-0.19090889337296,0.848669667799999,-68.0698286192957,56.0112447128859,"punishment_fine","insig","None","convicted_drug_offense"
"4","judge_is_woman",-3.43035132514042e-16,3.26350299214504e-16,-1.0511255339422,0.293670222708661,-9.84104155539749e-16,2.98033890511665e-16,"judgement_convicted_binary","insig","None","convicted_drug_offense"
"5","judge_is_woman",-67.3281925744596,33.1364219064946,-2.03184860346264,0.0426571039358078,-132.420008544273,-2.23637660464603,"punishment_prison_days","**","None","convicted_drug_offense"
"6","judge_is_woman",449.738882088942,777.736791915428,0.578266177920316,0.563325054156153,-1078.0150883055,1977.49285248338,"punishment_fine","insig","None","convicted_drug_offense"
"7","judge_some_foreign_background",-2.86941753846178e-16,1.99168250827191e-15,-0.144070027554313,0.885499121354841,-4.19936937000904e-15,3.62548586231668e-15,"judgement_convicted_binary","insig","None","convicted_drug_offense"
"8","judge_some_foreign_background",-121.015810276679,118.064864992816,-1.02499427144598,0.305826529001784,-352.94044504049,110.908824487132,"punishment_prison_days","insig","None","convicted_drug_offense"
"9","judge_some_foreign_background",340.419316033675,2763.8127231799,0.123170181965877,0.902018335837785,-5088.76790590634,5769.60653797369,"punishment_fine","insig","None","convicted_drug_offense"
"10","judge_log_net_income",2.47520624314191e-17,7.76995331982904e-17,0.318561275886323,0.75018171337458,-1.27876424844855e-16,1.77380549707694e-16,"judgement_convicted_binary","insig","None","convicted_drug_offense"
"11","judge_log_net_income",10.5569773082744,14.7250478691058,0.716940101120061,0.473719319649257,-18.3680585165456,39.4820131330944,"punishment_prison_days","insig","None","convicted_drug_offense"
"12","judge_log_net_income",41.9047797016953,344.228101458736,0.121735499002305,0.903153534920943,-634.277074178308,718.086633581698,"punishment_fine","insig","None","convicted_drug_offense"
"13","judge_is_married",3.19505646890386e-16,3.26057011122621e-16,0.979907304524205,0.327569868244031,-3.20987253144225e-16,9.59998546924997e-16,"judgement_convicted_binary","insig","None","convicted_drug_offense"
"14","judge_is_married",44.2832984989553,33.1736994853579,1.33489177227583,0.182473241638377,-20.8817440041882,109.448341002099,"punishment_prison_days","insig","None","convicted_drug_offense"
"15","judge_is_married",-462.173936646666,776.920187969741,-0.594879556231414,0.552172704275686,-1988.32380404221,1063.97593074888,"punishment_fine","insig","None","convicted_drug_offense"
"16","judge_age",-2.51984788577674e-17,3.35444650291575e-17,-0.751196325112486,0.452900350440688,-9.11095836044882e-17,4.07126258889535e-17,"judgement_convicted_binary","insig","Pers.","convicted_drug_offense"
"17","judge_is_woman",-4.83655892075305e-16,7.64943611039169e-16,-0.632276530054631,0.527505374702485,-1.98668413917101e-15,1.01937235502039e-15,"judgement_convicted_binary","insig","Pers.","convicted_drug_offense"
"18","judge_some_foreign_background",-2.74550463205553e-16,2.63669040005819e-15,-0.104126924875023,0.917111846697239,-5.45535084239925e-15,4.90624991598814e-15,"judgement_convicted_binary","insig","Pers.","convicted_drug_offense"
"19","judge_log_net_income",2.14441849133021e-16,4.93995650950209e-16,0.434096633686022,0.664412110909123,-7.56204099934946e-16,1.18508779820099e-15,"judgement_convicted_binary","insig","Pers.","convicted_drug_offense"
"20","judge_is_married",8.45015574049352e-16,7.88190928171043e-16,1.07209502653141,0.284212730155443,-7.03691039156147e-16,2.39372218725485e-15,"judgement_convicted_binary","insig","Pers.","convicted_drug_offense"
"21","judge_age",1.44080774140393e-17,3.2895347662358e-17,0.437997420240867,0.661612256968569,-5.02510628091719e-17,7.90672176372504e-17,"judgement_convicted_binary","insig","Conv.","convicted_drug_offense"
"22","judge_is_woman",-1.06585505887768e-15,7.31965873281466e-16,-1.45615403365646,0.146093611112403,-2.50460817755254e-15,3.72898059797187e-16,"judgement_convicted_binary","insig","Conv.","convicted_drug_offense"
"23","judge_some_foreign_background",-2.41959786243396e-15,2.4840606739701e-15,-0.974049421492949,0.330590000191718,-7.30227091060457e-15,2.46307518573664e-15,"judgement_convicted_binary","insig","Conv.","convicted_drug_offense"
"24","judge_log_net_income",1.32587638344501e-16,4.56444848125807e-16,0.290478989715656,0.771592515086449,-7.64600977567313e-16,1.02977625425631e-15,"judgement_convicted_binary","insig","Conv.","convicted_drug_offense"
"25","judge_is_married",5.28692388253712e-16,7.6681082925118e-16,0.689469120786936,0.490907033978397,-9.78552023391907e-16,2.03593679989933e-15,"judgement_convicted_binary","insig","Conv.","convicted_drug_offense"
"26","judge_age",4.28204810770626,1.43920111517617,2.97529515684268,0.00307373712032319,1.45417962414211,7.10991659127041,"punishment_prison_days","***","Pers.","convicted_drug_offense"
"27","judge_is_woman",-62.3062715478073,32.8193547608386,-1.89846119772451,0.0582311290664619,-126.792616090228,2.18007299461313,"punishment_prison_days","*","Pers.","convicted_drug_offense"
"28","judge_some_foreign_background",-42.6056779149187,113.125302813433,-0.376623769000506,0.706618615446314,-264.884187253483,179.672831423645,"punishment_prison_days","insig","Pers.","convicted_drug_offense"
"29","judge_log_net_income",10.4094583676975,21.1945276552105,0.49113896459676,0.62355124774374,-31.2354070706273,52.0543238060222,"punishment_prison_days","insig","Pers.","convicted_drug_offense"
"30","judge_is_married",0.996454861618229,33.8167641609278,0.0294662983387849,0.97650486851376,-65.4496870836675,67.4425968069039,"punishment_prison_days","insig","Pers.","convicted_drug_offense"
"31","judge_age",1.25665180720179,1.35186413389227,0.929569603702446,0.353125391061979,-1.40057417786033,3.91387779226391,"punishment_prison_days","insig","Conv.","convicted_drug_offense"
"32","judge_is_woman",-33.68109340704,30.0808011357378,-1.11968737983593,0.26348387316207,-92.8079571394411,25.445770325361,"punishment_prison_days","insig","Conv.","convicted_drug_offense"
"33","judge_some_foreign_background",-21.3781117007601,102.084725354495,-0.209415381454213,0.83422504184609,-222.035987066444,179.279763664924,"punishment_prison_days","insig","Conv.","convicted_drug_offense"
"34","judge_log_net_income",-1.1798985459257,18.7580148297771,-0.0629010349246921,0.949875092585728,-38.050678074896,35.6908809830446,"punishment_prison_days","insig","Conv.","convicted_drug_offense"
"35","judge_is_married",-38.1466718998685,31.5127861904638,-1.21051409638327,0.226759236893637,-100.08824740858,23.7949036088431,"punishment_prison_days","insig","Conv.","convicted_drug_offense"
"36","judge_age",0.113601283713669,38.1575236760601,0.00297716604143634,0.997625797897256,-74.8616453837229,75.0888479511502,"punishment_fine","insig","Pers.","convicted_drug_offense"
"37","judge_is_woman",633.267148489755,870.139199528356,0.727776830227861,0.467102853684091,-1076.45861027522,2342.99290725473,"punishment_fine","insig","Pers.","convicted_drug_offense"
"38","judge_some_foreign_background",464.324196783068,2999.28993588686,0.154811374261412,0.877034693936267,-5428.9435288519,6357.59192241804,"punishment_fine","insig","Pers.","convicted_drug_offense"
"39","judge_log_net_income",-204.295420597839,561.930283598765,-0.363560083093353,0.716345611740601,-1308.42528972645,899.834448530769,"punishment_fine","insig","Pers.","convicted_drug_offense"
"40","judge_is_married",-549.190800749488,896.58350421747,-0.612537257451348,0.540470627400311,-2310.87664696267,1212.49504546369,"punishment_fine","insig","Pers.","convicted_drug_offense"
"41","judge_age",6.48705539781009,38.3702306189134,0.169064800841007,0.865826678048018,-68.9335222306869,81.907633026307,"punishment_fine","insig","Conv.","convicted_drug_offense"
"42","judge_is_woman",313.311611149493,853.789406674138,0.366965915365442,0.713828382099841,-1364.89801088793,1991.52123318691,"punishment_fine","insig","Conv.","convicted_drug_offense"
"43","judge_some_foreign_background",1905.94407324064,2897.49121699277,0.657791147756701,0.511030987393717,-3789.36861407416,7601.25676055543,"punishment_fine","insig","Conv.","convicted_drug_offense"
"44","judge_log_net_income",-9.6321888145802,532.412493923667,-0.0180915904951719,0.985574337066107,-1056.14291290073,1036.87853527157,"punishment_fine","insig","Conv.","convicted_drug_offense"
