"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","sig_level","controls","restriction"
"1","judge_age",-4.17660710511641e-17,3.72832007873106e-17,-1.12023834244884,0.26275896399775,-1.14888085130123e-16,3.13559430277946e-17,"judgement_convicted_binary","insig","None","convicted_general_violation_of_traffic_act_1"
"2","judge_age",0.407953921942553,0.199539336899897,2.04447868916799,0.0410488766056107,0.0166055963163274,0.799302247568779,"punishment_prison_days","**","None","convicted_general_violation_of_traffic_act_1"
"3","judge_age",-72.9739550480455,41.4966919157674,-1.75854873434664,0.078821042918559,-154.359716635546,8.41180653945469,"punishment_fine","*","None","convicted_general_violation_of_traffic_act_1"
"4","judge_is_woman",1.37029094736034e-15,1.40013168747569e-15,0.978687190367683,0.327862111123648,-1.37570747853298e-15,4.11628937325366e-15,"judgement_convicted_binary","insig","None","convicted_general_violation_of_traffic_act_1"
"5","judge_is_woman",-7.94766304870728,5.02307448723527,-1.58223077696818,0.113767275736609,-17.7991325629507,1.90380646553615,"punishment_prison_days","insig","None","convicted_general_violation_of_traffic_act_1"
"6","judge_is_woman",2437.74275857511,1039.42121184856,2.34528863831796,0.0191171713219632,399.185216375468,4476.30030077475,"punishment_fine","**","None","convicted_general_violation_of_traffic_act_1"
"7","judge_some_foreign_background",1.05731768657083e-15,5.69372429119932e-15,0.185698785627029,0.852701594379708,-1.01095747048941e-14,1.22242100780358e-14,"judgement_convicted_binary","insig","None","convicted_general_violation_of_traffic_act_1"
"8","judge_some_foreign_background",-18.0242841777324,14.1982325072824,-1.26947380024151,0.204433809067081,-45.8707562668165,9.8221879113518,"punishment_prison_days","insig","None","convicted_general_violation_of_traffic_act_1"
"9","judge_some_foreign_background",8244.65285401697,2924.31459288108,2.81934538578294,0.00486406735065071,2509.30201731268,13980.0036907213,"punishment_fine","***","None","convicted_general_violation_of_traffic_act_1"
"10","judge_log_net_income",1.07909718258302e-17,1.22074368504943e-17,0.883967040582579,0.376828003879028,-1.31507107988248e-17,3.47326544504852e-17,"judgement_convicted_binary","insig","None","convicted_general_violation_of_traffic_act_1"
"11","judge_log_net_income",0.399535083665541,3.36546955071267,0.118716000143557,0.905513151712373,-6.20094992010002,7.0000200874311,"punishment_prison_days","insig","None","convicted_general_violation_of_traffic_act_1"
"12","judge_log_net_income",-174.806235998338,698.482755559739,-0.250265643076978,0.802409503615491,-1544.69679183017,1195.0843198335,"punishment_fine","insig","None","convicted_general_violation_of_traffic_act_1"
"13","judge_is_married",1.49643971121377e-15,1.40266774494955e-15,1.06685258615368,0.28617715952169,-1.2545325395658e-15,4.24741196199334e-15,"judgement_convicted_binary","insig","None","convicted_general_violation_of_traffic_act_1"
"14","judge_is_married",3.48047160887154,5.03516188351428,0.691233308757565,0.489505380997649,-6.39470422632171,13.3556474440648,"punishment_prison_days","insig","None","convicted_general_violation_of_traffic_act_1"
"15","judge_is_married",-822.615666462259,1042.72158254271,-0.788912093347379,0.430264146654552,-2867.64603747655,1222.41470455203,"punishment_fine","insig","None","convicted_general_violation_of_traffic_act_1"
"16","judge_age",-1.91812424451364e-17,1.53888157347757e-17,-1.24644045232087,0.212786222924088,-4.93657298160568e-17,1.1003244925784e-17,"judgement_convicted_binary","insig","Pers.","convicted_general_violation_of_traffic_act_1"
"17","judge_is_woman",3.15812113653858e-16,3.35390823602029e-16,0.94162419311924,0.346528027479451,-3.4204228227998e-16,9.73666509587696e-16,"judgement_convicted_binary","insig","Pers.","convicted_general_violation_of_traffic_act_1"
"18","judge_some_foreign_background",-1.49849256088894e-16,9.16323006551392e-16,-0.163533224657161,0.870119385713743,-1.94717665903069e-15,1.6474781468529e-15,"judgement_convicted_binary","insig","Pers.","convicted_general_violation_of_traffic_act_1"
"19","judge_log_net_income",-2.09821312337417e-16,2.97765518772261e-16,-0.704652819448492,0.481129452623981,-7.93875322456335e-16,3.74232697781502e-16,"judgement_convicted_binary","insig","Pers.","convicted_general_violation_of_traffic_act_1"
"20","judge_is_married",5.84064694204406e-16,3.57323830871773e-16,1.63455287261263,0.102340642566965,-1.1681033387878e-16,1.28493972228759e-15,"judgement_convicted_binary","insig","Pers.","convicted_general_violation_of_traffic_act_1"
"21","judge_age",-1.80067783784789e-17,1.56496023338427e-17,-1.15062210491692,0.25006788441586,-4.87037667234715e-17,1.26902099665137e-17,"judgement_convicted_binary","insig","Conv.","convicted_general_violation_of_traffic_act_1"
"22","judge_is_woman",2.27871366520179e-16,3.37156635994867e-16,0.675862024331171,0.499230592358348,-4.33467695315906e-16,8.89210428356263e-16,"judgement_convicted_binary","insig","Conv.","convicted_general_violation_of_traffic_act_1"
"23","judge_some_foreign_background",-7.54384720329249e-16,9.2466826618022e-16,-0.815843635951293,0.414716812740053,-2.56813885825621e-15,1.05936941759772e-15,"judgement_convicted_binary","insig","Conv.","convicted_general_violation_of_traffic_act_1"
"24","judge_log_net_income",-2.3586229502754e-16,2.95851950456369e-16,-0.797230826647276,0.425440929020047,-8.16181441882978e-16,3.44456851827898e-16,"judgement_convicted_binary","insig","Conv.","convicted_general_violation_of_traffic_act_1"
"25","judge_is_married",5.06467928861756e-16,3.56669855318372e-16,1.41999084394074,0.155814471145521,-1.93146678471836e-16,1.20608253619535e-15,"judgement_convicted_binary","insig","Conv.","convicted_general_violation_of_traffic_act_1"
