"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","sig_level","controls","restriction"
"1","judge_age",4.21365442979832e-18,2.25076208810309e-17,0.187210121055021,0.85177905181975,-4.0302497901964e-17,4.87298067615606e-17,"judgement_convicted_binary","insig","None","convicted_serious_drug_offense"
"2","judge_age",11.7044554225513,6.95578689218528,1.68269321702496,0.094763159338611,-2.05287906057747,25.4617899056801,"punishment_prison_days","*","None","convicted_serious_drug_offense"
"3","judge_age",-62.3081661480294,90.059486207766,-0.691855669754603,0.490387059374591,-240.650467469049,116.03413517299,"punishment_fine","insig","None","convicted_serious_drug_offense"
"4","judge_is_woman",4.24718901597333e-16,4.9813269940678e-16,0.85262200635117,0.395346304535774,-5.60240649339484e-16,1.40967845253415e-15,"judgement_convicted_binary","insig","None","convicted_serious_drug_offense"
"5","judge_is_woman",-231.927181418707,122.972866365015,-1.8860028905099,0.0613961180934766,-475.081865655543,11.2275028181299,"punishment_prison_days","*","None","convicted_serious_drug_offense"
"6","judge_is_woman",-1429.89417989418,1560.88186015588,-0.91608097729535,0.361431664180847,-4519.81572059073,1660.02736080237,"punishment_fine","insig","None","convicted_serious_drug_offense"
"7","judge_some_foreign_background",-3.07774574570756e-16,2.5471511381907e-15,-0.120830903968021,0.904003306662117,-5.34492075742411e-15,4.7293716082826e-15,"judgement_convicted_binary","insig","None","convicted_serious_drug_offense"
"8","judge_some_foreign_background",-377.205882352939,518.463413470045,-0.727545806614053,0.468142309672776,-1402.49879291215,648.087028206275,"punishment_prison_days","insig","None","convicted_serious_drug_offense"
"9","judge_some_foreign_background",-2270.83333333333,6195.92901134749,-0.366504091504992,0.714634374215397,-14538.3415706325,9996.67490396583,"punishment_fine","insig","None","convicted_serious_drug_offense"
"10","judge_log_net_income",5.89984703571623e-17,2.42339147441097e-16,0.243454146720156,0.808012530099087,-4.2014909373535e-16,5.38146034449675e-16,"judgement_convicted_binary","insig","None","convicted_serious_drug_offense"
"11","judge_log_net_income",-14.4766052820722,49.9161492145079,-0.290018471173747,0.77223430210387,-113.169703601333,84.2164930371881,"punishment_prison_days","insig","None","convicted_serious_drug_offense"
"12","judge_log_net_income",119.693149953668,598.04473443901,0.200140797269865,0.841700996892914,-1064.09973281125,1303.48603271859,"punishment_fine","insig","None","convicted_serious_drug_offense"
"13","judge_is_married",6.2549510962517e-16,5.02152709335044e-16,1.24562727233606,0.21501199217499,-3.67413221181788e-16,1.61840344043213e-15,"judgement_convicted_binary","insig","None","convicted_serious_drug_offense"
"14","judge_is_married",141.497326203208,125.347951702124,1.12883636534772,0.260925400367141,-106.353622683313,389.348275089728,"punishment_prison_days","insig","None","convicted_serious_drug_offense"
"15","judge_is_married",1560.13605442176,1582.16593515096,0.986076124988054,0.326047345137503,-1571.91943854875,4692.19154739228,"punishment_fine","insig","None","convicted_serious_drug_offense"
"16","judge_age",-1.31415829435504e-17,1.20598005914361e-17,-1.08970151238509,0.278363149474305,-3.70566200782788e-17,1.07734541911779e-17,"judgement_convicted_binary","insig","Pers.","convicted_serious_drug_offense"
"17","judge_is_woman",-2.74647552934728e-16,1.97202658308103e-16,-1.39271729545161,0.166675564645571,-6.65707824682043e-16,1.16412718812587e-16,"judgement_convicted_binary","insig","Pers.","convicted_serious_drug_offense"
"18","judge_some_foreign_background",1.80047693973125e-16,7.38025888276822e-16,0.243958507192083,0.807743567566631,-1.2834853379963e-15,1.64358072594255e-15,"judgement_convicted_binary","insig","Pers.","convicted_serious_drug_offense"
"19","judge_log_net_income",-1.31257770240533e-16,2.83073639349259e-16,-0.463687719359081,0.643840514199527,-6.92603419828434e-16,4.30087879347368e-16,"judgement_convicted_binary","insig","Pers.","convicted_serious_drug_offense"
"20","judge_is_married",1.25618098728141e-16,2.09005823564023e-16,0.601026787608439,0.549129862727402,-2.88848292652954e-16,5.40084490109236e-16,"judgement_convicted_binary","insig","Pers.","convicted_serious_drug_offense"
"21","judge_age",-2.46748384983063e-17,2.21283628209987e-17,-1.11507745502488,0.269416302187537,-6.89695692526088e-17,1.96198922559961e-17,"judgement_convicted_binary","insig","Conv.","convicted_serious_drug_offense"
"22","judge_is_woman",-2.69110389741431e-16,3.30419596583485e-16,-0.814450451861853,0.418718476005384,-9.30517073326808e-16,3.92296293843947e-16,"judgement_convicted_binary","insig","Conv.","convicted_serious_drug_offense"
"23","judge_some_foreign_background",2.41134210863817e-16,1.14548098251362e-15,0.210509135066282,0.83400813258435,-2.05179509958956e-15,2.53406352131719e-15,"judgement_convicted_binary","insig","Conv.","convicted_serious_drug_offense"
