"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","sig_level","controls","restriction"
"1","judge_age",6.16440201303315e-18,1.24621640342681e-17,0.494649404074804,0.621612058417225,-1.84709408543639e-17,3.07997448804302e-17,"judgement_convicted_binary","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"2","judge_age",0.458033851147692,1.23038842122088,0.372267686567789,0.710248548729181,-1.97421150636032,2.8902792086557,"punishment_prison_days","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"3","judge_age",-13.1097843728264,31.7458041194809,-0.412961168773215,0.680257953921127,-75.8652389579313,49.6456702122786,"punishment_fine","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"4","judge_is_woman",-4.315828161672e-16,4.2859576087675e-16,-1.00696939998739,0.315650337975275,-1.27878471275805e-15,4.15619080423654e-16,"judgement_convicted_binary","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"5","judge_is_woman",33.3291476407914,29.8815262517802,1.11537634858279,0.266560074367427,-25.7374321633368,92.3957274449197,"punishment_prison_days","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"6","judge_is_woman",-232.610350076102,725.286790883089,-0.320714995778267,0.748894583845705,-1666.27909087624,1201.05839072404,"punishment_fine","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"7","judge_some_foreign_background",-2.00453068630511e-16,9.61092084456181e-16,-0.20856801535717,0.835086473189264,-2.10046627386906e-15,1.69956013660804e-15,"judgement_convicted_binary","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"8","judge_some_foreign_background",-12.9902676399027,75.5881583815421,-0.171855855706028,0.863797260993764,-162.422878112246,136.44234283244,"punishment_prison_days","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"9","judge_some_foreign_background",434.549878345501,1769.59761499593,0.245564231474453,0.806376652093427,-3063.82336895202,3932.92312564302,"punishment_fine","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"10","judge_log_net_income",2.27218135151095e-16,4.31582354603873e-16,0.526476888425261,0.599366894347351,-6.25836785811311e-16,1.0802730561135e-15,"judgement_convicted_binary","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"11","judge_log_net_income",21.1093887885873,37.40821564925,0.564298200868892,0.57342909244875,-52.8307575209281,95.0495350981027,"punishment_prison_days","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"12","judge_log_net_income",-295.36824810122,906.775632913607,-0.325734655167295,0.745097972945077,-2087.67835442087,1496.94185821843,"punishment_fine","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"13","judge_is_married",-4.70817617636945e-16,4.30042938259543e-16,-1.09481536783844,0.275438124703949,-1.32088013846939e-15,3.79244903195497e-16,"judgement_convicted_binary","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"14","judge_is_married",-29.2665899501342,30.0323003323679,-0.974503771813696,0.331452061951163,-88.63120370301,30.0980238027417,"punishment_prison_days","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"15","judge_is_married",-951.438434982737,724.105945287844,-1.31394921029757,0.190967230502678,-2382.7730075078,479.896137542321,"punishment_fine","insig","None","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"16","judge_age",-1.25494412792762e-17,3.08123491483647e-17,-0.407286092301802,0.684575258924856,-7.36001614319741e-17,4.85012788734216e-17,"judgement_convicted_binary","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"17","judge_is_woman",-4.69887764685784e-16,4.45055194884961e-16,-1.05579660699667,0.293333275460681,-1.35170758389513e-15,4.11932054523559e-16,"judgement_convicted_binary","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"18","judge_some_foreign_background",-6.22772835688906e-16,1.0515472597619e-15,-0.592244266634213,0.554880780467788,-2.70627893819156e-15,1.46073326681375e-15,"judgement_convicted_binary","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"19","judge_log_net_income",1.15535488060311e-15,8.80638397819919e-16,1.31195151547249,0.19221918464696,-5.89517219935103e-16,2.90022698114133e-15,"judgement_convicted_binary","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"20","judge_is_married",-6.2616489941048e-16,4.86551611380922e-16,-1.28694445720426,0.200767118702793,-1.59020454868329e-15,3.37874749862327e-16,"judgement_convicted_binary","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"21","judge_age",2.27882290220665e-17,4.6775770824163e-17,0.487180192235225,0.628102506628663,-7.0991545092329e-17,1.16568003136462e-16,"judgement_convicted_binary","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"22","judge_is_woman",1.7022021643461e-16,5.76896345411429e-16,0.295062046741192,0.769077972496648,-9.86387317912148e-16,1.32682775078137e-15,"judgement_convicted_binary","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"23","judge_some_foreign_background",-1.03597501920003e-15,1.54338234024493e-15,-0.671236797380761,0.504930992344909,-4.1302703069123e-15,2.05832026851224e-15,"judgement_convicted_binary","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"24","judge_log_net_income",-2.4165106075859e-16,1.33446523840475e-15,-0.181084567663573,0.856979162176894,-2.9170927780432e-15,2.43379065652602e-15,"judgement_convicted_binary","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"25","judge_is_married",-6.29159554694607e-16,6.95880898215084e-16,-0.904119593321766,0.369947931547363,-2.02431675457173e-15,7.65997645182516e-16,"judgement_convicted_binary","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"26","judge_age",0.923702624745876,2.34011407776529,0.394725468096826,0.693796183760829,-3.71293345253353,5.56033870202528,"punishment_prison_days","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"27","judge_is_woman",48.5031326915284,33.8007310613688,1.43497288870664,0.154081436482245,-18.4686831556817,115.474948538739,"punishment_prison_days","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"28","judge_some_foreign_background",-29.9323742770028,79.862153130734,-0.374800491892619,0.708517603554908,-188.168993565575,128.304245011569,"punishment_prison_days","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"29","judge_log_net_income",23.3185471665011,66.8820901073176,0.348651591615702,0.728005436920719,-109.199741092155,155.836835425157,"punishment_prison_days","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"30","judge_is_married",-35.556427006274,36.9522709829577,-0.962225759349743,0.338009070223135,-108.772615227578,37.65976121503,"punishment_prison_days","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"31","judge_age",2.0894157061759,2.39063736799262,0.873999433854054,0.38598900722708,-2.70352363848092,6.88235505083272,"punishment_prison_days","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"32","judge_is_woman",0.0418195236293809,29.484280782531,0.00141836675406233,0.9988735343619,-59.0706043443882,59.1542433916469,"punishment_prison_days","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"33","judge_some_foreign_background",11.3554911651361,78.8798865455245,0.14395927355426,0.88606853759409,-146.78915962461,169.500141954882,"punishment_prison_days","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"34","judge_log_net_income",-20.3398552511828,68.2024562932396,-0.298227605817167,0.766673979314237,-157.07754727705,116.397836774684,"punishment_prison_days","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"35","judge_is_married",-32.8980409254641,35.5653974190819,-0.925001358421863,0.35908057676059,-104.202369587158,38.4062877362301,"punishment_prison_days","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"36","judge_age",10.6672998470635,58.6237839483453,0.181961980763006,0.855941488366603,-105.488213349586,126.822813043713,"punishment_fine","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"37","judge_is_woman",-219.908782508223,846.765024776092,-0.259704612346705,0.795568424165329,-1897.66513642261,1457.84757140616,"punishment_fine","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"38","judge_some_foreign_background",88.4795019472111,2000.68093058812,0.0442246940001581,0.964804050007451,-3875.61330448059,4052.57230837501,"punishment_fine","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"39","judge_log_net_income",-921.915331531325,1675.50857358605,-0.550230148663563,0.583257230534745,-4241.72079481832,2397.89013175567,"punishment_fine","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"40","judge_is_married",-1057.86402432876,925.716387542239,-1.14275175265868,0.255578612376167,-2892.05238317406,776.324334516546,"punishment_fine","insig","Pers.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"41","judge_age",125.263145757977,70.7730329663884,1.7699276194291,0.0823848394855216,-16.6282421985855,267.15453371454,"punishment_fine","*","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"42","judge_is_woman",-239.217715158639,872.860101557133,-0.274061919810388,0.785082698041962,-1989.19685425626,1510.76142393898,"punishment_fine","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"43","judge_some_foreign_background",61.2525011290594,2335.18010117903,0.0262303113571981,0.979170335321758,-4620.50171791367,4743.00672017179,"punishment_fine","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
"44","judge_log_net_income",-1959.22281880971,2019.08275686461,-0.970352905124177,0.336197039840079,-6007.24001918522,2088.7943815658,"punishment_fine","insig","Conv.","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint"
