"","v1_value","v2_value","judgement_convicted_binary","punishment_prison_days","punishment_fine","punishment_share_max_prison_sentence","n","v1","v2","restriction"
"1","40 - 55","40 - 55",0.834296724470135,140.17225950783,10656.6844919786,0.0658889334024096,519,"judge_age_groups","defendant_age_groups",""
"2","40 - 55","< 40",0.837582625118036,105.947141316073,6189.99175824176,0.0617216419268006,1059,"judge_age_groups","defendant_age_groups",""
"3","40 - 55","> 55",0.818181818181818,81.4276729559748,9493.7984496124,0.0503497162472359,187,"judge_age_groups","defendant_age_groups",""
"4","< 40","40 - 55",0.873294346978557,57.9240780911063,11907.1980676328,0.0520787724327142,513,"judge_age_groups","defendant_age_groups",""
"5","< 40","< 40",0.85995085995086,56.9972552607502,7322.79249448124,0.0542705763792265,1221,"judge_age_groups","defendant_age_groups",""
"6","< 40","> 55",0.832535885167464,57.9230769230769,15429.5302013423,0.0516005106899547,209,"judge_age_groups","defendant_age_groups",""
"7","> 55","40 - 55",0.814159292035398,101.632450331126,10209.594017094,0.0509433713439648,339,"judge_age_groups","defendant_age_groups",""
"8","> 55","< 40",0.810055865921788,111.0512,6713.90167364017,0.0716445669876889,716,"judge_age_groups","defendant_age_groups",""
"9","> 55","> 55",0.815126050420168,127.50495049505,9954.54545454545,0.0779365004163992,119,"judge_age_groups","defendant_age_groups",""
"10",NA,"40 - 55",0.9,47.8055555555556,11784.375,0.0632335154381387,80,"judge_age_groups","defendant_age_groups",""
"11",NA,"< 40",0.891304347826087,71.4015748031496,5705.18867924528,0.0545237162920215,138,"judge_age_groups","defendant_age_groups",""
"12",NA,"> 55",0.88235294117647,97.1290322580645,5660.71428571429,0.0821480782469466,34,"judge_age_groups","defendant_age_groups",""
"13",NA,NA,0.833333333333333,90.1111111111111,9306.45161290323,0.073710709640636,90,"judge_age_groups","defendant_age_groups",""
"14","40 - 55","0",0.834931506849315,118.973270440252,8181.00290979632,0.0635497203535977,1460,"judge_age_groups","defendant_is_woman",""
"15","40 - 55","1",0.840182648401826,71.154255319149,6375.8389261745,0.0425421977366499,219,"judge_age_groups","defendant_is_woman",""
"16","40 - 55",NA,0.813953488372093,124.739726027397,6509.80392156863,0.0886714252351892,86,"judge_age_groups","defendant_is_woman",""
"17","< 40","0",0.861940298507462,57.4242002781641,9754.23519736845,0.055613328761701,1608,"judge_age_groups","defendant_is_woman",""
"18","< 40","1",0.84375,43.0134529147982,7208.46560846561,0.0356806772738875,256,"judge_age_groups","defendant_is_woman",""
"19","< 40",NA,0.886075949367089,98.3333333333333,9991.875,0.066896101851227,79,"judge_age_groups","defendant_is_woman",""
"20","> 55","0",0.818278427205101,119.120627261761,7563.80152671756,0.0697320338440171,941,"judge_age_groups","defendant_is_woman",""
"21","> 55","1",0.764705882352941,78.7793103448276,9725,0.0489859777103528,170,"judge_age_groups","defendant_is_woman",""
"22","> 55",NA,0.841269841269841,51.9259259259259,12166.6666666667,0.044097015419231,63,"judge_age_groups","defendant_is_woman",""
"23",NA,"0",0.872852233676976,74.2007575757576,8143.11111111111,0.0696165363950685,291,"judge_age_groups","defendant_is_woman",""
"24",NA,"1",0.848484848484849,45.9310344827586,6425,0.0264267497442006,33,"judge_age_groups","defendant_is_woman",""
"25",NA,NA,1,105.5,8916.66666666667,0.0368572563033552,18,"judge_age_groups","defendant_is_woman",""
"26","40 - 55","0",0.837354781054513,109.432682425488,8214.4812967581,0.059819319797402,1119,"judge_age_groups","defendant_some_foreign_background",""
"27","40 - 55","1",0.826923076923077,109.367901234568,7466.66666666667,0.0606275890543574,468,"judge_age_groups","defendant_some_foreign_background",""
"28","40 - 55",NA,0.837078651685393,148.677419354839,6829.05982905983,0.081061175095854,178,"judge_age_groups","defendant_some_foreign_background",""
"29","< 40","0",0.862068965517241,54.7205357142857,10416.4210526316,0.0538313200794581,1247,"judge_age_groups","defendant_some_foreign_background",""
"30","< 40","1",0.85823754789272,59.3986928104575,6889.52879581152,0.0537472517068768,522,"judge_age_groups","defendant_some_foreign_background",""
"31","< 40",NA,0.85632183908046,70.0127388535031,9749.12408759124,0.0503215443811036,174,"judge_age_groups","defendant_some_foreign_background",""
"32","> 55","0",0.816689466484268,103.820031298904,8622.09233791749,0.0711368893438561,731,"judge_age_groups","defendant_some_foreign_background",""
"33","> 55","1",0.799373040752351,134.142857142857,5247.59615384615,0.0614132568443521,319,"judge_age_groups","defendant_some_foreign_background",""
"34","> 55",NA,0.814516129032258,83.2752293577982,11977.6506024096,0.0489017679428638,124,"judge_age_groups","defendant_some_foreign_background",""
"35",NA,"0",0.877729257641921,76.5333333333334,9308.62068965517,0.0680445703665799,229,"judge_age_groups","defendant_some_foreign_background",""
"36",NA,"1",0.841463414634146,57.7142857142857,5360.65573770492,0.0467110662205669,82,"judge_age_groups","defendant_some_foreign_background",""
"37",NA,NA,0.967741935483871,87.3548387096774,5910,0.0817407070034685,31,"judge_age_groups","defendant_some_foreign_background",""
"38","40 - 55","0",0.838562091503268,114.131835205993,7616.55637707949,0.0600838535793395,1530,"judge_age_groups","defendant_is_married",""
"39","40 - 55","1",0.805369127516779,98.7599999999999,11668.3673469388,0.071939036120601,149,"judge_age_groups","defendant_is_married",""
"40","40 - 55",NA,0.813953488372093,124.739726027397,6509.80392156863,0.0886714252351892,86,"judge_age_groups","defendant_is_married",""
"41","< 40","0",0.866071428571428,57.0802387267905,8934.02668759813,0.0541929243962403,1680,"judge_age_groups","defendant_is_married",""
"42","< 40","1",0.798913043478261,39.8104575163399,14058.0152671756,0.0392850224357074,184,"judge_age_groups","defendant_is_married",""
"43","< 40",NA,0.886075949367089,98.3333333333333,9991.875,0.066896101851227,79,"judge_age_groups","defendant_is_married",""
"44","> 55","0",0.813492063492064,107.505656108597,8060.21167883211,0.0661493415057023,1008,"judge_age_groups","defendant_is_married",""
"45","> 55","1",0.776699029126214,168.211111111111,5793.5,0.0780900080897954,103,"judge_age_groups","defendant_is_married",""
"46","> 55",NA,0.841269841269841,51.9259259259259,12166.6666666667,0.044097015419231,63,"judge_age_groups","defendant_is_married",""
"47",NA,"0",0.869415807560137,73.4296577946768,7768.91891891892,0.0643609305681213,291,"judge_age_groups","defendant_is_married",""
"48",NA,"1",0.878787878787879,53.6333333333333,10260.8695652174,0.0771875873637125,33,"judge_age_groups","defendant_is_married",""
"49",NA,NA,1,105.5,8916.66666666667,0.0368572563033552,18,"judge_age_groups","defendant_is_married",""
"50","40 - 55","1",0.826291079812207,151.835135135135,4211.98615916955,0.0696121326369194,426,"judge_age_groups","defendant_net_income_quantile",""
"51","40 - 55","2",0.835886214442013,122.180904522613,5627.950310559,0.0652433925230052,457,"judge_age_groups","defendant_net_income_quantile",""
"52","40 - 55","3",0.847494553376906,88.6533665835411,8156.23100303951,0.0580745196544995,459,"judge_age_groups","defendant_net_income_quantile",""
