"","circ_group_1","n","sum"
"1","aggravating_DELETE",263,665
"2","aggravating_cause",11,99
"3","aggravating_children",2,374
"4","aggravating_cumulative_offense",5,436
"5","aggravating_driving",136,1967
"6","aggravating_drugs",42,526
"7","aggravating_hate_crime",10,33
"8","aggravating_intoxication",25,47
"9","aggravating_life_health",90,1303
"10","aggravating_no_confession",1,37
"11","aggravating_object",38,227
"12","aggravating_obstruction",8,11
"13","aggravating_organized",20,109
"14","aggravating_other",4,1893
"15","aggravating_place",28,584
"16","aggravating_premeditated",23,108
"17","aggravating_preventative",10,345
"18","aggravating_reckless",6,25
"19","aggravating_repeated_offense",25,2295
"20","aggravating_severe",73,822
"21","aggravating_threats",19,573
"22","aggravating_trust",23,47
"23","aggravating_victim",65,727
"24","aggravating_violation",213,1078
"25","mitigating_DELETE",38,226
"26","mitigating_amends",9,9
"27","mitigating_burden",14,397
"28","mitigating_cause",17,274
"29","mitigating_confession",32,3033
"30","mitigating_mental",12,100
"31","mitigating_minor",25,199
"32","mitigating_no_previous_conviction",3,71
"33","mitigating_other",1,325
"34","mitigating_potential_rehabilitation",3,91
"35","mitigating_processing_time",10,2430
"36","mitigating_young_age",1,64
