"","char","regression_all_data_days_sig_level","variable","Regression Result","Estimate"
"1","defendant_age","***","Age","regression_all_data_days",0.967632016377489
"2","defendant_age","***","Age","regression_all_data_days_conf_low",0.398383896078046
"3","defendant_age","***","Age","regression_all_data_days_conf_high",1.53688013667693
"4","defendant_is_woman","***","Gender: Female","regression_all_data_days",-25.0662321875477
"5","defendant_is_woman","***","Gender: Female","regression_all_data_days_conf_low",-40.5883147520654
"6","defendant_is_woman","***","Gender: Female","regression_all_data_days_conf_high",-9.54414962303007
"7","defendant_some_foreign_background","insig","Migration Background","regression_all_data_days",-1.87096809844684
"8","defendant_some_foreign_background","insig","Migration Background","regression_all_data_days_conf_low",-22.7512856523937
"9","defendant_some_foreign_background","insig","Migration Background","regression_all_data_days_conf_high",19.0093494555
"10","defendant_log_net_income","**","Income (Log)","regression_all_data_days",-3.02942978419793
"11","defendant_log_net_income","**","Income (Log)","regression_all_data_days_conf_low",-5.59695691522449
"12","defendant_log_net_income","**","Income (Log)","regression_all_data_days_conf_high",-0.461902653171376
