"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","sig_level"
"1","(Intercept)",4.55530573215671,1.0909445191406,4.17556131612009,0.00816070038753439,1.77501865331138,7.33559281100205,5.14798879998133,"punishment_prison_days_log","***"
"2","judge_age",0.00820690623761832,0.00279064346603027,2.94086519382311,0.00581401968496487,0.00253834227253429,0.0138754702027023,34.4463996000635,"punishment_prison_days_log","***"
"3","judge_is_woman",0.0808922101003167,0.0578365086002246,1.39863577622669,0.163416789929792,-0.0331310673017163,0.19491548750235,207.260774758921,"punishment_prison_days_log","insig"
"4","judge_some_foreign_background",-0.109874785920066,0.199926808044829,-0.549575051963165,0.589753928022837,-0.531663264743264,0.311913692903131,17.0107024992284,"punishment_prison_days_log","insig"
"5","judge_log_net_income",-0.087055962852579,0.0836046144629105,-1.04128179301873,0.350758114273014,-0.309870835221007,0.135758909515849,4.46958660562881,"punishment_prison_days_log","insig"
"6","judge_is_married",-0.103518880389058,0.0641640431443223,-1.61334721623161,0.108567508061092,-0.230201174500462,0.0231634137223466,166.086170594453,"punishment_prison_days_log","insig"
"7","defendant_age",0.00310516144130251,0.00292961997962266,1.0599195332162,0.291070471568156,-0.00268863113634277,0.0088989540189478,135.243226672665,"punishment_prison_days_log","insig"
"8","defendant_is_woman",-0.252778446496437,0.0926967562818254,-2.72693950290899,0.00805004455984665,-0.437614520502355,-0.067942372490519,70.9116319717874,"punishment_prison_days_log","***"
"9","defendant_log_net_income",-0.0146480697100043,0.0063492793670421,-2.30704444760136,0.0223962358157868,-0.0271918459109409,-0.00210429350906781,152.692489694345,"punishment_prison_days_log","**"
"10","case_is_not_oslo",0.0623371872609128,0.0653532706253377,0.953849542103014,0.341858931958837,-0.0669075716073057,0.191581946129131,135.451930016071,"punishment_prison_days_log","insig"
"11","defendant_is_married",-0.00842602249459276,0.0745756153010739,-0.112986295326905,0.910221145810521,-0.156008235283635,0.139156190294449,126.064977847159,"punishment_prison_days_log","insig"
"12","convicted_stay_of_execution_.conditional_imprisonment_.",-0.16130021179812,0.13258267144865,-1.21660100853069,0.231948550971346,-0.430518886746514,0.107918463150274,34.7776010943024,"punishment_prison_days_log","insig"
"13","convicted_bodily_injury",0.925844410796397,0.112081174090677,8.26048101572668,5.78450540986518e-12,0.702331684508552,1.14935713708424,70.4685266602626,"punishment_prison_days_log","***"
"14","convicted_drug_offense",-0.0789064608079149,0.10552296398197,-0.747765773726725,0.45646045740792,-0.288413580666708,0.130600659050878,94.3869979784128,"punishment_prison_days_log","insig"
"15","convicted_illegal_arming_in_a_public_place",0.0950882134503024,0.136729054501486,0.695449945126837,0.4900771947706,-0.179718616472206,0.369895043372811,48.7230719545598,"punishment_prison_days_log","insig"
"16","convicted_participation",0.0952602511270944,0.127942763631503,0.744553645890129,0.459796567815567,-0.161298706300946,0.351819208555134,53.5519472611294,"punishment_prison_days_log","insig"
"17","convicted_courtesy",0.527176143941173,0.191445407127736,2.75366305126051,0.0115012015091081,0.130458277343982,0.923894010538364,22.3060527468718,"punishment_prison_days_log","**"
"18","convicted_general_violation_of_traffic_act_1",-0.813517807292141,0.123992545124271,-6.56102192657466,4.18079871214517e-09,-1.06010029727856,-0.566935317305723,83.7740678439127,"punishment_prison_days_log","***"
"19","convicted_drinking_within_six_hours_of_traffic_investigation",0.171944984589123,0.0906120190136581,1.89759577659566,0.0613757539071473,-0.00839303598129182,0.352283005159538,79.5872958452152,"punishment_prison_days_log","*"
"20","convicted_acquisition_possession_and_use_of_drugs",-0.0793938275468426,0.203882199630818,-0.389410295212656,0.730479683705869,-0.863053701789918,0.704266046696233,2.27284137321798,"punishment_prison_days_log","insig"
"21","convicted_section_24_of_the_medicines_act_other",-0.131264847013893,0.209293840800305,-0.62717969392677,0.585115267803134,-0.903117977403985,0.640588283376198,2.39621989331885,"punishment_prison_days_log","insig"
"22","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime.",0.0685855964328416,0.0605900486604938,1.13196140206372,0.259495441914391,-0.0511553656478949,0.188326558513578,146.868508576597,"punishment_prison_days_log","insig"
"23","convicted_road_traffic_act_other_1",0.0980985553035287,0.135730805027283,0.722743486887961,0.473046942003841,-0.174207378124725,0.370404488731782,52.4683116027946,"punishment_prison_days_log","insig"
