"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","sig_level"
"1","(Intercept)",3.50788183770721,0.672251637517356,5.21810828257989,0.000545995056605054,1.98774135434712,5.0280223210673,9.02329966909532,"punishment_prison_days_log","***"
"2","judge_age",0.00873004586706592,0.00409985622996055,2.12935414741358,0.0354360813167993,0.000605868437462341,0.0168542232966695,110.952141239426,"punishment_prison_days_log","**"
"3","defendant_log_net_income",0.00195492443475457,0.01383281141967,0.141325170671719,0.887812660593839,-0.0253891060858508,0.02929895495536,142.499160390944,"punishment_prison_days_log","insig"
"4","defendant_age",0.00332198302203725,0.0012217906169307,2.71894625478668,0.00694413574246035,0.00091727180016176,0.00572669424391273,289.714350399942,"punishment_prison_days_log","***"
"5","defendant_is_woman",-0.0906493064821485,0.040125913228058,-2.25912133057104,0.0248800595888555,-0.169740414434514,-0.0115581985297831,214.731080258852,"punishment_prison_days_log","**"
"6","defendant_some_foreign_background",-0.0187280180978103,0.037252502772932,-0.502731808704629,0.615529833983951,-0.092043888775317,0.0545878525796964,293.517514723262,"punishment_prison_days_log","insig"
"7","case_is_not_oslo",0.0742239969578519,0.0457797331934696,1.6213287361063,0.107575014372268,-0.0164178047636038,0.164865798679308,119.855106498381,"punishment_prison_days_log","insig"
"8","defendant_is_married",-0.0263699256004551,0.0610807344904962,-0.431722470602545,0.666450163547925,-0.146881087911564,0.0941412367106537,183.424081071755,"punishment_prison_days_log","insig"
"9","judge_is_woman",0.0117139871363549,0.0347288846344461,0.337298109618421,0.736112567948962,-0.0566109165866281,0.0800388908593379,321.085201609691,"punishment_prison_days_log","insig"
"10","judge_some_foreign_background",-0.173510635230457,0.091539912080057,-1.89546429844407,0.0747147159592672,-0.366260501386673,0.0192392309257586,17.4546049451003,"punishment_prison_days_log","*"
"11","judge_log_net_income",-0.0241671806856553,0.0508215479522633,-0.475530196529149,0.651252941574649,-0.148570999573042,0.100236638201731,5.99047000277416,"punishment_prison_days_log","insig"
"12","judge_is_married",-0.0291759969669725,0.0359488030017006,-0.811598566038271,0.417880085948235,-0.100015536706766,0.0416635427728212,224.915085327289,"punishment_prison_days_log","insig"
"13","convicted_stay_of_execution_.conditional_imprisonment_.",-0.134921275329012,0.056622842489282,-2.38280646815904,0.019048881148938,-0.247243742986551,-0.0225988076714719,101.150086435522,"punishment_prison_days_log","**"
"14","convicted_bodily_injury",0.984183980330346,0.060759171150371,16.1981139916247,1.14811455091457e-34,0.864122422547883,1.10424553811281,148.903818458811,"punishment_prison_days_log","***"
"15","convicted_drug_offense",0.146183641883009,0.0575569701101157,2.53980780439512,0.0118853548841272,0.0326567713431742,0.259710512422843,191.546524998833,"punishment_prison_days_log","**"
"16","convicted_illegal_arming_in_a_public_place",0.196993874907929,0.0861156050865457,2.28755142241584,0.0241489224215395,0.0262615763797224,0.367726173436135,106.014215954952,"punishment_prison_days_log","**"
"17","convicted_participation",0.0861001429575704,0.0752932301359966,1.14353100274824,0.255825002536128,-0.0634656471743226,0.235665933089463,90.773046550072,"punishment_prison_days_log","insig"
"18","convicted_courtesy",0.369451458734032,0.119197722034284,3.09948422191968,0.0030173022424168,0.130729633364525,0.60817328410354,56.6441258989478,"punishment_prison_days_log","***"
"19","convicted_general_violation_of_traffic_act_1",-0.566930165825155,0.071527392013618,-7.92605671568758,1.56780113316531e-13,-0.707976700568439,-0.425883631081872,199.548986846088,"punishment_prison_days_log","***"
"20","convicted_drinking_within_six_hours_of_traffic_investigation",0.0210961345480601,0.0536728540285917,0.393050359066469,0.694764278148178,-0.08483884070047,0.12703110979659,173.690316175186,"punishment_prison_days_log","insig"
"21","convicted_acquisition_possession_and_use_of_drugs",0.552564319989663,0.283727654371112,1.94751661135899,0.0800627679187888,-0.079577213493301,1.18470585347263,10.0050297679623,"punishment_prison_days_log","*"
"22","convicted_section_24_of_the_medicines_act_other",-0.617582675719033,0.284239077522709,-2.17275781043756,0.0534380725712249,-1.24612644574877,0.0109610943107071,10.593980148754,"punishment_prison_days_log","*"
"23","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime.",0.0614355060181229,0.0364698240084065,1.68455723844353,0.0931826870676542,-0.0103527708574921,0.133223782893738,281.416711192909,"punishment_prison_days_log","*"
"24","convicted_road_traffic_act_other_1",-0.207018814187933,0.232381930184051,-0.890855902711411,0.419376105104371,-0.831383965496802,0.417346337120937,4.36697845293679,"punishment_prison_days_log","insig"
"25","convicted_violating_traffic_signage_act",0.196585899874251,0.237330564340181,0.82832103998401,0.448037097832411,-0.428303217329508,0.821475017078009,4.63333116471772,"punishment_prison_days_log","insig"
"26","convicted_temporary_suspension_of_driving_lisence",0.323965559473453,0.042533414542942,7.61673058593439,4.9279838813058e-13,0.240208951557891,0.407722167389016,258.164143989243,"punishment_prison_days_log","***"
"27","convicted_assault_and_battery",-0.0268736289740826,0.0547215509455874,-0.491097721276294,0.623851205270562,-0.134724456057609,0.0809771981094439,218.066712942423,"punishment_prison_days_log","insig"
"28","convicted_reckless_behavior",0.133729111561999,0.106269187806718,1.25839967653865,0.211883266941228,-0.0777317791502113,0.34519000227421,80.5341907226806,"punishment_prison_days_log","insig"
"29","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint",0.417155251732581,0.089813795786387,4.64466787179046,9.8985415453015e-06,0.239073983310512,0.59523652015465,105.146782561793,"punishment_prison_days_log","***"
"30","convicted_damage",0.0842971640628644,0.0758891137156913,1.1107938930302,0.269093032934074,-0.0661068077486653,0.234701135874394,109.374782045625,"punishment_prison_days_log","insig"
"31","convicted_threats",0.123840238258716,0.0694889720021594,1.78215671768562,0.0768106670157035,-0.0134986867978638,0.261179163315296,145.404900500663,"punishment_prison_days_log","*"
"32","convicted_grievous_bodily_harm",1.16043041145838,0.13378738452433,8.67369083852113,2.42286404705864e-10,0.889090062834553,1.43177076008222,35.9734381042324,"punishment_prison_days_log","***"
"33","convicted_serious_drug_offense",2.2753527988599,0.151614946393588,15.0074438766291,6.94095652243156e-23,1.97260464847324,2.57810094924657,65.5459682316175,"punishment_prison_days_log","***"
"34","convicted_aggravated_assault",0.551326166052077,0.0957037519937512,5.76075811623431,5.51797555794655e-07,0.358984105568236,0.743668226535918,48.817676351756,"punishment_prison_days_log","***"
"35","convicted_intention_of_committing_an_offens",0.391650379429854,0.108788655366348,3.60010313677436,0.000961189149458344,0.170922638778211,0.612378120081496,35.5632528633609,"punishment_prison_days_log","***"
"36","convicted_theft",0.121279064088288,0.0835647368902187,1.45131868538778,0.149377963937259,-0.0442235021935848,0.28678163037016,116.529390375608,"punishment_prison_days_log","insig"
"37","convicted_road_traffic_act_other_5",0.311285395802151,0.110849102801751,2.8081904853923,0.00610273874585709,0.091080769635695,0.531490021968607,90.496646861321,"punishment_prison_days_log","***"
"38","convicted_violating_basic_traffic_rules",0.0441976381491485,0.0554383547603,0.797239354238537,0.426584768239656,-0.0653522038229491,0.153747480121246,148.516081475174,"punishment_prison_days_log","insig"
"39","convicted_loss_of_the_right_to_drive_a_motor_vehicle.",-0.05599656898142,0.0402010556314799,-1.39291289996801,0.166045709521828,-0.135536514111862,0.0235433761490222,128.799555187988,"punishment_prison_days_log","insig"
"40","convicted_obstruction_of_a_public_official",0.0689138116952313,0.0737859588325145,0.933969183102406,0.352394441326581,-0.0773357343251147,0.215163357715577,108.459874111773,"punishment_prison_days_log","insig"
"41","convicted_aggravated_theft",0.696100928179044,0.120056954837832,5.79808915792767,2.52041125406135e-07,0.456050111559661,0.936151744798428,61.225763382437,"punishment_prison_days_log","***"
"42","convicted_fraud",-0.0656643692574607,0.102964548580734,-0.637737650119194,0.525762010523256,-0.271084866218353,0.139756127703432,68.7777388037122,"punishment_prison_days_log","insig"
"43","convicted_judgment_in_arrears",-0.0253243982722263,0.131468746766181,-0.192626756511692,0.848257866504178,-0.291304682671647,0.240655886127195,38.7283740133839,"punishment_prison_days_log","insig"
