"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","sig_level"
"1","(Intercept)",228.724487608477,245.587312927195,0.931336740820497,0.375925509354957,-326.614013252539,784.062988469493,9.02329966909532,"punishment_prison_days","insig"
"2","judge_age",3.17436360944688,1.03706308579267,3.06091659507924,0.00276801274476189,1.11934410581103,5.22938311308272,110.952141239426,"punishment_prison_days","***"
"3","defendant_log_net_income",2.95681225117693,3.08461560595302,0.95856749394335,0.33940022002043,-3.1407062296705,9.05433073202436,142.499160390944,"punishment_prison_days","insig"
"4","defendant_age",0.973797751821743,0.341605595071815,2.85064930396419,0.00467635269818568,0.301454392377498,1.64614111126599,289.714350399942,"punishment_prison_days","***"
"5","defendant_is_woman",-23.4656514728324,8.66531502991896,-2.70799750405057,0.00731441499831917,-40.5456207828728,-6.38568216279204,214.731080258852,"punishment_prison_days","***"
"6","defendant_some_foreign_background",-0.939281400991764,12.0497314136867,-0.0779504014442083,0.937920618384232,-24.6541054870248,22.7755426850413,293.517514723262,"punishment_prison_days","insig"
"7","case_is_not_oslo",2.9146615494555,17.8112126977548,0.163641948412805,0.870288641636258,-32.350734230502,38.180057329413,119.855106498381,"punishment_prison_days","insig"
"8","defendant_is_married",10.4306489476084,19.969994208205,0.52231607274692,0.602080519644895,-28.9697812117792,49.831079106996,183.424081071755,"punishment_prison_days","insig"
"9","judge_is_woman",-0.854087916802194,9.4688841267859,-0.0901994263913444,0.928184980137255,-19.4829786265555,17.7748027929511,321.085201609691,"punishment_prison_days","insig"
"10","judge_some_foreign_background",-27.1059143626599,17.1279302552658,-1.58255632517692,0.131472840952912,-63.1711255827472,8.95929685742731,17.4546049451003,"punishment_prison_days","insig"
"11","judge_log_net_income",-19.6973559680104,19.1183597664528,-1.03028482613731,0.34266636358923,-66.4963430441955,27.1016311081747,5.99047000277416,"punishment_prison_days","insig"
"12","judge_is_married",5.75380318832828,10.6674058412574,0.539381671040841,0.590157075260624,-15.2670391461583,26.7746455228148,224.915085327289,"punishment_prison_days","insig"
"13","convicted_stay_of_execution_.conditional_imprisonment_.",-26.2213858344848,14.4745628885699,-1.8115494081822,0.0730234071264758,-54.9345084972363,2.49173682826672,101.150086435522,"punishment_prison_days","*"
"14","convicted_bodily_injury",32.9802708258551,15.5715902611937,2.11797705132571,0.0358378020121378,2.21044055147144,63.7501011002388,148.903818458811,"punishment_prison_days","**"
"15","convicted_drug_offense",-28.0467194365611,20.9538162459567,-1.33850173674082,0.182319490736255,-69.3765736613256,13.2831347882035,191.546524998833,"punishment_prison_days","insig"
"16","convicted_illegal_arming_in_a_public_place",26.0931004862667,16.7198481839782,1.56060630450404,0.121596995872268,-7.05557342276957,59.241774395303,106.014215954952,"punishment_prison_days","insig"
"17","convicted_participation",13.3193880800134,36.0051976890153,0.369929591695507,0.712296645731131,-58.2029231754047,84.8416993354316,90.773046550072,"punishment_prison_days","insig"
"18","convicted_courtesy",19.5667616532626,25.5537883509763,0.765708840682131,0.447028558325699,-31.6107851667725,70.7443084732978,56.6441258989478,"punishment_prison_days","insig"
"19","convicted_general_violation_of_traffic_act_1",-90.1643963976313,17.2577289859629,-5.22458061955715,4.3771149434394e-07,-124.19531521745,-56.1334775778126,199.548986846088,"punishment_prison_days","***"
"20","convicted_drinking_within_six_hours_of_traffic_investigation",2.30776662226044,8.80225619640841,0.262178988064682,0.79349413394664,-15.0653880044903,19.6809212490112,173.690316175186,"punishment_prison_days","insig"
"21","convicted_acquisition_possession_and_use_of_drugs",99.1999333822901,72.0088901304061,1.37760675386944,0.198356819252844,-61.2349397439713,259.634806508552,10.0050297679623,"punishment_prison_days","insig"
"22","convicted_section_24_of_the_medicines_act_other",-108.837016307558,72.9331203086723,-1.4922852038543,0.16479212292945,-270.115538593723,52.4415059786082,10.593980148754,"punishment_prison_days","insig"
"23","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime.",12.5901037347983,11.8379169899837,1.06354046454718,0.288448666590701,-10.712001104304,35.8922085739005,281.416711192909,"punishment_prison_days","insig"
"24","convicted_road_traffic_act_other_1",56.8651649842246,71.2313197275787,0.798316880856667,0.465858109189722,-134.519568262528,248.249898230977,4.36697845293679,"punishment_prison_days","insig"
"25","convicted_violating_traffic_signage_act",-62.5885693441754,71.3562115506625,-0.877128535610918,0.423555147964175,-250.468795251298,125.291656562947,4.63333116471772,"punishment_prison_days","insig"
"26","convicted_temporary_suspension_of_driving_lisence",13.9102201252622,7.12133202716368,1.95331717046796,0.0518621899711795,-0.113074755836395,27.9335150063608,258.164143989243,"punishment_prison_days","*"
"27","convicted_assault_and_battery",-45.166379072294,14.3453514614065,-3.14850278808474,0.00187073595838889,-73.4396643352609,-16.893093809327,218.066712942423,"punishment_prison_days","***"
"28","convicted_reckless_behavior",-0.105052577947233,17.2975437191817,-0.00607326564122154,0.995169284037445,-34.5247567037024,34.3146515478079,80.5341907226806,"punishment_prison_days","insig"
"29","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint",5.80185357318963,20.9565440652456,0.276851639045364,0.782437538010977,-35.7504259647783,47.3541331111576,105.146782561793,"punishment_prison_days","insig"
"30","convicted_damage",-10.20497884145,16.5493617571995,-0.616638816116912,0.538754392472205,-43.004014399484,22.594056716584,109.374782045625,"punishment_prison_days","insig"
"31","convicted_threats",-14.8918393353804,16.5426546259765,-0.900208562173339,0.369497771786794,-47.5869611432447,17.8032824724838,145.404900500663,"punishment_prison_days","insig"
"32","convicted_grievous_bodily_harm",283.096068891636,58.5703576514206,4.83343589220459,2.50063674660473e-05,164.306832367853,401.885305415419,35.9734381042324,"punishment_prison_days","***"
"33","convicted_serious_drug_offense",665.864828218714,103.724842366505,6.41953087637315,1.76247174128241e-08,458.744719531755,872.984936905674,65.5459682316175,"punishment_prison_days","***"
"34","convicted_aggravated_assault",8.47978939459951,15.8749147862007,0.534162829142906,0.59565318852526,-23.4250602729726,40.3846390621716,48.817676351756,"punishment_prison_days","insig"
"35","convicted_intention_of_committing_an_offens",62.8732213981828,30.7476826338327,2.0448117065252,0.0483292670911361,0.487428548875698,125.25901424749,35.5632528633609,"punishment_prison_days","**"
