"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","sig_level"
"1","(Intercept)",198.546046164354,171.567126614312,1.15724993524366,0.289440463238464,-217.140275661036,614.232367989743,6.25561241834843,"punishment_prison_days","insig"
"2","judge_age",1.01937081550399,0.471154819121652,2.16355807928346,0.0329204594417534,0.0844218653058049,1.95431976570217,98.3573415166313,"punishment_prison_days","**"
"3","defendant_some_foreign_background",-35.499082928944,25.5197726096467,-1.39104228991151,0.166115942782079,-85.8925396706831,14.8943738127952,162.360092151677,"punishment_prison_days","insig"
"4","judge_is_woman",-1.0345034793374,7.86800931377108,-0.131482238782654,0.895472397202225,-16.5111729526546,14.4421659939798,336.561886624248,"punishment_prison_days","insig"
"5","judge_some_foreign_background",-18.5675931714797,14.8515145329043,-1.25021546660054,0.227358052492337,-49.7875251958693,12.65233885291,17.8559093210594,"punishment_prison_days","insig"
"6","judge_log_net_income",-13.62090326658,13.4553526550671,-1.01230369918626,0.356469895359095,-47.8860633473208,20.6442568141607,5.16146521661724,"punishment_prison_days","insig"
"7","judge_is_married",6.71663626047527,9.26503180905083,0.724944759921268,0.46921686490711,-11.5377727911359,24.9710453120865,231.867149326068,"punishment_prison_days","insig"
"8","defendant_age",0.964407039261458,0.290549601211556,3.31925094799648,0.00101106848848783,0.392690909164703,1.53612316935821,307.61253848774,"punishment_prison_days","***"
"9","defendant_is_woman",-24.8649230688897,7.91897738777228,-3.13991590723364,0.00189429871239619,-40.4617598516992,-9.26808628608017,248.612045763184,"punishment_prison_days","***"
"10","defendant_log_net_income",-3.05900072396107,1.30165230358184,-2.35009050845869,0.0194361971346592,-5.620838930484,-0.497162517438129,291.223065757653,"punishment_prison_days","**"
"11","case_is_not_oslo",5.77568348225334,16.2567062194601,0.355280055152843,0.722949452020253,-26.3830483744126,37.9344153389193,131.399259066818,"punishment_prison_days","insig"
"12","defendant_is_married",12.2039226801489,17.5404913783599,0.695757172185334,0.487388120036147,-22.3839832121173,46.7918285724151,200.116733961382,"punishment_prison_days","insig"
"13","convicted_stay_of_execution_.conditional_imprisonment_.",-2.21271554543515,11.7387354680801,-0.188496925537844,0.850864225762108,-25.4983670736399,21.0729359827696,101.302141095718,"punishment_prison_days","insig"
"14","convicted_bodily_injury",44.8729761912247,13.6155828423511,3.29570733113591,0.00120750934914278,17.9849488799931,71.7610035024563,161.10750001422,"punishment_prison_days","***"
"15","convicted_drug_offense",-24.701218885838,18.3594466129419,-1.34542284452221,0.179861650507969,-60.8823626966782,11.4799249250022,221.947847371246,"punishment_prison_days","insig"
"16","convicted_illegal_arming_in_a_public_place",26.7093148418717,13.1932221296996,2.0244724586078,0.0452424453651612,0.575610874732906,52.8430188090105,114.80577185743,"punishment_prison_days","**"
"17","convicted_participation",32.0977718729105,32.2280806284172,0.995956670302239,0.321350061478845,-31.7358992419904,95.9314429878114,115.673908862579,"punishment_prison_days","insig"
