"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","sig_level"
"1","(Intercept)",-299.319554096987,314.843303946341,-0.95069372715006,0.346944483571642,-933.814817275672,335.175709081699,44.073097027565,"punishment_prison_days","insig"
"2","judge_log_net_income",24.1078661261695,24.4186229891706,0.987273776120019,0.329019912500332,-25.1339859202712,73.3497181726103,43.0906115579865,"punishment_prison_days","insig"
"3","defendant_log_net_income",52.4572255376539,25.7011932922123,2.04104241158129,0.046267315232778,0.900682234246304,104.013768841061,52.7162622398368,"punishment_prison_days","**"
"4","defendant_age",0.967322161361317,0.339922387857986,2.84571477464865,0.00474747862827211,0.298290911570775,1.63635341115186,289.636401465704,"punishment_prison_days","***"
"5","defendant_is_woman",-23.6167800155877,8.65597756006065,-2.72837814697641,0.00689226302805085,-40.6784261586485,-6.55513387252678,214.549871379716,"punishment_prison_days","***"
"6","defendant_some_foreign_background",-1.8074244842533,12.2582980133413,-0.147444978273997,0.88288257230211,-25.9332541094169,22.3184051409103,291.968328072724,"punishment_prison_days","insig"
"7","case_is_not_oslo",2.8218102746819,17.8950223999479,0.157686881391672,0.874969048296523,-32.6097417283468,38.2533622777106,119.783230659823,"punishment_prison_days","insig"
"8","defendant_is_married",10.4625064940701,19.9067367853548,0.525576170865294,0.599817683307898,-28.8131911799689,49.738204168109,183.372587614775,"punishment_prison_days","insig"
"9","judge_age",1.66723753139825,0.487106229618522,3.42273908651087,0.000992050864219655,0.697419312724454,2.63705575007205,77.6735086203462,"punishment_prison_days","***"
"10","judge_is_woman",-1.28833879015444,9.43229395117165,-0.13658806615059,0.891441975665925,-19.845214086224,17.2685365059152,321.216254729824,"punishment_prison_days","insig"
"11","judge_some_foreign_background",-27.1714188529419,16.9842279956985,-1.59980299721738,0.127601614554736,-62.936420681606,8.59358297572224,17.4389660886024,"punishment_prison_days","insig"
"12","judge_is_married",5.83815794108336,10.6538680797477,0.547984816160933,0.584245941096483,-15.1560440304745,26.8323599126413,224.842408525012,"punishment_prison_days","insig"
