"","term","estimate","std.error","statistic","p.value","sig_level"
"1","(Intercept)",2.72765781181484,0.583961894808898,4.67095171116853,2.99807419092138e-06,"***"
"2","defendant_age",0.00805379360848032,0.00224945132862736,3.58033690526429,0.000343151476349549,"***"
"3","defendant_is_woman",-0.239620812453719,0.0756645598160294,-3.16688305643134,0.00154082267381384,"***"
"4","defendant_some_foreign_background",-0.0588255616560916,0.0611788419183379,-0.961534409798284,0.336283532647697,"not sig."
"5","defendant_log_net_income",-0.0133424083631688,0.00614383189842958,-2.17167536217572,0.0298801581708149,"**"
"6","case_is_not_oslo",0.175166617429564,0.0730082437349176,2.39927175985179,0.0164277175588196,"**"
"7","defendant_is_married",-0.0609149084555036,0.0965631483721113,-0.630829767695277,0.528151837414667,"not sig."
"8","judge_age",0.00822864079229672,0.00236724835260942,3.47603612575177,0.000508883732225095,"***"
"9","judge_is_woman",0.0438557887386915,0.0518322624389389,0.846109868160895,0.397491456197208,"not sig."
"10","judge_some_foreign_background",-0.267184102588317,0.134028037654706,-1.99349410215689,0.0462073687248779,"**"
"11","judge_log_net_income",0.00424794563078649,0.0442220414493839,0.0960594647275305,0.923473344838665,"not sig."
"12","judge_is_married",0.0241491779078929,0.0547001097315928,0.44148317117443,0.658863242115078,"not sig."
"13","convicted_stay_of_execution_.conditional_imprisonment_.",0.0910757905292847,0.134084509353433,0.679241703373938,0.496984727340685,"not sig."
"14","convicted_bodily_injury",1.11699139429597,0.118378098674685,9.43579434710789,3.88042735215759e-21,"***"
"15","convicted_drug_offense",0.415889604122638,0.0872001751740616,4.76936661299675,1.84806063419088e-06,"***"
"16","convicted_illegal_arming_in_a_public_place",0.212240216642761,0.138417498407138,1.53333371203172,0.125193652321667,"not sig."
"17","convicted_participation",0.114709644840959,0.12769656131528,0.898298620256052,0.369026367930446,"not sig."
"18","convicted_courtesy",0.77782862602529,0.194607625268443,3.99690723810204,6.41754339995954e-05,"***"
"19","convicted_general_violation_of_traffic_act_1",-0.370256545437976,0.105575601937533,-3.50702755791104,0.000453142217459536,"***"
"20","convicted_drinking_within_six_hours_of_traffic_investigation",0.0458626193026892,0.094696619474953,0.484311050985508,0.628165134273585,"not sig."
"21","convicted_acquisition_possession_and_use_of_drugs",0.821336034626731,0.419241506635189,1.95909999756163,0.0501010771029483,"*"
"22","convicted_section_24_of_the_medicines_act_other",-0.969502549750609,0.425155370137315,-2.28034882738864,0.0225870080396775,"**"
"23","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime.",0.0114341682555384,0.0617510275262391,0.185165635513997,0.853099121858553,"not sig."
"24","convicted_road_traffic_act_other_1",-0.440146533904652,0.530637144380592,-0.829468005709309,0.406839633758958,"not sig."
"25","convicted_violating_traffic_signage_act",0.20727133848175,0.539510750864014,0.384183889106584,0.700842158416819,"not sig."
"26","convicted_temporary_suspension_of_driving_lisence",0.387144717926699,0.0895153665042209,4.32489675287699,1.52603318577982e-05,"***"
"27","convicted_assault_and_battery",0.290754857032291,0.0863262324557969,3.36809390101869,0.000756898122261693,"***"
"28","convicted_reckless_behavior",0.6807490660417,0.165420006783409,4.11527649695379,3.8671556183303e-05,"***"
"29","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint",0.834287803650886,0.155884448390259,5.35196302303506,8.70051804391167e-08,"***"
"30","convicted_damage",0.0946620037186868,0.138846159348767,0.681776177048625,0.495380490288151,"not sig."
"31","convicted_threats",0.542704334140515,0.117667681490713,4.6121783591304,3.98470844654387e-06,"***"
"32","convicted_grievous_bodily_harm",1.45556961185911,0.25832487364144,5.63464753254646,1.75416734882343e-08,"***"
"33","convicted_serious_drug_offense",2.23626369321772,0.161198445146288,13.872737365353,9.26715021939298e-44,"***"
"34","convicted_aggravated_assault",0.299034334909145,0.204989314995056,1.4587801072283,0.144625639474261,"not sig."
"35","convicted_intention_of_committing_an_offens",0.331199266026789,0.234104269876221,1.41475106883743,0.157141495247346,"not sig."
"36","convicted_theft",0.0573806119054544,0.138932191825551,0.413011636478778,0.679598088195339,"not sig."
"37","convicted_road_traffic_act_other_5",0.452139653970975,0.175629452211642,2.5743954005284,0.0100415443988508,"**"
"38","convicted_violating_basic_traffic_rules",-0.060144429629604,0.120020930259362,-0.501116176150556,0.616289363042114,"not sig."
"39","convicted_loss_of_the_right_to_drive_a_motor_vehicle.",0.158180785184273,0.115413970613806,1.37055145354606,0.170514825258784,"not sig."
"40","convicted_obstruction_of_a_public_official",0.0722947086783434,0.132445549372341,0.545844756739264,0.585172654834816,"not sig."
"41","convicted_aggravated_theft",0.637983597902385,0.231145436167252,2.7600960178195,0.00577843754301509,"***"
"42","convicted_fraud",0.239786703623387,0.170164211407498,1.40914885474456,0.158791157369868,"not sig."
"43","convicted_judgment_in_arrears",0.112801984192181,0.217468383184777,0.518705213788875,0.603966325313854,"not sig."
"44","convicted_abuse_in_close_relationships",1.90396073730647,0.228646419338873,8.32709623361581,8.2849394508824e-17,"***"
"45","convicted_violence_threats_vandalism_or_other_unlawful_conduct_against_a_public_official",-0.0895267321299142,0.0851134891412705,-1.05185127566934,0.292867789523671,"not sig."
"46","convicted_violation_of_police_act",-0.11263102171495,0.147653748997129,-0.762805025134444,0.445579683779778,"not sig."
"47","convicted_serious_fraud",1.18530176776553,0.226709601317789,5.22828217629848,1.71092249366371e-07,"***"
"48","convicted_disorderly_conduct",-0.119223241139682,0.158511653378178,-0.752141805342467,0.45196578572485,"not sig."
"49","convicted_minor_theft",0.126488457565286,0.213113514497262,0.593526214720236,0.552829044438839,"not sig."
"50","convicted_unauthorized_entry_or_stay",-0.250901617121787,0.20353853147971,-1.23269837557415,0.217688318127186,"not sig."
